"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:42:01-03","E","E","100015","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109505","<a href=http://data.rbge.org.uk/herb/E00100015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00980629","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","W. W. Thomas","1985","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980629","Magnoliophyta","Caryophyllales","(Netto) Lundell","M. H. Nee","CFCR8669","Minas Gerais","Diamantina","Estrada para São João da Chapada","-43.6003","-18.2494","1180","1180","NY00980629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00859229","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","H. S. Irwin","1965","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859229","Magnoliophyta","Caryophyllales","(Netto) Lundell","L. Y. T. Westra","8644","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, rd. to Goiânia, near Rio Melchior","-48.0355","-15.87895","1125","1125","NY00859229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859233","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","H. S. Irwin","1965","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859233","Magnoliophyta","Caryophyllales","(Netto) Lundell","L. Y. T. Westra","10514","Minas Gerais",NA,"Serra do Rio Preto in Minas Gerais, 25 km E. of Cabeceiras (ca. 4 km E. of Goiás-Minas Gerais border).","-46.75","-15.8","1000","1000","NY00859233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859218","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","J. A. Ratter","1972","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859218","Magnoliophyta","Caryophyllales","(Netto) Lundell","D. C. Daly","R2622","Distrito Federal","Brasília","Nr Brasilia. E. of the lake on the road to the prison.","-47.83","-15.85",NA,NA,"NY00859218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00859212","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","J. A. Rizzo","1971","09","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859212","Magnoliophyta","Caryophyllales","(Netto) Lundell","D. C. Daly","6692","Goiás","Pirenópolis","Est. 6 Serra dos Pireneus.","-48.9592","-15.8525",NA,NA,"NY00859212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00859215","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","J. A. Ratter","1976","05","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859215","Magnoliophyta","Caryophyllales","(Netto) Lundell","L. Y. T. Westra","R.3044","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.935","-15.9519",NA,NA,"NY00859215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00859224","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","W. R. Anderson","1972","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859224","Magnoliophyta","Caryophyllales","(Netto) Lundell",NA,"36308","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.567098","-19.391463","1220","1220","NY00859224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00859230","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","H. S. Irwin","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859230","Magnoliophyta","Caryophyllales","(Netto) Lundell","L. Y. T. Westra","8997","Distrito Federal","Brasília","Ca. 3 km S. of Sobradinho.","-47.8167","-15.66041","1000","1000","NY00859230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1738007","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","noxia","Guapira noxia","L.A. Gomes","2011","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951817' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738007","Magnoliophyta","Caryophyllales","(Netto) Lundell","L.A. Gomes","62","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Bifurcação da trilha de acesso a fazenda.","-37.4186","-11.3894",NA,NA,"NY01738007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
