"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:29-03","UNESC","CRI","1556","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) Benth.","R. R. B. Negrelle","R. Negrelle","1992","11","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI002544","CRI002544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","1558","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) Benth.",NA,"R. Negrelle; C. Londero","1992","11","06","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,NA,"CRI002541","CRI002541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:26-03","E","E","79256","PreservedSpecimen","Plantae","Leguminosae","Andira","anthelmia","Andira anthelmia",NA,NA,"Thomas, W.W., Carvalho, A., Jardim, J. & Sant'Ana, S.","1996","11","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00079256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00079256",NA,"11196","E. Tropical South America","herbarium specimen of unspecif","BGBASE:87951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","227799","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","W. W. Thomas","1996","11","11","Brazil","Bahia","Una","N edge of Una Biological Reserve, ca. 500 m N of Rio Maruim.","-39.0853","-15.1508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227799","NY00227799_01","11196","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","452238","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"In siccis arenosis maritimis prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452238","NY00452238_01","1124","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","452242","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"In siccis arenosis maritimus prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452242","NY00452242_01","1124","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","452236","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","J. G. Kuhlmann",NA,NA,NA,"Brazil","Espírito Santo","Colatina","Colatina, Estrada de Pancas","-40.6306","-19.5394",NA,NA,NA,NA,"Collection Date looks like 1995 which would be after the Collector died, the typing has an error in it. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452236","NY00452236_01","360","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","452246","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","W. Mantovani","M. Kirizawa","1977","09","15","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes do Ipiranga, Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452246","NY00452246_01","286","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00452254","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.",NA,"L. A. Mattos Silva","1995","08","16","Brazil","Bahia","Ilhéus","Campus da Universidade Estadual de Santa Cruz (UESC), Km. 16 da Rodavia Ilhéus.Itabuna (BR415). Próximo à Torre da Reitoria","-39.17","-14.8",NA,NA,"40","40","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3097582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452254","NY00452254_01 NY00452254_02","3208","South America","separate fruit",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","452235","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","H. C. de Lima","1982","08","21","Brazil","Rio de Janeiro","Bom Jesus de Itabapoana","Estrada para Calheiros, Cachoeira da Fumaça",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452235","NY00452235_01","1765","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","452234","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","R. P. Belém","1965","10","06","Brazil","Bahia","Maraú","Rodovia Maraú-Ubaitaba.","-39.1519475","-14.2506572",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452234","NY00452234_01","1879","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","452241","PreservedSpecimen","Plantae","Fabaceae","Andira","anthelmia","Andira anthelmia","(Vell.) J.F.Macbr.","R. T. Pennington","J. G. Jardim","1994","10","14","Brazil","Bahia","Ilhéus","Km. 20 da Rodovia BA-415 Ilhéus-Itabuna.","-39.0492","-14.7892",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452241","NY00452241_01","568","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
