"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","month","day","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","30","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E.Pereira","Elton. C. M. Leme","2011","08","Ricardo Zauein;","1982","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459","19648","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:27-03","MN","R","193064","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E. Pereira",NA,NA,NA,"Lutz, B.M.J.","1938","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","1251","11","28","R010018822",NA,NA,NA,NA,NA
"3","2021-02-07 08:35:27-03","MN","R","193077","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E. Pereira",NA,NA,NA,"Lutz, B.M.J.","1938","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","1251","11","28","R010018823",NA,NA,NA,NA,NA
"4","2021-02-07 08:35:27-03","MN","R","214716","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E. Pereira",NA,NA,NA,"Gonçalves, L.F.","2011","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","34","11","12","R010018824","R010018824",NA,NA,NA,NA
"5","2021-02-07 08:35:27-03","MN","R","214717","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E. Pereira",NA,NA,NA,"Gonçalves, L.F.","2012","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","51","03","03","R010018825","R010018825",NA,NA,NA,NA
"6","2021-02-07 08:35:27-03","MN","R","229495","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E. Pereira",NA,NA,NA,"Neves, B.F.S.","2015","Brasil","Rio de Janeiro","Petrópolis","Trilha para a Pedra do Inferno.","-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","331","02","11","R010022212",NA,NA,NA,NA,NA
"7","2019-11-21 10:02:55-03","IBt","SP","402715","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","rubyae","Vriesea rubyae","E.Pereira","Trindade Lima, T","2007","01","Trindade Lima, T; et al.","2006","Brasil","São Paulo","Bananal","Serra da Bocaina, Morro da casa do Walter","-44.433333","-22.8",NA,NA,NA,NA,"s.n.","12","14","SP053494","SP053494","-44.433333","-22.8","1200","1200"
