"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","identifiedBy"
"1","2021-02-08 12:50:44-03","UFRGS","ICN","188087","S","Plantae","Monocotyledon","Bromeliaceae","Dyckia","retroflexa","Dyckia retroflexa","S. Winkler","Breitsameter, CJ; Troleis, J","s.n.","2017","02","14","América do Sul","Brasil","RS","Morro Reuter","Morro da Embratel","-51.089444","-29.536389","-51.089444","-29.536389","Material testemunho; flores sésseis com pétalas amarelas; saxicola","ICN00030039",NA,NA,NA
"2","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","36099","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","retroflexa","Dyckia retroflexa","S. Winkl.","Nilson, A.D.","s.n.","1991","05",NA,NA,"Brasil","Rio Grande do Sul","Dois irmãos",NA,"-51.0853004455566","-29.5802993774414",NA,NA,"JB 148","HAS0036099","7716","auto",NA
"3","2020-08-26 10:48:26-03","MCN-FZBRS","HAS","31006","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","retroflexa","Dyckia retroflexa","S. Winkl.","Strehl, T.","1084","1989","10",NA,NA,"Brasil","Rio Grande do Sul","Dois Irmãos","Morro Reuter","-51.0853004455566","-29.5802993774414",NA,NA,"Floresceu em 24/12/1989","HAS0031006","7716","auto",NA
"4","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66519","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","retroflexa","Dyckia retroflexa","S. Winkl.","Strehl, T.","1274","1995","01",NA,NA,"Brasil","Rio Grande do Sul","Morro Reuter",NA,"-51.0807991027832","-29.5380992889404",NA,NA,"JB 341","HAS0066519","12924","auto","Strehl, T."
"5","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66507","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","retroflexa","Dyckia retroflexa","S. Winkl.","Strehl, T.","1298","1994","12",NA,NA,"Brasil","Rio Grande do Sul","Morro Reuter",NA,"-51.0807991027832","-29.5380992889404",NA,NA,"JB 148","HAS0066507","12924","auto","Strehl, T."
