"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02714647","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","J. G. Jardim","J. G. Jardim","4161","2003","11","13","South America","Brazil","Bahia","Cairu","Rod. Nilo Peçanha/Cairú, ca. 15,5Km da BA-001.","-39.04956","-13.55794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474919' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714647","NY02714647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686503","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","C. M. Taylor","L. Riedel","1951","1823","12",NA,"South America","Brazil",NA,NA,"Locality illegible.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686503","NY00686503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686504","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","C. M. Taylor","L. Riedel","745","1824",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686504","NY00686504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02692646","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"M. P. Morim de Lima","205","1991","10","30","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Parcela 9A.","-42.833333","-22.433333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987852' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692646","NY02692646_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:20-03","UFRJ","RFA","32567","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"L. Kollmann; et al.","1830","1999","02","04",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha do sagüi. Ar3. Parc.5. Arv 119.","-40.6002998352051","-19.9356002807617",NA,"Árvore 9m. Dap 21cm. Fuste 4m. Botões verdes","RFA21279",NA,"23813","700","700","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:20-03","UFRJ","RFA","26153","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","M.Gomes","A. Quinet","14","2001","01","13",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.118889","-22.576111",NA,"Folha discolor verde, frutos imaturos verdes. Habito: Árvore","RFA29201",NA,NA,"300","300",NA,"2001","05","25","43º7'8''W","22º34'34''S",NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:20-03","UFRJ","RFA","39585","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","S. Neto","R. Finotti; J. Caruzo","75",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Fragmento florestal adjacente à entrada da Estação Ecológica Paraíso","-42.905556","-22.493333",NA,"Arvore de 4 metros de altura e PAP de 18,4cm","RFA24579",NA,NA,"50","50",NA,NA,NA,NA,"42º54'20''W","22º29'36''S",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:50-03","UFRJ","RFA","26755","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","M.Gomes","A. Quinet","17","2001","02","11",NA,"Brasil","Rio de Janeiro","Magé","Estrada do Matão.","-43.040599822998","-22.6527996063232",NA,"Folha verde discolor, fruto avirosado. Habito: Árvore","RFA29199",NA,"20531","250","250","auto","2001","05","22","43º7'72''W","22º34'81''S",NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:50-03","UFRJ","RFA","25978","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha mandiocana","Müll.Arg.","M.Gomes","A. Quinet","28","2000","12","17",NA,"Brasil","Rio de Janeiro","Magé","Piabetá, Estrada do Matão nº100 - Cachoeira Grande.","-43.121667","-22.568889",NA,"Folha discolor verde, flor branca. Habito: Árvore","RFA29200",NA,NA,"290","290",NA,"2001","02","25","43º7'18''W","22º34'8''S","mandiocana",NA,NA,NA,NA,NA
"10","2020-11-13 09:20:50-03","UFRJ","RFA","25978","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha mandiocana","Müll.Arg.","M.Gomes","A. Quinet","28","2000","12","17",NA,"Brasil","Rio de Janeiro","Magé","Piabetá, Estrada do Matão nº100 - Cachoeira Grande.","-43.121667","-22.568889",NA,"Folha discolor verde, flor branca. Habito: Árvore","RFA29200",NA,NA,"290","290",NA,"2001","02","25","43º7'18''W","22º34'8''S","mandiocana",NA,NA,NA,NA,NA
"11","2019-10-09 11:23:37-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"Jardim, JG; Sant'Ana, SC de; Paixão, JL da","4161","2003","11","13","Southern America","Brasil","Bahia","Cairu","Baixo Sul, Rod. Nilo Peçanha/Cairu, ca. 15 km da BA 001","-39.060278","-13.563056",NA,"ca. 12 m alt. Folhas coriáceas, verde-escuro com a face inferior mais clara. Frutos imaturos verdes, enegrescidos quando maduros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-39.060278","-13.563056",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:18:25-03","ESALQ","ESA","118603","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Gomes, M.","Kollmann, L.","1830.0","1999","02","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"ESA118603",NA,"23813",NA,NA,"auto","2006",NA,NA,"-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:18:25-03","ESALQ","ESA","118640","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Jardim, J.","Pizziolo, W.","360.0","1991","06","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,"Árvore +/- 10m, fuste +/- 7m, DAP 14cm, frutos de cor verde.","ESA118640","ESA118640","23813",NA,NA,"auto","2004","04","22","-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:18:25-03","ESALQ","ESA","125992","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Gomes, M.","Martinelli, G.","9995.0","1905","06","06",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232",NA,NA,"ESA125992",NA,"20531",NA,NA,"auto","1905","06","13",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:18:25-03","ESALQ","ESA","118751","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Jardim, J.","Kollmann, L.","2317.0","1999","03","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"ESA118751","ESA118751","23813",NA,NA,"auto","2004","04","22","-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:18:25-03","ESALQ","ESA","118752","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Jardim, J.","Thomaz, L.D.","971.0","1993","11","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"ESA118752","ESA118752","23813",NA,NA,"auto","2004","04","22","-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:18:25-03","ESALQ","ESA","118636","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Jardim, J.","Demuner, V.","60.0","1999","09","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"ESA118636",NA,"23813",NA,NA,"auto","2004","04","22","-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:18:25-03","ESALQ","ESA","118635","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha",NA,"Jardim, J.","Thomaz, L.D.",NA,"1994","03","01",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,"ESA118635",NA,"23813",NA,NA,"auto","2004","04","22","-40,530,278","-19,971,389",NA,NA,NA,NA,NA,NA
"19","2019-12-12 14:11:21-03","IAP","PACA-AGP","107662","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll. Arg.","M. Gomes","M.P.M. de Lima","207",NA,NA,NA,NA,"Brasil","RJ","Guapimirim","Estação Ecológica Estadual de Paraíso","-42.933333","-22.533333",NA,"RB 297048, duplicatas: MO, BHCB, HUEFS, INPA, PACA, R, Parcela 9C, área 09 C, 22°26'00S, 42°50'00W / 22°32'00S, 42°56'00W. Elev.:0-0m., botões com tubo alvo com tonalidade lilás, pétalas crassas, alvas com a parte ventral dos lací","PACA107662",NA,NA,NA,NA,NA,"1991","11","19","42°56'00W","22°32'00S",NA,"Magnoliatae",NA,NA,NA,NA
"20","2020-12-20 21:19:16-03","UFV","VIC","32491","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Muell.Arg",NA,"Lima, H.C. de; et al.","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344",NA,"Arvoreta de flores perfumadas alvas, corola internamente roxo azulada, ocasional da submata,ind 357 altura de 5 m.","VIC032491",NA,"21463",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-24 17:09:53-03","UFES","SAMES","7082","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"Saporetti,A.M.J.","16","2016","06","28",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"SAMES07082",NA,"48094",NA,NA,"auto",NA,NA,NA,"-395347222.0","-192552778.0",NA,NA,NA,NA,NA,NA
"22","2021-03-24 17:09:53-03","UFES","SAMES","4946","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Ribeiro,M.;Siqueira,G.","Marcarini,L.; Ribeiro,M.;Coelho,R.","36","2011","01","10",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Tubo floral roxo e pétalas brancas. Fruto esverdeado com cálice persistente roxeado na base. Habito: Árvore","SAMES04946",NA,"41644",NA,NA,"auto",NA,NA,NA,"-398050000.0","-182625000.0",NA,NA,NA,NA,NA,NA
"23","2021-03-24 17:09:53-03","UFES","SAMES","7081","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"Saporetti,A.M.J.","14","2016","06","23",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"SAMES07081",NA,"48094",NA,NA,"auto",NA,NA,NA,"-395347222.0","-192552778.0",NA,NA,NA,NA,NA,NA
"24","2021-03-24 17:09:53-03","UFES","SAMES","7617","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"Saporetti,A.M.J.","63",NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Propriedade do Sr. Carlos.","-40.0722007751465","-19.3910999298096",NA,"Frutos imaturos verdes.","SAMES07617",NA,"48094",NA,NA,"auto",NA,NA,NA,"-399663889.0","-193955555.0",NA,NA,NA,NA,NA,NA
"25","2021-03-24 17:09:53-03","UFES","SAMES","7633","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.",NA,"Saporetti,A.M.J.","13","2016","06","23",NA,"Brasil","Espírito Santo","Linhares","Propriedade do Sr. Waldemar Borges.","-40.0722007751465","-19.3910999298096",NA,"CAP 17,5 cm. Com floração por terminar.","SAMES07633",NA,"48094",NA,NA,"auto",NA,NA,NA,"-398961111.0","-194311111.0",NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:39:25-03","UNICAMP","UEC","151827","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Gomes, M","Lima, HC","4327","1991","11","20",NA,"Brazil","Rio de Janeiro","Guapimirim","Estação ecológica estadual de Paraíso.Trilha para Mariquitas.","-42.833333","-22.433333",NA,"Arvoreta. Flores perfumadas alvas, corola internamente roxo-azulada.","UEC103387","UEC103387",NA,NA,NA,NA,"1991","12","26","-42.833333","-22.433333",NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:39:25-03","UNICAMP","UEC","113809","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Sanchez, M","Pedroni, F; Sanchez, M","613","1996","01","15",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-44.8","-23.366667",NA,"Árvore 3622 com 13 de altura, com flores, folhas com muitas galhas.","UEC103386","UEC103386",NA,NA,NA,NA,NA,NA,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:39:25-03","UNICAMP","UEC","113811","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Jardim, JG","Pedroni, F; Sanchez, M","614","1996","05","25",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-44.8","-23.366667",NA,"Árvore 3622 com 13m de altura, com frutos, folhas com muitas galhas.","UEC103389","UEC103389",NA,NA,NA,NA,"2002","12",NA,"-44.8","-23.366667",NA,NA,NA,NA,NA,NA
"29","2019-08-20 10:24:26-03","UNICAMP","UEC","147670","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Jung-Mendaçolli, SL","Campos, MCR; Belinello, R; Assis, MA; Guaraldo, A","359","2006","05","07",NA,"Brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,"indivíduo E0494, altura 26m",NA,NA,NA,NA,NA,NA,"2007","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-20 10:24:26-03","UNICAMP","UEC","148810","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","pachyantha","Faramea pachyantha","Müll.Arg.","Jung-Mendaçolli, SL","Aranha, BA","405","2007","01","12",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J, 380-msm","-45.084167","-23.366389",NA,NA,NA,NA,NA,NA,NA,NA,"2008","10",NA,"-45.084167","-23.366389",NA,NA,NA,NA,NA,NA
