"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","685360","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","R. Goldenberg","R. Goldenberg","697","2005","10","16","South America","Brazil","Paraná","Balsa Nova","Serra de São Luis do Puruña","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685360","NY00685360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","R. Goldenberg","R. Goldenberg","879","2007","04","19","South America","Brazil","Paraná","Curitiba","UFPR, Centro Politécnico, Mata Viva.","-49.2731","-25.4278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320676' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145618","NY01145618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01874448","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","M. Reginato","M. Reginato","1452","2013","02","10","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras","-44.62903","-22.385714","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085263' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874448","NY01874448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685359","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","R. Goldenberg","R. Goldenberg","827","2005","10","27","South America","Brazil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.23","-24.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685359","NY00685359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:59:00-03","NY","NYBG","777272","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri",NA,NA,"E. Hassler","6589","1900","12",NA,"South America","Paraguay",NA,NA,"Cordillerae Centralis. In regione cursus superioris fluminis Y - acá",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777272","NY00777272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01874447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","M. Reginato","M. Reginato","1450","2013","02","10","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras","-44.62903","-22.385714","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874447","NY01874447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00777133","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","R. Goldenberg","R. Goldenberg","492","1999","03","12","South America","Brazil","Paraná","Campo Largo","Serra de Sao Luiz do Puruna, próximo ao Cristo Redentor","-49.72","-25.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777133","NY00777133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02099128","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","M. Reginato","M. Reginato","1079","2010","01","06","South America","Brazil","Paraná","Curitiba","Centro Politécnico","-49.2731018066406","-25.4277992248535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084693' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099128","NY02099128_01","25180","900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:22-03","UFRJ","RFA","42226","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","L. Giovane","L. Giovane; C. Martins; J. Figueiredo; V. Prazeres","30","2017","12","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, parte alta na trilha para as Prateleiras.","-44.670278","-22.399167",NA,"Planta herbácea, caule rasteiro, piloso, folhas com aspecto levemente aveludado, flores pequenas e brancas.","RFA35808",NA,NA,"2474",NA,"2017","12","15","44º40'13''W","22º23'57''S","2474",NA,NA,NA,NA
"10","2020-11-04 11:13:28-03","ESALQ","ESA","78575","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","eichleri","Leandra eichleri","Cogn.","Goldenberg, R.","Hatschbach, G. et al.","68706.0","1998","11","15",NA,"Brasil","Paraná","Palmas",NA,"-51.9906005859375","-26.4841995239258",NA,NA,"ESA078575","ESA078575","46666",NA,"auto","2001","01","01",NA,NA,NA,NA,NA,NA,NA
