"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","class","order","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus"
"1","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28368","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Marcusso, G.M.","2012","02","07","Marcusso, G.M.","12","2011","06","26","Brasil","São Paulo","São Manuel","Fazenda Conceição","9999","9999","BOTU028368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:31-03","IAP","PACA-AGP","33959","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Pabst","1954","09","03","C. Orth SJ",NA,NA,NA,NA,"Brasil","RS",NA,NA,NA,NA,"PACA033959","Magnoliophyta","Liliatae","Orchidales","SEM MATERIAL Fenofase: flor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:31-03","IAP","PACA-AGP","1943","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","J. Dutra, Pabst","1954","09","03","C. Orth SJ",NA,"1936","08","28","Brasil","RS","São Leopoldo","Portão",NA,NA,"PACA001943","Magnoliophyta","Liliatae","Orchidales","Habitat: In silva campestri, epiphytica Fenofase: flor","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA
"4","2019-11-21 14:40:39-03","UFJF","CESJ","67802","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","L. Menini Neto","2014",NA,NA,"D.E.F. Barbosa; G.A. Basilio; S.G. Furtado; L. Menini Neto","187","2014","06","28","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca, Fazenda do Tanque, Nanofloresta nebular","-43.913333","-21.698611","CESJ067802","Angiosperma",NA,NA,"Epífita entre 40cm e 1,5m. Flores amareladas. Interior de mata.","-43.913333","-21.698611",NA,NA,"América do Sul","1300","1300",NA,NA
"5","2019-11-08 08:54:16-03","FURB","FURB","36261","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Caetano, JO","2011","08","15","Caetano, J.O.",NA,"2011","06","23","Brasil","Santa Catarina","Benedito Novo","Alto Benedito - fundos da empresa ACRILAN Fios.","-49.3936111","-26.7858333","FURB02713",NA,NA,NA,NA,"-49.3936111","-26.7858333",NA,NA,NA,"314","314","FURB02713",NA
"6","2020-12-21 16:38:18-03","MBM","MBM","385480","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Ariati, V.","2011","09",NA,"Ariati, V.; Adenesky-Filho, E.; Adenesky-Filho, E.","570","2011","09",NA,"Brasil","Paraná","Ortigueira","UHE Mauá, lote 3 área de supressão","-50.723333","-24.111389","MBM385480",NA,NA,NA,"Resgate de flora da UHE Mauá; Epífita em Actinostemon concolor.","-50.723333","-24.111389",NA,NA,NA,"520","750","MBM385480",NA
"7","2020-12-21 16:38:18-03","MBM","MBM","208781","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Buzatto, C.R.","2008","09","10","Carneiro, J.","219","1996","08","15","Brazil","Paraná","Jundiaí do Sul","Fazenda Monte Verde",NA,NA,"MBM208781",NA,NA,NA,"Flor alvacenta. Mata","-50.247501373291","-23.4367008209229","17300","auto","Southern America",NA,NA,"MBM208781",NA
"8","2020-12-21 16:38:18-03","MBM","MBM","49136","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Pabst, G.",NA,NA,NA,"Hatschbach, G.","3307","1953","08","04","Brazil","Paraná","Tibagi","Fazenda Monte Alegre, Harmonia",NA,NA,"MBM049136",NA,NA,NA,NA,"-50.4136009216309","-24.5093994140625","56988","auto","Southern America",NA,NA,"MBM049136",NA
"9","2020-12-21 16:38:18-03","MBM","MBM","424227","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Engels, M.E.","2019","08",NA,"Ariati, V.; Roher, D.; Bittencourt, L.S.; Roher, D.; Bittencourt, L.S.","1765","2019","08","01","Brazil","Paraná","Tibagi","UHE Tibagi Montante",NA,NA,"MBM424227",NA,NA,NA,"Epífita, flor verde.; Floresta Ombrófila Mista.","-50.4136009216309","-24.5093994140625","56988","auto","Southern America",NA,NA,NA,NA
"10","2020-12-11 11:44:21-03","UFMG","BHCB","93119","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne",NA,"2005",NA,NA,"Mota, RC da","2933","2005","07","07","Brasil","Minas Gerais","Catas Altas","Serra do Caraça",NA,NA,"BHCB001099","Monocotyledon",NA,NA,"erva epífita; flores verde-acastanhadas; Planta coletada em borda de mata semidecídua, próxima da Gruta do Pe. Caio","-43.4075012207031","-20.0746994018555","11966","auto","Southern America",NA,NA,"BHCB001099",NA
"11","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","22893",NA,"Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","L. Kollmann/13-07-2001",NA,NA,NA,"L. Kollmann; et al","3624","2001","04","25","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","40W31'49","19S58'17","MBML022893",NA,NA,NA,"Somente em álcool.","-40.530278","-19.971389",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-25 16:06:22-03","FUVATES","HVAT","5647","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","C. Buzatto","2018","08","28","E. Freitas","1181","2018","08","28","Brasil","Rio Grande do Sul","Forquetinha","Bauereck.","-52º9'18''W","-29º21'8''S","HVAT00005647",NA,NA,NA,"Herbácea e epífita.; Interior da mata ciliar.","-52.155","-29.352222",NA,NA,NA,NA,NA,NA,NA
"13","2014-11-06 16:11:22-02","UFPB","EAN","17907","S","Plantae","Orchidaceae","Capanemia","aff gehrtii","Capanemia aff gehrtii","Hoehne",NA,NA,NA,NA,"E. M. Almeida; L. P. Felix",NA,NA,NA,NA,"Brasil","Pernambuco","Brejo da Madre de Deus","Bituri",NA,NA,NA,NA,NA,NA,"Planta pequena, folha fusiforme.","-36.3711","-8.14583","34231","auto",NA,NA,NA,NA,NA
"14","2020-11-04 17:30:10-03","UEM","HUEM","21940","S","Plantae","Orchidaceae","Capanemia","gehrtii","Capanemia gehrtii","Hoehne","Fábio de Barros","2013","05","24","Milaneze-Gutierre, MA","s.n.","2011","08","24","Brasil","Paraná","Telêmaco Borba","Área de alagamento da UHE Mauá","-50.583333","-24.35","HUEM000011485",NA,NA,NA,"Epífita; flores de coloração amarelo esverdeado.","-50.583333","-24.35",NA,NA,NA,NA,NA,"HUEM000011485",NA
