"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","locality","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","imagecode","geoFlag","typeStatus"
"1","2021-03-01 11:55:12-03","UFPE","UFP","60727","PreservedSpecimen","Plantae","Pales","Bromeliaceae","Encholirium","disjunctum","Encholirium disjunctum","Forzza","Yoshida-Arns, K; Alves, M; Alves-Araújo, A; Pessoa, E; Almeida, GO; Jesus, B; Ribeiro, M>","352","Brasil","Bahia","Formosa do Rio Preto","-45.665833","-11.055","-45.665833","-11.055","Erva rupícola, inflorescências passadas.; Erva rupícola, inflorescências passadas.","UFP060727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 11:55:12-03","UFPE","UFP","62663","PreservedSpecimen","Plantae","Pales","Bromeliaceae","Encholirium","disjunctum","Encholirium disjunctum","Forzza","Yoshida-Arns, K; Alves, M; Alves-Araújo, A; Pessoa, E","s.n.","Brasil","Bahia","Angical","-44.806667","-11.914722","-44.806667","-11.914722","Erva,frutos amarelos.","UFP062663","Fontana, AB","2010","10","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:22:26-03","Cenargen","CEN","23237","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Encholirium","disjunctum","Encholirium disjunctum","Forzza","Taciana Barbosa Cavalcanti","750","Brasil","GO","GUARANI DE GOIAS","-46.4803009033203","-13.9357995986938",NA,NA,NA,"CEN00023237","R. C. Forzza","2010",NA,NA,"1990","08","16","Km 303 da BR - 020. 15 km N do entroncamento de Posse.","35901","950","950","Exsicatas","4","CEN00023237","auto",NA
"4","2021-03-15 18:26:13-03","USP","SPF","142854","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Encholirium","disjunctum","Encholirium disjunctum","Forzza","Forzza, RC; Magenta, MAG; Coffani-Nunes, JV; Kameyama, C","1570","Brasil","Goiás","Posse","-46.216667","-14","-46.216667","-14","Planta em afloramento rochoso, formando touceiras ou isoladas. Folhas verdes. Fores passadas. Frutos castanhas.","SPF00142854",NA,NA,NA,NA,"2000","07","30","Estrada Posse- Guarani de Goiás, 15 km da entrada de Posse. Cerrado com solo arenoso ou pedregoso.",NA,NA,NA,NA,NA,NA,NA,"holotype"
"5","2019-11-21 10:02:37-03","IBt","SP","293046","S","Plantae",NA,"Bromeliaceae","Encholirium","disjunctum","Encholirium disjunctum","Forzza","Cavalcanti, TB; et al.","750","Brasil","Goiás","Guarani de Goiás","-46.4803009033203","-13.9357995986938",NA,NA,NA,"SP003953","Forzza, RC","2010",NA,NA,"1990","08","16","Km 303 da BR-020. 15 km N do entroncamento de Posse","35901","950","950",NA,NA,"SP003953","auto","Paratype"
