"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet","sex"
"1","2020-09-23 10:43:56-03","E","E","146786","PreservedSpecimen","Plantae","Theophrastaceae","Clavija","nutans","Clavija nutans","Pott, A.;","1319","1984","08","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170996","<a href=http://data.rbge.org.uk/herb/E00146786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:56-03","E","E","196388","PreservedSpecimen","Plantae","Theophrastaceae","Clavija","nutans","Clavija nutans","Proença, C.","2051","1998","09","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207757","<a href=http://data.rbge.org.uk/herb/E00196388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:56-03","E","E","66342","PreservedSpecimen","Plantae","Theophrastaceae","Clavija","nutans","Clavija nutans","Bridgewater, S.; Ratter, J.A. & dos Santos, Joao Batista",NA,"1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:86769","<a href=http://data.rbge.org.uk/herb/E00066342 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540770","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","M. H. Nee","47599","1997","12","28","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540770","Magnoliophyta","Ericales","(Vell.) B.Ståhl","M. A. Sundue","Santa Cruz","Andrés Ibáñez","On Brecha 5, km 38, 3 km E of new highway from Santa Cruz to Camiri, the turnoff 29 km S of junction with highway from Santa Cruz to Samaipata.","-63.17","-18.07","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540771","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","M. H. Nee","47599","1997","12","28","South America","Bolivia","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540771","Magnoliophyta","Ericales","(Vell.) B.Ståhl","M. A. Sundue","Santa Cruz","Andrés Ibáñez","On Brecha 5, km 38, 3 km E of new highway from Santa Cruz to Camiri, the turnoff 29 km S of junction with highway from Santa Cruz to Samaipata.","-63.17","-18.07","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00972906","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","A. Macedo","1856","1949","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972906","Magnoliophyta","Ericales","(Vell.) B.Ståhl","B. Ståhl","Goiás","Jataí","Queixada","-51.7142","-17.8817",NA,NA,"NY00972906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00972903","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","J. R. Pirani","2077","1988","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972903","Magnoliophyta","Ericales","(Vell.) B.Ståhl","R. Lupo; J. R. Pirani","Goiás","Goiânia","Proximidades do Campus II da Universadade Federal de Goiás, Fazenda Retiro, 4 km N da área militar.","-49.25","-16.67",NA,NA,"NY00972903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540772","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","M. H. Nee","48727","1998","03","21","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540772","Magnoliophyta","Ericales","(Vell.) B.Ståhl","M. A. Sundue","Santa Cruz","Andrés Ibáñez","Along Brecha 5, 2.2 km E of highway from Santa Cruz to Abapó, leaving from km 38.","-63.18","-18.07","480","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00972902","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","H. S. Irwin","13974","1966","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972902","Magnoliophyta","Ericales","(Vell.) B.Ståhl","B. Ståhl","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","NY00972902_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00972904","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","L. Andersson","1574","1986","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972904","Magnoliophyta","Ericales","(Vell.) B.Ståhl",NA,"Goiás","Montes Claros de Goiás","92 km W of Juçara (Jussara) on road (GO-4) to Aragarças.","-51.3967","-16.0081",NA,NA,"NY00972904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00972880","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","G. G. Hatschbach","46161","1983","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972880","Magnoliophyta","Ericales","(Vell.) B.Ståhl","B. Ståhl","Mato Grosso do Sul","Amambaí","Rio Amambaí","-55.2256","-23.1044","450","450","NY00972880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00972910","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","H. S. Irwin","12974","1966","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972910","Magnoliophyta","Ericales","(Vell.) B.Ståhl","B. Ståhl","Goiás","São João d'Aliança","Serra Geral do Paraná, near São João de Aliança","-47.5247","-14.7056",NA,NA,"NY00972910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 11:16:00-03","NY","NYBG","441867","PreservedSpecimen","Plantae","Primulaceae","Clavija","nutans","Clavija nutans","M. A. Lewis","36917","1989","12","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441867",NA,"Ericales",NA,"B. Ståhl","La Paz","Inquisivi","Puente Alegre. The area where the Cajuata-Siquimirani road crosses the Río Suri. 1 km SE of Cajuata","-67.17","-16.72","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
