"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","11684","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008652","CRI008652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:23-03","UNESC","CRI","9445","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","M. Verdi; A.L. Tomazi & G. Klemz","2009","11","07","Brasil","Santa Catarina","Nova Veneza","São Bonifácio.","-49.588611","-28.708056","49º35'19''W","28º42'29''S","CRI003426","CRI003426","A. Quinet","2010","09","15","3079","124","124","Floresta Ombrófila Densa Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","1772","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","V. Citadini-Zanette; C. M. Martinello & R. dos Santos","1993","03","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI003466","CRI003466","Marcos Sobral",NA,NA,NA,"1749","110","110","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","1502","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","R. R. B. Negrelle; et al.","1993","03","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha. (próx. a área das parcelas).","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI003464","CRI003464","J. B. Baitello",NA,NA,NA,NA,"9","9","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:23-03","UNESC","CRI","9453","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","2010","04","10","Brasil","Santa Catarina","São Martinho","Estrada Geral São Luiz/SC - 407.","-48.958333","-28.168333","48º57'30''W","28º10'6''S","CRI003461","CRI003461","A. Quinet","2010","09","15","4349","89","89","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:35-03","UNESC","CRI","5299","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","J. A. Jarenkow; D. B. Falkenberg","1993","01","23","Brasil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro.","-52.683333","-29.604167","52º41'0''W","29º36'15''S","CRI003428","CRI003428","J. A. Jarenkow",NA,NA,NA,NA,"66","66","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:35-03","UNESC","CRI","6490","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","J. A. Jarenkow","1997","04","12","Brasil","Rio Grande do Sul","Capão do Leão","Horto Botânico Irmão Teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI003427","CRI003427","J. A. Jarenkow",NA,NA,NA,"3489","21","21","Habitat: mata de restinga Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:23-03","UNESC","CRI","97","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","Robson dos Santos","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S","CRI003463","CRI003463","Marcos Sobral",NA,NA,NA,NA,NA,NA,"Habitat: restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:35-03","UNESC","CRI","848","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","Paulo Brack","1991","10","24","Brasil","Santa Catarina","Maracajá","Mata da BR 101.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","CRI003425","CRI003425","Paulo Brack","1995","08","04",NA,"12","12","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:35-03","UNESC","CRI","1503","PreservedSpecimen","Plantae","Lauraceae","Aiouea","saligna","Aiouea saligna","Meisn.","R. R. B. Negrelle","1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI003465","CRI003465","J. B. Baitello",NA,NA,NA,"676","9","9","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
