"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","798445","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","Á. L. Cabrera","G. G. Hatschbach","HH-19637","1968","08","29","South America","Brazil","Paraná","S. José dos Pinhais, Serra do Emboque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798445","NY00798445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798447","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","Á. L. Cabrera","G. G. Hatschbach","19637","1968","08","29","South America","Brazil","Paraná","Serra do Emboque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798447","NY00798447_01","Sao José dos Pinhais","-49.2064","-25.5347","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","804946","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","C. Castro de Oliveira","J. N. Rose","20559","1915","07","26","South America","Brazil","Rio de Janeiro","Vicinity of Itatiaya","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804946","NY00804946_01","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798450","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","Á. L. Cabrera","G. G. Hatschbach","19637","1968","08","29","South America","Brazil","Paraná","Serra do Emboque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798450","NY00798450_01","Sao José dos Pinhais","-49.2064","-25.5347","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","798451","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner",NA,"L. Riedel","357","1824","06",NA,"South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","L. Riedel: Iter Brasiliense 1824-29 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798451","NY00798451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","798448","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","J. F. Pruski","M. Kuhlmann","2429","1950","06","07","South America","Brazil","Minas Gerais","Delfim Moreira, Sao Francisco dos Campos, Descida do Morro da Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798448","NY00798448_01","Delfim Moreira","-45.2797","-22.5094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","798446","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","Á. L. Cabrera","G. G. Hatschbach","HH-19637","1968","08","29","South America","Brazil","Paraná","S. José dos Pinhais, Serra do Emboque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798446","NY00798446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798449","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","grandis","Senecio grandis","Gardner","P. K. H. Dusén","P. K. H. Dusén","12197","1911","09","13","South America","Brazil","Paraná","Carvalho, Cariguava","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798449","NY00798449_01",NA,"-48.981355","-25.49628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:06-03","UFRJ","RFA","11859","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","grandis","Senecio grandis","Gardner","A.L. Cabrera","G.G. Hatschbach","19637","1968","08","29",NA,"Brasil","Paraná","Serra do Emboque",NA,"Arbusto até 1,5 m de altura. Capítulos alvacentos","RFA11348",NA,"São José dos Pinhais","-49.2064018249512","-25.5347003936768","1000","1000","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:37:10-03","EAO","IAN","853","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Senecio","grandis","Senecio grandis","Gardner",NA,"Gardner, A","4939",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN000853","IAN000853_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
