"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","dayIdentified","individualCount"
"1","2019-11-19 15:43:22-03","UNEB","HUNEB","11833","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Eupatorium","latisquamulosum","Eupatorium latisquamulosum","(Hieron.) Malme","Almeida, G.S.S.","349","2006","03","16","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi: Trilha da Serrinha","-43.4160995483398","-20.377799987793","33524","HUNEB0011833","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:11-03","UFBA","ALCB","129561","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M.King & H.Rob.","França, VG; Beraldo, K; Borges, IA","43","2014","03","14","Brasil","São Paulo","São Paulo","Parque Estadual do Jaraguá. Solo areno-pedregoso.","-46.766667","-23.459444",NA,"ALCB047158",NA,"França, VG","2014","07","Southern America","-46.766667","-23.459444","1120","1120","ca 0,3m de altura, heliófita, população esparsa, brácteas dos capítulos verdes e lilases. Pétalas lilases na parte superior. Estigma roxo.","ALCB047158",NA,NA
"3","2020-12-20 21:15:53-03","UFV","VIC","27584","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Eupatorium","latisquamulosum","Eupatorium latisquamulosum","(Hieron.) Malme","Almeida, G.S.S.; Custódio, J.","349","2006","03","16","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da serrinha","-43.5080986022949","-20.2875003814697","44599","VIC027584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Subarbusto de 0,4 m, brácteas involucrais puberulas, ápice reflexo, vináceo, flores vinaceas, papilho creme.",NA,NA,NA
"4","2020-12-20 21:15:53-03","UFV","VIC","27583","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Eupatorium","latisquamulosum","Eupatorium latisquamulosum","(Hieron.) Malme","Almeida, G.S.S.; et al.","637","2007","01","29","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do calais","-43.5080986022949","-20.2875003814697","44599","VIC027583","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Subarbusto de 0,4 m, brácteas involucrais puberulas, ápice reflexo, vináceo, flores vinaceas, papilho creme.",NA,NA,NA
"5","2019-01-17 11:24:18-02","PUCRS","MPUC","13031","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Rob.",NA,NA,"2000","04","07","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,"A.L. Christ","2018","01","South America","-50.1744444000","-29.4808333000",NA,NA,"Campo (F:84)",NA,"01","1"
"6","2019-01-17 11:24:18-02","PUCRS","MPUC","19034","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Rob.",NA,NA,"2010","01","17","Brasil","RS","Cambará do Sul",".","-50.1444444","-29.0477778",NA,NA,NA,"A.L. Christ","2018","01","South America","-50.1444444000","-29.0477778000",NA,NA,NA,NA,"01","1"
"7","2019-01-17 11:24:18-02","PUCRS","MPUC","14745","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Rob.","Andrade",NA,"1983","05","27","Brasil","RS","Cambará do Sul","Parque Nacional dos Aparados da Serra, Itaimbézinho","-50.1444444","-29.0477778",NA,NA,NA,"A.L. Christ","2018","01","South America","-50.1444444000","-29.0477778000",NA,NA,NA,NA,"01","1"
"8","2021-01-28 13:24:30-03","PUCRS","MPUC","8142","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Rob.",NA,NA,"1997","04","15","Brasil","RS","São Francisco de Paula",".","-50.5835990905762","-29.4480991363525","76715",NA,"auto","A.L. Christ","2018","01","South America",NA,NA,NA,NA,NA,NA,"01","1"
"9","2021-03-16 17:50:41-03","UCS","HUCS","17732","PreservedSpecimen","Plantae","Angiospermae",NA,"Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Hob.","Wasum, R.A.","1045","2001","04","02","Brasil","Rio Grande do Sul","Cambará do Sul","Faz. Capão do Alto","-50.1446990966797","-29.0478000640869","30776",NA,"auto","Christ, A.L.","2018","02",NA,NA,NA,NA,NA,"No campo",NA,"09",NA
"10","2021-03-16 17:50:41-03","UCS","HUCS","18929","PreservedSpecimen","Plantae","Angiospermae",NA,"Asterales","Asteraceae","Chromolaena","latisquamulosa","Chromolaena latisquamulosa","(Hieron.) R.M. King & H. Hob.","Wasum, R.A.","1409","2002","03","18","Brasil","Rio Grande do Sul","São José dos Ausentes","Fazenda do Tabuleiro","-50.0657997131348","-28.7483005523682","42598",NA,"auto","Christ, A.L.","2018","02",NA,NA,NA,NA,NA,NA,NA,"09",NA
