"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00682581","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","S. A. Mori","15977","1983","09","08","South America","Brazil","Amapá","Cammaipi. EMBRAPA reserve and vicinity.","-51.62","0.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682581","NY00682581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00682583","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","S. A. Mori","16169","1983","09","13","South America","Brazil","Amapá","Cammaipi. EMBRAPA reserve and vicinity.","-51.62","0.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682583","NY00682583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00682579","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","S. A. Mori","17468","1984","12","20","South America","Brazil","Amapá","BR156, road under construction which will connect Macapá with Monte Dourado, 81km WSW of Macapá, ca. 11km SW of Rio Preto","-51.8","-0.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682579","NY00682579_01","Mazagão",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00682582","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","S. A. Mori","16165","1983","09","13","South America","Brazil","Amapá","Cammaipi. EMBRAPA reserve and vicinity.","-51.62","0.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682582","NY00682582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00682580","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","B. V. Rabelo","2503","1984","01","19","South America","Brazil","Amapá","Estrado do Camaipi, Mazagão","-51.2872267","-0.1148843","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=819243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682580","NY00682580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","823","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","S. A. Mori","D. C. Daly","3917","1984","12","19","South America","Brazil","Amapá","BR 156, incomplete road towards Monte Dourado. 75-80 km WSW of Macapà, 5-10 km SW of Rio Preto.","-51.7135673","-0.2244413","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000823","NY00000823_01","Mazagão","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:02:40-03","NBC","NL-BOTANY","U 0003094","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","Mori SA","Daly DC; Cardoso R",NA,"1984","12","19","Southern America","Brazil","Amapá","Territory of AmapáMunicípio Mazagao, BR 156, incomplete road toward Monte Dourado. 75-80km WSW of Macapá, 5-10km SW of Rio Preto.","-51.8","-0.133333",NA,"Terra firme moist forest, hilly terrain.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003094","NL-U0003094",NA,"isotype","Magnoliopsidae","-51.8","-0.133333","21505",NA,NA,NA,NA
"8","2018-01-05 13:04:06-02","MNHN","RECOLNAT_MNHN_P","P01900109","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A.Mori","Mori","Daly, D.C.|Cardoso, R.",NA,"1984","12","19",NA,"Brésil",NA,"Territory of Amapa. Municipio Mazagao, BR 156, incomplete road toward Monte Dourado.75-80 km WSW of Macapa, 5-10 km SW of Rio Preto.","49.76667","-15.48028","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900109' target='other'> <mi>dwc_moreinfo</mi></a>","P01900109","P01900109_01",NA,"isotype",NA,NA,NA,NA,"3917",NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3303251","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A. Mori","S. Mori","Scott A. Mori|R.M. Cardoso","Mori 17468","1984","12","20","South America","Brazil","Amapá","Mun. de Mazagão. BR 156, road under construction which will connect Macapá with Monte Dourado, 81 km WSW of Macapá, ca. 11 km SW of Rio Preto. Non-inundated moist forest.","-51.8","-0.13333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3181884","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","rabeliana","Eschweilera rabeliana","S.A. Mori",NA,"D. C. Daly & R. Cardoso","3917","1984","12","19","South America - Neotropics","Brazil","Amapá","Br 156, incomplete road toward Monte Dourado, 75-80 km WSW of Macapa, 5-10 km SW of Rio Preto.","-51.2893981933594","-0.115000002086163",NA,NA,"US00288580","US00288580_01","Mazagão","Isotype","Dicotyledonae",NA,NA,NA,NA,"195641","1","auto"
