"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2862004","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","7420","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515832' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862004","NY02862004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02674742","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","T. D. Pennington","L.A. Gomes","198","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto: Interior da mata. Fonte do boi.","-37.4197","-11.395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2292937' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674742","NY02674742_01","2011","09","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375050","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","T. D. Pennington","G. G. Bondar","5","South America","Brazil","Bahia","Itacaré",NA,"-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375050","NY00375050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","634421","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","T. D. Pennington","S. C. de Sant'Ana","884","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una. Coletas efetuadas ao longo do ramal de acesso a sede da Reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634421","NY00634421_01","2000","06","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375052","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","A. M. Amorim","S. C. de Sant'Ana","670","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Trilha paralela á area de cacau cabruca, vizinho a reserva. Regiao da Mata Higrófila Sul Baiana","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375052","NY00375052_01","1998","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375051","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","T. D. Pennington","J. G. Jardim","4","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375051","NY00375051_01","1993","01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375053","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","T. D. Pennington","S. A. Mori","13245","South America","Brazil","Bahia","Una","Estrada Olivença/Una, a 23 km ao S de Olivença. Próximo ao nível do mar. Restinga","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375053","NY00375053_01","1979","12","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02674929","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","D. Piotto","D. Piotto","2465","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671290' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674929",NA,"2010","06","10","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00749581","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","P. Fiaschi","P. Fiaschi","2575","South America","Brazil","Bahia","Itacaré","Estrada Itacaré-Ubaitaba, km 8. Area do inventario do Plano de Manejo do Parque Estadual da Serra do Conduru. Fazenda pertencente ao IESB","-39.0652778","-14.35138889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749581","NY00749581_01","2004","10","26","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:04:15-03","JBP","HPL","11687","S","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima",NA,"H. Lorenzi","H. Lorenzi","6325",NA,"Brasil","BA","Una","Coeltado na BA 001, cerca de 1 km depois da Reserva Biológica de Uma, sentido Olivença, em área de mata de tabuleiro.","-39.0753","-15.2933",NA,NA,NA,NA,"2007","06","30",NA,NA,"2007","03","30","36070","auto",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-27 13:52:54-03","UFS","ASE","23072","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","Alves-Araújo, A","Gomes, LA; Déda, RM; Santos, E; Matos, GMA","317","Southern America","Brasil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Próxima a fonte do boi.","-37.418611","-11.3675",NA,"Árvore com ca. de 13 m de altura. Possui frutos imaturos verdes. Presença de látex.; Árvore com ca. de 13 m de altura. Possui frutos imaturos verdes. Presença de látex.; Mata Atlântica.","ASE0028622","ASE0028622","2012","02","24",NA,NA,"2012","07","16",NA,NA,"-37.418611","-11.3675",NA,NA,NA,NA,NA
"12","2019-11-27 13:52:54-03","UFS","ASE","19083","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","Alves-Araújo, A","Gomes, LA; Santos, E","24","Southern America","Brasil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Interior da mata. Fonte do boi. Solo areno-argiloso.","-37.419167","-11.384444",NA,"Árvore ca. de 15m de altura. Látex branco. Frutos imaturos verdes.; Árvore ca. de 15m de altura. Látex branco. Frutos imaturos verdes.; Mata Atlântica.","ASE0026392",NA,"2010","11","23",NA,NA,"2012","07","16",NA,NA,"-37.419167","-11.384444",NA,NA,NA,NA,NA
"13","2019-11-27 13:52:54-03","UFS","ASE","32993","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","Damasceno, SA","Damasceno, SA","23","Southern America","Brasil","Sergipe","Japaratuba","Povoado Bonito","-36.5624","-10.3536",NA,"Arbusto com aproximadamente 3m de altura, apresentando botões florais imaturas.; Mata Atlântica","ASE0004968","ASE0004968","2014","11","24",NA,NA,"2015","02","04",NA,NA,"-36.5624","-10.3536",NA,NA,NA,NA,NA
"14","2019-11-19 14:09:24-03","UFRPE","PEUFR","34221","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D. Penn.","E. B. Almeida-Júnior","D.P. Lima","13106",NA,"Brasil","Bahia","Ilhéus","Fazenda Ipiranga","-39.0494003295898","-14.7889003753662",NA,"Árvore de mais ou menos 9m de altura, por 30cm de diâmetro; látex branco em grande quantidade; flores cor de gelo quase sem perfume; frtuos comestíveis.","PEUFR034221",NA,"1972","10","26",NA,NA,"2008","02","21","61245","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-19 14:09:24-03","UFRPE","PEUFR","41093","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D. Penn.","E. B. Almeida-Júnior","D.P. Lima","13106",NA,"Brasil","Bahia","Ilhéus","Fazenda Ipiranga","-39.0494003295898","-14.7889003753662",NA,"Árvore de mais ou menos 9m de altura, por 30cm de diâmetro; látex branco em grande quantidade.","PEUFR041093",NA,"1972","10","26",NA,NA,"2008","02","21","61245","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-11-19 14:09:24-03","UFRPE","PEUFR","9274","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D. Penn.","E. B. Almeida-Júnior","D.P. Lima","13106",NA,"Brasil","Bahia","Ilhéus","Fazenda Ipiranga","-39.0494003295898","-14.7889003753662",NA,"Árvore de mais ou menos 9m de altura, por 30cm de diâmetro; látex branco em grande quantidade; flores cor de gelo quase sem perfume; frtuos comestíveis.","PEUFR009274",NA,"1972","10","26",NA,NA,"2008","12","03","61245","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-19 14:09:24-03","UFRPE","PEUFR","30378","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D. Penn.","E. B. Almeida-Júnior","F.B. Ramalho","13",NA,"Brasil","Bahia","Jaguarari","Fazenda Tapagem","-40.19580078125","-10.2638998031616",NA,"Árvore ca. 6m de altura; flores verdes pequenas, perfume agradável.","PEUFR030378",NA,"1971","09","22",NA,NA,"2008","02","21","60045","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-06-27 10:26:50-03","UFES","VIES","22180","S","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.",NA,"Vivas, C.V.; Paixão, J.L.; Mariano-Neto, E. & Tarazi, R.","2",NA,"Brasil","Bahia","Una","Reserva Biológica de Una.","-39.0752983093262","-15.2932996749878",NA,NA,"VIES022180","VIES022180","2010","06","11",NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-04-27 16:11:38-03","UFES","VIES","14675","S","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","Alves-Araújo, A.","Gomes, L.A.; Deda, R.M.; Santos, E. & Matos, G.M.A.","317",NA,"Brasil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.448299407959","-11.3507995605469",NA,NA,"VIES014675","VIES014675","2012","02","24",NA,NA,"2012","07","16","26417","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:38:52-03","UFC","EAC","48885","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D.Penn.","Castro, A.S.F.","Castro, A.S.F.","2437","Southern America","Brasil","Bahia","Una","REBIO de UNA","-39.0752983093262","-15.2932996749878",NA,"Árvore, 20m, endêmica da Bahia; Mata Atlântica","EAC0048885",NA,"2011","01","25",NA,NA,"2011","03",NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:44:48-03","MBM","MBM","285339","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","maxima","Manilkara maxima","T.D. Penn.","Almeida Jr.; E.B.","Sant'Ana, S.C. de; et al.; et al.","553","Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no Km 46 da Rod. BA 001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana","-39.0752983093262","-15.2932996749878",NA,"Árvore com ca. de 15m de altura e 30 cm de diâmetro. Folha com face adaxial verde-escura e face abaxial ferrugínea. Flores esbranquiçadas. Látex branco abundante. Flores em álcool 70%","MBM285339","MBM285339","1994","09","06",NA,NA,"2009","05","05","36070","auto",NA,NA,NA,NA,NA,NA,NA
