"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:37-03","UNESC","CRI","10207","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","calycina","Eugenia calycina","Cambess.","J. Cordeiro","M. G. Caxambu; et al.","2297","2008","10","24","Brasil","Mato Grosso do Sul","Corumbá","Passo do Lontra - Base da UFMS.","-57.031389","-19.571467","57º1'53''W","19º34'288''S","84","84","CRI005018","CRI005018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","5387","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Ribeiro, C.L.","Sirley Regina Steiner",NA,"1996","11","17","Brasil","Santa Catarina","Forquilhinha",NA,"-49.4725","-28.748056","49º28'21''W","28º44'53''S",NA,NA,"CRI005196","CRI005196","2019","08","05","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","15324","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Aline Votri Guislon","João Paulo Gava Just; Aline V. Guilson",NA,"2020","08","01","Brasil","Santa Catarina","Nova Veneza","Centro.","-49.4975","-28.633611","49º29'51''W","28º38'1''S","92","92","CRI014741",NA,"2020","08","01","Cálice verde com 4 sépalas; Corola branca e 4 pétalas; Brácteas cordadas e persistentes. Hábito Ciófito, Casca do tronco esfoliante suberosa. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:37-03","UNESC","CRI","14581","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Aline Votri Guislon & Renato Colares","Aline Votri Guislon; Renato Colares & Lucas Oliveira",NA,"2018","08","30","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. (L4)","-49.363611","-28.746944","49º21'49''W","28º44'49''S","140","140","CRI013886","CRI013886","2018","08","30","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","5042","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Marcos Sobral","Vanilde Citadini-Zanette",NA,"1996","11","04","Brasil","Santa Catarina","Lauro Muller",NA,"-49.395833","-28.391667","49º23'45''W","28º23'30''S",NA,NA,"CRI005189","CRI005189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","5010","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Ribeiro, C.L.","M. Pirola; E. Giacomelli e E. Piazza",NA,"1996","10","16","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI005031","CRI005031","2019","08","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","4511","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","involucrata","Eugenia involucrata","DC.","Elaine T. G. Carvalho","Elaine T. G. Carvalho",NA,NA,NA,NA,"Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI005188","CRI005188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:47-03","E","E","202910","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bracteata","Eugenia bracteata",NA,NA,"Proença, C.","1986","1998","09","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00202910",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:47-03","E","E","167703","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bracteata","Eugenia bracteata",NA,NA,"Cesar, H.L.","255","1979","11","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00167703",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:176696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:47-03","E","E","207006","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bracteata","Eugenia bracteata",NA,NA,"Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","1984","1998","09","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00207006",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00207006 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:41:47-03","E","E","135418","PreservedSpecimen","Plantae","Myrtaceae","Eugeniopsis","gardneriana","Eugeniopsis gardneriana",NA,NA,"Gardner, George","4449",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00135418",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:143249","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
