"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","typeStatus","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3463","S","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","labiata","Aristolochia labiata","Willd.","Lucas Assis","2014","02","07","Lucas Assis; Kelen Soares","2014","02","Brasil","Minas Gerais","Diamantina","Ribeirão do Inferno.","-43.6002998352051","-18.2493991851807","101169","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1581474","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1970","03","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 20 km E. of Diamantina","-43.5196","-18.18055",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846280' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"27435","13","South America","790","790","sheet","NY01581474","NY01581474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837347","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1965","10","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagoa Paranoá, Brasília","-47.88","-15.73",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929705' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9096","09","South America","975","975","sheet","NY00837347","NY00837347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00837350","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1966","03","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929712' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13985","15","South America","950","950","sheet","NY00837350","NY00837350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","679923","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1966","03","Brazil","Goiás","Formosa","Serra Geral de Goiás. Rio Paraná, ca. 35 km N. of Formosa","-46","-14",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854178' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"14252","30","South America","950","950","sheet","NY00679923","NY00679923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00837376","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1969","03","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 35 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.80036",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929713' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"24416","15","South America","1000","1000","sheet","NY00837376","NY00837376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837349","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1966","02","Brazil","Distrito Federal","Brasília","Ribeirão Torto, ca. 10 km N.E. of Brasília","-47.87","-15.72",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929708' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13084","22","South America","950","950","sheet","NY00837349","NY00837349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1040051","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"T. C. Plowman","1980","04","Brazil","Distrito Federal","Brasília","Highway BR 020 from Brasília to Sobradinho, 5 km. east of road interchange at Riberião Sobradinho.","-47.82","-15.67",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502099' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9980","03","South America","1030","1060","sheet","NY01040051","NY01040051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1580672","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1966","02","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 7 km W. of Veadeiros","-47.58153","-14.1167",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846314' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"12899","15","South America","950","950","sheet","NY01580672","NY01580672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1040049","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"E. P. Heringer","1978","03","Brazil","Distrito Federal","Brasília","Margem do Lago Paranoá.","-47.9297","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502091' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"17152","28","South America",NA,NA,"sheet","NY01040049","NY01040049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00837365","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"W. R. Anderson","1973","03","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 13 km by road S of Terezina","-47.2647","-13.8939",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929715' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7231","16","South America","1000","1000","sheet","NY00837365","NY00837365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1580675","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1969","03","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 10 km south of Cavalcante","-47.5","-13.89039",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846308' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"24077","08","South America","1000","1000","sheet","NY01580675","NY01580675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1040045","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","galeata","Aristolochia galeata","Mart. & Zucc.","F. A. González",NA,NA,NA,"H. S. Irwin","1965","09","Brazil","Distrito Federal","Brasília","Immediately W. of Planaltina","-47.67603","-15.6167",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502082' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"8744","28","South America","950","950","sheet","NY01040045","NY01040045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
