"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","806687","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob.","G. L. Esteves","2690","2000","08","09","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha dos Tucanos. Mata Ombrófila Degradada.","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806687","NY00806687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802135","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob.","G. Gardner","II-774","1837",NA,NA,"South America","Brazil",NA,NA,"Serra dos Orgãos.","-43.073169","-22.496706","sheet","Comm. am. Shuttleworth 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802135","NY00802135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802138","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob.","Y. E. J. Mexia","5019","1930","08","30","South America","Brazil","Minas Gerais",NA,"Distrito Ilheu. Fazenda da Tabuncha. Trail to Capichava.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802138","NY00802138_01","210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802001","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob.","S. A. Mori","10715",NA,NA,NA,"South America","Brazil","Bahia","Itamarajú",NA,"-39.5308","-17.0394",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802001","NY00802001_01",NA,NA,"H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 20:00:00-03","NY","NYBG","802137","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia",NA,"W. Hoehne","6248","1968","08","17","South America","Brazil","São Paulo",NA,"Aguas de Lindoia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802137","NY00802137_01",NA,NA,"H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","802136","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob.","M. Kuhlmann","390","1943","03","27","South America","Brazil","São Paulo",NA,"Monte Alegre do Sul.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802136","NY00802136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:40-03","ESALQ","ESA","115398","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia",NA,"Lima, D.F.","163.0","2011","04","15",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115398","ESA115398",NA,NA,"Lima, D.F.","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:01:40-03","ESALQ","ESA","115285","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia",NA,"Meirelles, J.","551.0","2011","04","16",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115285","ESA115285",NA,NA,"Goncalves, D.J.F.","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:34:14-02","IPA","IPA","10509","S","Plantae","Plantae",NA,"Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H. Rob.","Pickel, B.","4408","1939","08","10","Southern America","Brasil","São Paulo","São Paulo","Chácara dos Morrinhos, Na mata.","-46.6300010681152","-23.5400009155273",NA,NA,"IPA0010509","IPA0010509",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:15:53-03","UFV","VIC","31354","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Fleischmannia","remotifolia","Fleischmannia remotifolia","(DC.) R.M.King & H.Rob","Ferreira, S.C.; et al.","176","2005","09","09",NA,"Brasil","Minas Gerais","Viçosa","EPTEA Mata do Paraíso, Mata do Paraíso. Trilha do circuito das águas.","-42.8819007873535","-20.7539005279541",NA,"Subarbusto, c.a. de 1,0 metro de altura; flores brancas, ramos do estilete branco, brácteas verdes.","VIC031354","VIC031354",NA,NA,"Nakajima, J.N.","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
