"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","typeStatus","coordinatePrecision","imagecode","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","04073066","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","D. Piotto","D. Piotto","1608","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671110' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","71312","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson",NA,"S. A. Mori","10852","1978","10","19","South America","Brazil","Bahia","Santa Cruz Cabrália","Arredores da Est. Ecológica do Pau-brasil (Ca. 17 km a W de Porto Seguro), estrada velha de Sta. C. de Cabrália, 4-6 km a E da sede da Estaçao. Mata Higrófila Sul Baiana em fase de destruiçao.","-39.0247001647949","-16.2780990600586",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071312","isotype","49584","NY00071312_01","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-27 10:25:30-03","UFES","VIES","6569","S","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","Amorim, A.","Pereira, O.J.; Gomes, J.M.L. & Pereira, S.","4269","1992","12","02",NA,"Brasil","Espírito Santo","Conceição da Barra","Área 126 da Aracruz Celulose S.A.","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES006569",NA,"41644","VIES006569","auto","1999",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-06 19:29:49-03","UFES","VIES","25676","S","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson",NA,"Assis, A.M.; Freitas, J.","3423","2012","09","30",NA,"Brasil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra - Quadrado.","-39.800833","-18.67","20","20",NA,NA,"VIES025676",NA,NA,"VIES025676",NA,NA,"39º48'3''W","18º40'12''S",NA,NA,NA,NA,NA
"5","2020-04-27 16:10:19-03","UFES","VIES","25396","S","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","P.H.D. Barros","Giaretta, A.O.; Marcarine, L. & Gustavo","1061","2011","11","25",NA,"Brasil","Espírito Santo","Conceição da Barra","Estrada que segue para Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES025396",NA,"41644","VIES025396","auto","2019",NA,NA,"03","21",NA,NA,NA
"6","2020-04-27 16:10:19-03","UFES","VIES","9984","S","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","P.H.D. Barros","Pereira, O.J.; Albertone","5741","1996","12","04",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES009984",NA,"48094","VIES009984","auto","2019",NA,NA,"01","17",NA,NA,NA
"7","2019-06-27 10:25:30-03","UFES","VIES","12343","S","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","Dutra, R.L.S.","Dutra, R.L.S.","176","1996","10","20",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES012343",NA,"48094","VIES012343","auto","1996",NA,NA,NA,NA,NA,NA,NA
"8","2021-02-25 10:12:51-03","CVRD","CVRD","10787","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R. Anderson","Geovane S. Siqueira","Folli, D.A.","5902","2008","03","05","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Jarrinha","CVRD010787",NA,"48094",NA,"auto","2008",NA,NA,"06","06","Magnoliopsida",NA,NA
"9","2021-02-25 10:12:51-03","CVRD","CVRD","15572","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R. Anderson",NA,"Folli, D.A.","7455","2016","02","04","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","10","10",NA,"<ll>dwc_commonname:</ll> Jarrinha","CVRD015572",NA,"48094","CVRD015572","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"10","2021-02-25 10:12:51-03","CVRD","CVRD","1230","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R. Anderson","William R. Anderson","Farias, G.L.","82","1985","10","22","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Jarrinha","CVRD001230",NA,"48094","CVRD001230","auto","1998",NA,NA,"12","22","Magnoliopsida",NA,NA
"11","2021-02-25 10:12:51-03","CVRD","CVRD","7117","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R. Anderson","William R. Anderson","Folli, D.A.","4098","2001","10","24","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"<ll>dwc_commonname:</ll> Jarrinha","CVRD007117",NA,"48094","CVRD007117","auto","2002",NA,NA,"10","09","Magnoliopsida",NA,NA
"12","2021-02-25 10:12:51-03","CVRD","CVRD","15000","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R. Anderson","Geovane S. Siqueira","Siqueira, G.S.","987","2014","09","08","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","25","25",NA,"<ll>dwc_commonname:</ll> Jarrinha","CVRD015000",NA,"48094","CVRD015000","auto","2014",NA,NA,"09","09","Magnoliopsida",NA,NA
"13","2020-09-12 05:00:02-03","US","US","USw43201","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Hiraea","bullata","Hiraea bullata",NA,NA,"M. R. Pace et al.","351","2013","6","5","South America","Brazil","Bahia","Barro Preto","Estrada Barro Preto em direção à Pedra Lascada, 12 km após a saída da cidade.","-39.4714012145996","-14.809700012207",NA,NA,"Wood Sample",NA,NA,NA,"17116",NA,"auto",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"14","2020-09-02 16:32:19-03","Cenargen","CEN","51847","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R. F. Almeida","Carlos Augusto Ferreira Silva - Pau Brasil","19","2001","11","13",NA,"Brasil","BA","PORTO SEGURO","Fazenda Bom Sossego.","-39.097222","-16.371666","55","55","Exsicatas","CAP 27 cm. Doação do Banco Genético do Pau Brasil. Registro nº 650. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.","CEN00051847",NA,NA,"CEN00051847",NA,"2014","-39.097222","-16.371666","01",NA,NA,"3",NA
"15","2021-03-15 18:28:30-03","USP","SPF","211868","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","Amorim, AMA","Pace, MR; Amorim, AMA; Gomes, LCJ; Halla Daneu, LT","351","2013","06","05",NA,"Brasil","Bahia","Barro Preto","Estrada Barro Preto em direção à Pedra Lascada, 12 km após a saída da cidade.","-39.4714012145996","-14.809700012207",NA,NA,NA,"Liana jovem crescendo em cerca de arame farpado ao lado da estrada. Estípulas evidentes na porção mediana do pecíolo. Planta estéril, coleta de caule para estudos anatômicos.","SPF00211868",NA,"17116","SPF00211868","auto","2013",NA,NA,"06","05",NA,NA,NA
"16","2019-10-07 09:32:02-03","UEFS","HUEFS","92519","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R.F.Almeida","Carvalho-Sobrinho, J.G.de","374","2005","02","26",NA,"Brasil","Bahia","Entre Rios","Área de poços da Petrobrás.","-37.953611","-11.885556","90","100",NA,"Restinga arbustivo-arbórea, secundária, solo arenoso.","HUEFS0092519",NA,NA,"HUEFS0092519",NA,"2015","37W57'13''","11S53'8''",NA,NA,"Rosanae",NA,NA
"17","2019-10-07 09:32:02-03","UEFS","HUEFS","146031","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R.F.Almeida","Popovkin, A.V.","434","2008","10","31",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.048611","-12.017778",NA,NA,NA,NA,"HUEFS0146031",NA,NA,"HUEFS0146031",NA,"2015","38W2'55''","12S1'4''",NA,NA,"Rosanae",NA,NA
"18","2019-10-07 09:32:02-03","UEFS","HUEFS","146035","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R.F.Almeida","Popovkin, A.V.","438","2008","10","31",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.048611","-12.017778",NA,NA,NA,NA,"HUEFS0146035",NA,NA,"HUEFS0146035",NA,"2015","38W2'55''","12S1'4''",NA,NA,"Rosanae",NA,NA
"19","2019-10-07 09:32:02-03","UEFS","HUEFS","172276","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R.F.Almeida","Jardim, J.G.","5215","2008","04","16",NA,"Brasil","Bahia","Itacaré","Loteamento da Macambira, rodovia Itacaré/Ilhéus, entrada ca. 2km S entrocamento; ca. 1,2 da entrada.","-39.016667","-14.316667",NA,NA,NA,"Floresta Ombrófila Densa.","HUEFS0172276",NA,NA,"HUEFS0172276",NA,"2015","39W1'0''","14S19'0''",NA,NA,"Rosanae",NA,NA
"20","2019-10-07 09:32:02-03","UEFS","HUEFS","172300","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson","R.F.Almeida","Jardim, J.G.","5192","2008","01","27",NA,"Brasil","Bahia","Canavieiras","Rod. Canavieiras/Una, ca. 17km da cidade. Vicinal para a região do cotovelo, ca. 3km da entrada.","-38.966667","-15.558889","20","20",NA,"Floresta de Restinga.","HUEFS0172300",NA,NA,"HUEFS0172300",NA,"2015","38W58'0''","15S33'32''",NA,NA,"Rosanae",NA,NA
"21","2019-10-07 09:32:02-03","UEFS","HUEFS","186164","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Hiraea","bullata","Hiraea bullata","W.R.Anderson",NA,"Popovkin, A.V.","1079","2012","03","16",NA,"Brasil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.033333","-12.016667","153","153",NA,"Atlantic forest.","HUEFS0186164",NA,NA,"HUEFS0186164",NA,NA,"38W2'","12S1'",NA,NA,"Rosanae",NA,NA
