"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017856","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Y. Ramírez-Amezcua","L. B. Smith","12774","1964","10","21","South America","Brazil","Santa Catarina","Sao Miguel do Oeste","Forest above Rio Reperi-guaçu, Peperi.","-53.73","-26.53","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017856","NY01017856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","593225","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","J. Külkamp","G. G. Hatschbach","14927","1966","10","16","South America","Brazil","Paraná","Porto Vitória","Porto Vitória","-51.2317","-26.1611",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593225","NY00593225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","791672","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Y. Ramírez-Amezcua","M. H. Nee","49215","1998","05","02","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Transition from subtropical semideciduous forest on old stabilized sandy dunes to the north and the northern limit of the chaco forest to the south, along new highway from Santa Cruz to Abapó, 9 km S of Río Peji bridge.","-63.2","-18.05","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1065351","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","J. Külkamp","W. R. Anderson","36284","1972","02","19","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Espinhaço. Ca. 10 km S of Serra do Cipó, at Cardeal Mota","-43.7144012451172","-19.1688995361328","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065351","NY01065351_01","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:38:17-03","EAO","IAN","18254","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Chiropetalum","anisotricha","Chiropetalum anisotricha","(Müll.Arg.) Pax & K.Hoffm.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018254","IAN018254_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:28:59-03","IAP","PACA-AGP","8165","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Külkamp","Rambo, B.",NA,NA,NA,NA,NA,"Brasil","RS",NA,NA,NA,NA,NA,NA,NA,"Fenofase: flor e fruto","PACA008165",NA,NA,NA,"Magnoliatae","2016","08","23",NA,NA,NA,NA,NA
"7","2019-08-27 13:28:59-03","IAP","PACA-AGP","26498","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Külkamp","Henz, E.",NA,"1944",NA,NA,NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,NA,"Habitat: in silva primaeva Fenofase: flor e fruto","PACA026498",NA,"21601","auto","Magnoliatae","2016","08","23",NA,NA,NA,NA,NA
"8","2019-08-27 13:28:59-03","IAP","PACA-AGP","42413","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Külkamp","Rambo, B.",NA,"1949","07","07",NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,NA,"Habitat: in silva primaeva Fenofase: flor e fruto","PACA042413",NA,"21601","auto","Magnoliatae","2016","08","23",NA,NA,NA,NA,NA
"9","2019-08-27 13:28:59-03","IAP","PACA-AGP","42954","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Külkamp","Rambo, B.",NA,"1949","08","18",NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,NA,"Habitat: in silva primaeva Fenofase: flor e fruto","PACA042954",NA,"21601","auto","Magnoliatae","2016","08","23",NA,NA,NA,NA,NA
"10","2019-08-27 13:28:59-03","IAP","PACA-AGP","52774","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Chiropetalum","anisotrichum","Chiropetalum anisotrichum","(Müll.Arg.) Pax & K.Hoffm.","Külkamp","Rambo, B.",NA,"1952","07",NA,NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,NA,"Habitat: in silva primaeva Fenofase: flor e fruto","PACA052774",NA,"21601","auto","Magnoliatae","2016","08","23",NA,NA,NA,NA,NA
