"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","continentOcean","relatedCatalogItem","relationshipType","fieldNumber","preparationType","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:33:22-03","UNESC","CRI","8084","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Telma Elyta V. Azeredo","2008","08","12","Telma Elyta V. Azeredo","63","2008","08","04","Brasil","Santa Catarina","Siderópolis","Barragem Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habitat: Floresta Ombrófila Densa","CRI001903","CRI001903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","355","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Elton. C. M. Leme","2011","08",NA,"Shoey Kanashiro;","Kanashiro386","1993","05","14","Brasil","São Paulo","Sete Barras","Fazenda Intervales","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","34059","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","516","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Bruno Rezende Silva; Karl Green",NA,"1999","08","26","Brasil","São Paulo","Cananéia","Mata Atlântica de encosta","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","37574","2","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","356","S","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum","(Baker) Linden & E.Morren ex Lindm.","Elton. C. M. Leme","2011","08",NA,"M. G. Lapa Wanderley;",NA,"1992","08",NA,"Brasil","São Paulo","Sete Barras","Fazenda Intervales","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","34059",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:15-03","UFRJ","RFA","8676","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","smithii","Wittrockia smithii","Reitz","L.B. Smith & S.F. Smith",NA,NA,NA,"G.G. Hatschbach",NA,"1967","03","20","Brasil","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"Terrícola, saxícola, brácteas e sépalas vermelho-tijolo, pétalas alvescente com ápice esverdeado","RFA51344",NA,NA,NA,"55154",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:12:35-03","NBC","NL-BOTANY","U.1174958","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","amazonica","Wittrockia amazonica","(Baker) L.B.Sm.","Gouda EJ","1999","11","01","Leme EMC",NA,NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174958","NL-U1174958",NA,"Poales",NA,NA,NA,"Magnoliopsidae","Southern America","U 0081768",NA,NA,NA,NA,NA
"7","2020-02-08 10:12:35-03","NBC","NL-BOTANY","U.1174959","PreservedSpecimen","Plantae","Bromeliaceae","Wittrockia","amazonica","Wittrockia amazonica","(Baker) L.B.Sm.","Gouda EJ","1999","11","01","Leme EMC",NA,NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174959","NL-U1174959",NA,"Poales",NA,NA,NA,"Magnoliopsidae","Southern America","U 0081767",NA,NA,NA,NA,NA
"8","2020-11-04 11:03:56-03","ESALQ","ESA","17697","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum",NA,"Moreira, B.A.","2009",NA,NA,"Moraes, P.L.R. ; Ivanauskas, N.M.",NA,"1995","01","19","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA017697","ESA017697","Magnoliophyta",NA,"27904",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:56-03","ESALQ","ESA","19236","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","amazonicum","Nidularium amazonicum",NA,"Moreira, B.A.","2009",NA,NA,"Miyagi, P.H. et al.","532.0","1995","02","15","Brasil","São Paulo","Mamparra",NA,NA,NA,NA,NA,NA,NA,NA,"ESA019236","ESA019236","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:56-03","ESALQ","ESA","97456","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae",NA,"Breier, T.B.",NA,NA,NA,"Rocca, M.A.","6.0","2003","09","02","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA097456","ESA097456","Magnoliophyta",NA,"34059",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:03:56-03","ESALQ","ESA","84583","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","krisgreeniae","Nidularium krisgreeniae","Leme","Breier, T.B.",NA,NA,NA,"Araki, D.F.; Rother, D.C; Oliveira S.H; Toledo, R.M; Tamashiro J.Y; Rodrigues, R.R.; Souza, V.C.; Paula-Souza, J. ; Muniz, M.R.A.","28.0","2003","04","16","Brasil","São Paulo","Eldorado","BLOQUEADO","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Erva - 0,35 m, trilha,Inflorescencia verde","ESA084583","ESA084583","Magnoliophyta",NA,"38804",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
