"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","stateProvince","locality","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:36:11-03","E","E","161254","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","Ibáñez García, A. & Bridgewater, S.","1996","11","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168660","<a href=http://data.rbge.org.uk/herb/E00161254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1546546","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","divaricatum","Aspidosperma divaricatum","J. A. Rizzo","1970","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1894277' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546546","Magnoliophyta","Gentianales","Duarte","isotype","124[= herb. RB 155544]","Goiás","Univ. Fed. Goiás- Depto. Botânica","NY01546546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","970656","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","J. A. Ratter","1968","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970656","Magnoliophyta","Gentianales","A.DC.",NA,"R.1051","Mato Grosso","9 km E of the Base Camp of the Expedition. (Base Camp c. 270 km N of Xavantina).","NY00970656_01","-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01172456","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","M. H. Nee","1987","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1389004' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172456","Magnoliophyta","Gentianales","A.DC.",NA,"34744","Rondônia","5 km. NE of Guajara Mirim. Rocky tops and slopes of westernmost hill of Serra Pacaas Novos (with Embratel antennas).","NY01172456_01 NY01172456_02","-65.25","-10.73","A. J. M. Leeuwenberg","Guajará-Mirim","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","970657","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","J. A. Ratter","1968","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970657","Magnoliophyta","Gentianales","A.DC.",NA,"R.2130","Mato Grosso","8 km S. of the Base Camp of the Expedition (Base Camp c. 270 km N. of Xavantina).","NY00970657_01","-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970666","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","H. S. Irwin","1966","06","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970666","Magnoliophyta","Gentianales","A.DC.",NA,"16438","Mato Grosso","Ca. 84 km. N. of Xavantina. Serra do Roncador.","NY00970666_01","-52.1","-13.93","W. Marcondes-Ferreira",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970669","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","D. R. Hunt","1966","07","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970669","Magnoliophyta","Gentianales","A.DC.",NA,"6704","Distrito Federal","Planaltina.","NY00970669_01","-47.6667","-15.6167","W. Marcondes-Ferreira","Brasília","900","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440271","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","R. M. Harley","1980","05","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440271","Magnoliophyta","Gentianales","A.DC.",NA,"21999","Bahia","Chapadao Ocidental da Bahia. 5 km to the North of Tabocas, which is 10 km N.W. of Serra Dourada","NY00440271_01","-44.03","-12.65","W. Marcondes-Ferreira",NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970654","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","C. A. Cid Ferreira","1985","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970654","Magnoliophyta","Gentianales","A.DC.",NA,"6074","Mato Grosso","BR 163, Rod. Cuiabá-Sinop a 145 km ao S de Sinop. Próx. a Lucas do Rio Verde.","NY00970654_01 NY00970654_02","-55.92","-13.08","Leewenberg","Nobres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01172450","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","multiflorum","Aspidosperma multiflorum","C. A. Cid Ferreira","1987","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388996' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172450","Magnoliophyta","Gentianales","A.DC.",NA,"8921","Rondônia","Serra do Balateiro a 07 km da Vila Campo Novo","NY01172450_01 NY01172450_02","-63.65","-10.583333","A. J. M. Leeuwenberg","Porto Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
