"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","continentOcean","occurrenceRemarks","typeStatus"
"1","2020-11-04 12:17:40-03","ESALQ","ESA","62724","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall.","Forster, W.","Kozera, C. et al.","867.0","1999","01","12","Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666","34059","ESA062724","ESA062724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-08 08:54:35-03","FURB","FURB","40441","PreservedSpecimen","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Siqueira, CE","Funez, L.A.","1707","2013","02","06","Brasil","Santa Catarina","Blumenau","-49.0761111","-27.0027778",NA,"FURB04176","FURB04176",NA,"2013","03","19","RPPN Bugerkopf, trilha principal.","-49.0761111","-27.0027778","353","353",NA,NA,NA,NA
"3","2020-08-31 09:19:53-03","INPA","INPA","91293","S","Plantae","Monocotyledon","Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Braga, PIS","Calderón, CE","2675","1979","06","25","Brasil","Amazonas",NA,"-63.016667","-7.5",NA,"INPA0091293","INPA0091293 INPA0091293_e INPA0091293_e1",NA,"1981","01",NA,"Prainha, 13 km on road to, 13 km to Prainha W of Transamazônica.","-63.016667","-7.5",NA,NA,"Asparagales","Southern America",NA,NA
"4","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","7139",NA,"Plantae",NA,"Orchidaceae","Dictyophyllaria","dietschiana","Dictyophyllaria dietschiana","(Edwall) Garay","Toscano/IV-1996","R. Kautsky",NA,"1995","11","30","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","MBML007139",NA,"auto",NA,NA,NA,"mata do Sr. Roberto Kautsky",NA,NA,NA,NA,NA,NA,"Terrestre, umbrófila, ca. 30cm de comprimento. Raízes, caules e folhas cor verde-escura. Ovário verde-escuro. Sépalas e pétalas de cor verde-clara. Labelo alvo; calosidade levemente esverdeada em direção à base e amarelada em direção a",NA
"5","2020-08-20 20:37:57-03","UFSC","FLOR","3990","PreservedSpecimen","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Pabst, G.","Klein, R.M.; Bresolin, A.","8271","1969","03","14","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","FLOR0003990","FLOR0003990","auto","1975",NA,NA,"Ilha de Santa Catarina.",NA,NA,"200","200","Asparagales",NA,"terrícola, Fruto Imaturo, verde",NA
"6","2020-08-20 20:37:57-03","UFSC","FLOR","3900","PreservedSpecimen","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Pabst, G.","Bresolin, A.","819","1973","09","19","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","FLOR0003900","FLOR0003900","auto","1976",NA,NA,"Lagoa do Peri, Morro Jacaré, Ilha de Santa Catarina.",NA,NA,"50","50","Asparagales",NA,"terrícola, Fruto Imaturo, verde",NA
"7","2020-08-20 20:37:57-03","UFSC","FLOR","2682","PreservedSpecimen","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Pabst, G.","Klein, R.M.; Souza Sobrinho, R.J. de","8708","1970","06","03","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","FLOR0002682","FLOR0002682","auto","1971",NA,NA,"Saco Grande, Ilha de Santa Catarina.",NA,NA,"150","150","Asparagales",NA,"terricola, Fruto Imaturo, verde, 0,8m altura",NA
"8","2020-08-20 20:37:57-03","UFSC","FLOR","44237","PreservedSpecimen","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Stancik, J.F.","Matos, J.Z. de","10","2006","01","12","Brasil","Santa Catarina","Santo Amaro da Imperatriz","-48.7785987854004","-27.6881008148193","22435","FLOR0044237",NA,"auto","2007",NA,NA,"Morro da Queimada.",NA,NA,NA,NA,"Asparagales",NA,"herbáceo terrestre",NA
"9","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall",NA,"Dietsch, Arth","s.n.",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"P03P6N0108",NA,NA,NA,NA,"Habitat in sylvis ad Serra do Mar prov. S. Paulo",NA,NA,NA,NA,NA,"Southern America","comm. cl. Edwall. - Floret Februario - Martio",NA
"10","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall",NA,"Dietsch, Arth","s.n.",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"P03P6N0108",NA,NA,NA,NA,"Habitat in sylvis ad Serra do Mar prov. S. Paulo",NA,NA,NA,NA,NA,"Southern America","comm. cl. Edwall. - Floret Februario - Martio",NA
"11","2019-11-21 10:13:54-03","IBt","SP","24079","S","Plantae",NA,"Orchidaceae","Vanilla","dietschiana","Vanilla dietschiana","Edwall","Edwall, G","Dietsch, A","CGG6070","1903",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,"SP000109","SP000109",NA,NA,NA,NA,"Serra do Mar",NA,NA,NA,NA,NA,NA,NA,"Holotype"
