"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6007","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Marcos Sobral","V. Citadini-Zanette; C. M. Martinello & R. Santos","2433","1993","05","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: interior da mata Habito: trepadeira","CRI001592","CRI001592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","282","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","V. C. Zanette","V. Citadini-Zanette; Silva Caznok","500","1982","01","14","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI001518","CRI001518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:02-03","UNESC","CRI","1206","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Robson dos Santos","1523","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001590","CRI001590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","5067","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; V. P. Boff",NA,"1996","11","08","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"CRI001589","CRI001589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","11331","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Peterson T. Padilha","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira",NA,"2015","09","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI001520","CRI001520","2015","09","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:02-03","UNESC","CRI","624","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","974","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001591","CRI001591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1419191","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","A. M. Amorim","6587","2006","11","25","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antonio, mais 8,9 km ate a sede da RPPN. Trilha de acesso ao Mormaço","-39.3394","-15.1742",NA,NA,"400","936","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535076' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419191","NY01419191_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01197989","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","S. F. Smith","M. M. M. Lopes","603","2006","04","09","Brazil","Bahia","Camacan","Camacã: RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320468' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197989","NY01197989_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","454038","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","L. B. Smith; D. C. Wasshausen","L. R. Landrum","4005","1981","12","10","Brazil","Paraná","Antonina","Along road to Guaraquecaba","-48.67","-25.33",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454038","NY00454038_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1183892","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","E. de L. Jacques","N. M. F. da Silva","581","2006","09","14","Brazil","Espírito Santo","Santa Leopoldina","Estrada de Santa Teresa para Santa Leopoldina.","-40.5442","-20.0131",NA,NA,"602","602","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457689' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183892","NY01183892_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","454040","PreservedSpecimen","Plantae","Begoniaceae","Begonia","radicans","Begonia radicans","Vell.","L. B. Smith; D. C. Wasshausen","G. Jönsson","650a","1914","07","09","Brazil","Paraná","Lapa","Volta Grande","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454040","NY00454040_01",NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
