"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2016-09-29 16:51:00-03","NY","NYBG","00568213","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","F. Kahn","A. F. M. Glaziou","8067","1976","03","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Larangeiras","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568213","NY00568213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 16:51:00-03","NY","NYBG","00568211","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","F. Kahn","A. F. M. Glaziou","8067","1976","03","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Larangeiras","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568211","NY00568211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00568215","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"P. K. H. Dusén","s.n.","1911","03","05","South America","Brazil","Paraná","Cândido de Abreu","Serra da Prata","-51.3331","-24.5669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568215","NY00568215_01","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 16:51:00-03","NY","NYBG","00568212","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","F. Kahn","A. F. M. Glaziou","8067","1976","03","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Larangeiras","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568212","NY00568212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00568214","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","L. R. Noblick","P. K. H. Dusén","13521","1912","01","02","South America","Brazil","Paraná","Guaratuba","Guaratuba","-48.580045","-25.892616","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568214","NY00568214_01","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 16:51:00-03","NY","NYBG","00568217","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","L. R. Noblick","L. R. Noblick","4780","1989","02","01","South America","Brazil","Bahia","Nova Viçosa","22 km SE of the village of Helvécia on the property of Bahia Sul Cellulose","-39.37","-17.88","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568217",NA,NA,"50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00568218","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","R. Reitz","R. Reitz","5731","1959",NA,NA,"South America","Brazil","Santa Catarina","Sao Francisco do Sul","Morro da Brajaúba, S. Francisco do Sul","-48.6381","-26.2433","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568218","NY00568218_01","(Schott) Burret","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 16:51:00-03","NY","NYBG","00568219","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","A. J. Henderson","R. Pardini","74","1992","07","05","South America","Brazil","São Paulo","Sete Barras","Fazenda Intervales, Saibadela, trilha do Araça","-47.9197","-24.38","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00568210","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum",NA,"H. Q. B. Fernandes","73","1981","04","14","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Alto da Boa Vista, Estr. da Vista Chinesa prox. ao km 1","-43.277408","-22.971951","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568210","NY00568210_01","(Schott) Burret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 16:51:00-03","NY","NYBG","00568216","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","H. Q. B. Fernandes","H. Q. B. Fernandes","2718","1989","04","12","South America","Brazil","Espírito Santo","Santa Teresa","V. Velha, Estaçao Biológica de Santa Lúcia, margen esquerda do Timbuí","-40.6003","-19.9358","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568216",NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
