"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","previousCatalogNumber","typeStatus","infraspecificEpithet","sex"
"1","2021-04-05 14:33:19-03","UNESC","CRI","8152","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Lúcia Sevegnani","H. F. Uller","45","2008","10","10","Brasil","Santa Catarina","Indaial","Tajapós.","-49.231944","-26.898333","49º13'55''W","26º53'54''S","96","96","Habito: arbórea","CRI001684","CRI001684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","4716","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Ione da Luz","I. da Luz",NA,"1991","09","24","Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI001682","CRI001682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","14013","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Valdemar Boff","Valdemar Boff",NA,"1995","09","08","Brasil","Santa Catarina","Fraiburgo","Taquarussu","-50.922222","-27.023333","50º55'20''W","27º1'24''S",NA,NA,"Árvore com flores amarelas Habitat: Terrestre Habito: Arbórea","CRI012657","CRI012657","1995","09","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","8829","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) Mattos","Vanilde C. Zanette","Robson dos Santos; Vanilde Citadini Zanette & Zenaide Paes Topanotti",NA,"1998","10","15","Brasil","Santa Catarina","Criciúma","Propriedade de João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI001683","CRI001683","1998","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402848","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"L. Riedel","234","1831",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402848","NY00402848_01 NY00402848_02",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907709","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","S. O. Grose","A. H. Gentry","59162","1987","09","07","Brazil","Minas Gerais",NA,"Road from Fazenda Monte Alegre to Fazenda Taguaruçu",NA,NA,NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907709","NY00907709_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00402840","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"A. H. Gentry","59154","1987","09","07","Brazil","Minas Gerais","Areado","Fazenda Taquarussu; yard of Hacienda.","-46.1456","-21.3586",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402840","NY00402840_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01093263","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos",NA,"D. Fernandes","57","1998","08","20","Brazil","Rio de Janeiro","Armaçao dos Búzios","Morro entre a praia do Forno e Ferradurinha.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1231098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093263","NY01093263_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886417","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","S. O. Grose","R. S. Pinheiro","285","1967","10","14","Brazil","Bahia",NA,"Itajú, rod. Palmira - Itajú.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886417","NY00886417_01",NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02694673","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","L.A. Gomes","L.A. Gomes","969","2012","12","07","Brazil","Sergipe","Siriri","Mata do Cipó. Borda próxima ao canavial.","-37.100417","-10.507944",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953028' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694673",NA,NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
