"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:33:47-03","UNESC","CRI","2815","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.","Legrand","A. P. Duarte; E. Pereira","1959","05","06","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarépagua, RJ.","-43.172778","-22.906667","43º10'22''W","22º54'24''S","14","14","CRI005325","CRI005325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565231","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.","M. Sobral","J. G. Jardim","1998","03","19","Brazil","Bahia","Una","Reserva Biológica de Una-REBIO (IBAMA). Estrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,NA,NA,NA,"NY00565231","NY00565231_01","Magnoliophyta","Myrtales","1709","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90204' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:24-03","UFRJ","RFA","7579","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.","D. Legrand","A.P. Duarte","1959","05","06","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA46721",NA,NA,NA,"4764",NA,NA,"Arbusto de ca. 2 m, flores alvacentas","57442","auto",NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:43-03","UPM","MACK","921","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","Barb. Rodr.",NA,"Guilherme","2001","01","07",NA,NA,NA,"Herbário Municipal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:56-03","ESALQ","ESA","72959","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","Kiaersk.","Kawasaki, M.L.","Sztutman, M. ; Valmir","1998","10","29","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA072959","ESA072959","Magnoliophyta",NA,"61.0",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:56-03","ESALQ","ESA","105498","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa",NA,"Aguiar, O.T.","Aguiar, O.T.","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA105498","ESA105498","Magnoliophyta",NA,NA,NA,NA,NA,"27904","auto","2002","03","17",NA,NA,NA
"7","2020-11-04 11:14:56-03","ESALQ","ESA","104479","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.","Costa, R.F.","Aguiar, O.T.","2002","03","14","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA104479","ESA104479","Magnoliophyta",NA,"1017.0",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:36:40-03","UNICAMP","UEC","146720","S","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","A.DC.",NA,"Pedroni, F; Sanchez, M; Laps, RR; Belinello, R","1997","04","17","Brazil","São Paulo","Ubatuba","Picinguaba. Morro do Corisco","-44.8","-23.366667","-44.8","-23.366667",NA,NA,"UEC103936","UEC103936","Magnoliopsida",NA,"1392",NA,NA,"Árvore 569 com 9m de altura, vegetativo.; Mata Atlântica de Encosta",NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:57:00-03","BS","M","M-0136950","S","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.",NA,"Martius, C.F.P. von",NA,NA,NA,"Brasil",NA,NA,"Habitat in Monte Fermozo. Provinciae Sebastianopolit.",NA,NA,NA,NA,NA,NA,"M0136950",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","HOLOTYPE",NA
"10","2020-12-11 11:39:26-03","UFMG","BHCB","96419","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","macrocarpa","Myrcia macrocarpa","DC.",NA,"Zipparro, VB","2001","10","19","Brasil","São Paulo","Sete Barras","Parque Estadual Intervales, Base Saibadela, Trilha Azul, Ponto 11","-48.080556","-24.235556","-48.080556","-24.235556",NA,NA,"BHCB012981","BHCB012981","Dicotyledon",NA,"2096","Southern America",NA,"Árvore com ca. De 16m de altura, botões e flores brancas.",NA,NA,"2001","10",NA,NA,NA,NA
