"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00779103","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea","grisea","Sabicea grisea grisea","Cham. & Schltdl.","S. A. Khan","M. R. de V. Barbosa","2484","2002","08","03","South America","Brazil","Alagoas","Murici","Fazenda Boa Vista.","-35.8361111","-9.2361111","587","587","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779103","NY00779103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01132249","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea","grisea","Sabicea grisea grisea","Cham. & Schltdl.","S. A. Khan","L. A. Mattos Silva","2173","1987","03","14","South America","Brazil","Bahia","Ilhéus","Fazenda Theobroma, próximo à margem do Rio Santana. Ramal com entrada 2 km antes da Vila do Rio do Engenho","-39.0492","-14.7892",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295767' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132249","NY01132249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01096595","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","B. M. Boom","S. A. Mori","11436","1979","02","06","South America","Brazil","Bahia","Maraú","Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 28 km do Porto. Folha SD 24 (14-39b)","-39.0144","-14.1033",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096595","NY01096595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01067490","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","P. G. Delprete","P. G. Delprete","6541","1998","08","17","South America","Brazil","Tocantins","Lagoa da Confusão","Margem esquerda da Lagoa da Confuçao","-49.62","-10.78","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067490","NY01067490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00501871","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea","grisea","Sabicea grisea grisea","Cham. & Schltdl.","S. A. Khan","R. C. Forzza","1333","1999","04","24","South America","Brazil","Bahia","Jacobina","Itaitu, Cachoeira do Véu da Noiva.","-40.503695","-11.333196",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501871","NY00501871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01096594","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","J. H. Kirkbride Jr.","R. M. Harley","22045","1980","05","14","South America","Brazil","Bahia","Maraú","Coastal Zone; ca. 5 km. SE of Maráu near junction with road to Campinho. G9","-38.98","-14.13",NA,"50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096594","NY01096594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01067491","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","P. G. Delprete","P. G. Delprete","6543","1998","08","17","South America","Brazil","Tocantins","Lagoa da Confusão","1 km oeste da cidade","-49.62","-10.78","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476450' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067491","NY01067491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1738131","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","L.A. Gomes","L.A. Gomes","100","2011","03","29","South America","Brazil","Sergipe",NA,"Capela. RVS Mata do Junco.","-37.0544","-10.5367",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1966510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738131","NY01738131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01067405","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","P. G. Delprete","P. G. Delprete","6546","1998","08","17","South America","Brazil","Tocantins","Lagoa da Confusão","1 km oeste da cidade","-49.62","-10.78","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476451' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067405","NY01067405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01096596","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea",NA,"Sabicea grisea","Cham. & Schltdl.","P. G. Delprete","F. França","541","1991","07","20","South America","Brazil","Bahia",NA,"Tancredo Neves, Corte de Pedra.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246710' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096596","NY01096596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1104766","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea","ceara","Sabicea grisea ceara","Saleh A.Khan, Meve & Liede",NA,"G. Gardner","V.1697","1838","08",NA,"South America","Brazil","Ceará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1292067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104766","NY01104766_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01132251","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","grisea","grisea","Sabicea grisea grisea","Cham. & Schltdl.","S. A. Khan","Lalande","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132251","NY01132251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
