"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","barcode","dayIdentified","continentOcean","relatedCatalogItem","imagecode","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","967","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Eduardo G. Gonçalves","2001","05","Eduardo G. Gonçalves; H.Lorenzi & L.S.C. de Cerqueira","EGG891","2001","05","08","Brasil","Amazonas","Manaus","Depois do Aeroporto, em direção à BR-174","-60.0250015258789","-3.10193991661072","138090","4","254","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:51:22-03","EAO","IAN","88740","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott",NA,NA,NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088740",NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:22-03","EAO","IAN","88740","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott",NA,NA,NA,"Schott, HW","3724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088740",NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:43:19-03","NBC","NL-BOTANY","U.1097992","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Soares ML","2006","04","Fuchs HP; Zanella E; Torres-Romero JH",NA,"1967","03","05","Colombia","Chocó",NA,"Chocó; Rio Baudó",NA,NA,NA,NA,"En zona inundada.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-U1097992","12","Southern America","U 0184441","NL-U1097992",NA,NA
"5","2020-02-08 08:43:19-03","NBC","NL-BOTANY","U.1097993","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Soares ML","2006","04","Fuchs HP; Zanella E; Torres-Romero JH",NA,"1967","03","05","Colombia","Chocó",NA,"Chocó; Rio Baudó",NA,NA,NA,NA,"En zona inundada.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-U1097993","12","Southern America","U 0184440","NL-U1097993",NA,NA
"6","2020-11-04 11:00:28-03","ESALQ","ESA","23229","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Gonçalves, E.G.",NA,NA,"Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","1932.0","1994","02","01","Brasil","São Paulo","Charqueada","Usina Costa Pinto (ponte). Brejo.","-47.7700004577637","-22.5100002288818","12465",NA,"Erva, 1,5 m alt.; frutos imaturos verdes.","auto","ESA023229",NA,NA,NA,"ESA023229",NA,NA
"7","2014-05-12 05:09:00-03","MO","MOBOT","1591236","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Croat",NA,NA,"M. Silva|José F. Ramos","Silva 2363","1978","7","21","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1591237","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Croat",NA,NA,"C.D.A. da Mota","Mota s.n.",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"9","2018-04-27 12:10:00-03","MO","MOBOT","2915018","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Xaivier Delannay",NA,NA,"Anonymous","Anonymous s.n.",NA,NA,NA,"Brazil",NA,NA,"Central America.",NA,NA,NA,"1",NA,NA,NA,NA,"South America",NA,NA,NA,NA
"10","2020-08-31 09:18:59-03","INPA","INPA","78790","S","Plantae","Monocotyledon",NA,"Alismatales","Araceae","Xanthosoma","blandum","Xanthosoma blandum","Schott","Gonçalves, EG","2001","05","Silva, MF da","2363","1978","07","21","Brasil","Amazonas","Manaus","Campus do INPA, Campus do INPA","-60.0250015258789","-3.10193991661072","138090",NA,NA,"auto","INPA0078790",NA,"Southern America",NA,"INPA0078790 INPA0078790_e INPA0078790_e1",NA,NA
