"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","order","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class"
"1","2019-10-09 11:09:44-03","UFBA","ALCB","120902","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Roque, N","2015","09","Roque, N; Alves, M; Campos, L; Barres, L","4728","2015","10","02","Southern America","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, em direção à Cristália.","-42.901667","-16.593889","-42.901667","-16.593889","673","673","ca. 1,8 m alt., folhas discolores, face abaxial argêntea. Capítulos passados.","ALCB008000","ALCB008000",NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005554","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","H. Robinson",NA,NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","67975","1998","7","18",NA,"Brazil","Minas Gerais",NA,"Estrada Grao Mogol, Cristalia, ponte sobre o Rio Itacambirucu (Mun. Cristalia) Minas Gerais","-42.8667","-16.7167",NA,NA,NA,NA,"Arbusto, 2.5 m, capitulo lilas",NA,NA,"Asterales",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:22:58-03","UNICAMP","UEC","110986","S","Plantae","Magnoliopsida","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Monge, M","2008","11","Giulietti, AM; et al.","s.n.","1986","07","23",NA,"Brazil","Minas Gerais","Grão Mogol","Córrego Escurinha.","-42.9","-16.55","-42.9","-16.55","740","740","Arbusto de 1,8m de alt., sobre rovhas bracteas do capítulo verde com ápice castanho. Flores creme-esverdeadas.","UEC083577","UEC083577",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:22:58-03","UNICAMP","UEC","128842","S","Plantae","Magnoliopsida","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Monge, M","2018","11","Pirani, JR; et al.","s.n.","1990","06","16",NA,"Brazil","Minas Gerais","Grão Mogol","Estreito do riacho Ribeirão","-42.9","-16.55","-42.9","-16.55","950","1100","Arvoreta 3m alt., Heliófila, frequente em solo pedregoso (encosta). Folhas bem discolores. Capítulo com Invólucro verde, flores creme, anteras ocráceas, estigmas alvos.","UEC083583","UEC083583",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:22:58-03","UNICAMP","UEC","35103","S","Plantae","Magnoliopsida","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Monge, M","2018","11","Hensold, N; et al.","s.n.","1982","05","22",NA,"Brazil","Minas Gerais","Grão Mogol","Em direção nordeste da cidade.","-42.916667","-16.533333","-42.916667","-16.533333",NA,NA,"Árvore cerca de 3m de altura, tronco com cerca de 20cm de diâmetro, muito esgalhado desde a base. Folhas creme com face inferiorprateada. Flores creme passando a castanhas.; Campo rupestre.","UEC113175","UEC113175",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:22:58-03","UNICAMP","UEC","43652","S","Plantae","Magnoliopsida","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Nakajima, JN","2016","06","Giulietti, AM; Zappi, DC; Mello-Silva, R; Meguro, M; Gonçalves, JCC; Giulietti, N","437669864","1986","07","23",NA,"Brazil","Minas Gerais","Grão Mogol","Córrego escurinha.","-42.75025","-16.486806","-42.75025","-16.486806","740","740","Arbusto. Brácteasdo capítulo verdes com ápice castanho. Flores creme-esverdeadas.; Sobre rochas.","UEC126124","UEC126124",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:25:53-03","UNICAMP","UEC","102633","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","hatschbachii","Vernonia hatschbachii","(H.Rob.) D.J.N.Hind","Nakajima, JN","1998","11","Romero, R; Almeda, F; Robinson, O; Robinson, D; Martins, AB; Goldenberg, R","5439","1998","06","12",NA,"Brazil","Minas Gerais","Grão Mogol","Próximo à entrada da cidade","-42.583333","-16.416667","-42.583333","-16.416667",NA,NA,"árvore, ca. 2m, brácteas verdes, flores creme.; campo rupestre","UEC054672","UEC054672",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:53-03","UNICAMP","UEC","66729","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","hatschbachii","Vernonia hatschbachii","(H.Rob.) D.J.N.Hind","Hind, N","2002","10","Zappi, DC; Prado, J; Barreto, R; Bidá, A; Queiroz, R","s.n.","1988","05","28",NA,"Brazil","Minas Gerais","Grão Mogol","margem direita do Rio Itacambiraçu, entre a ponte para Cristalia e a Fazenda Jambeiro. Encosta da Serra das Cabras.","-42.9","-16.583333","-42.9","-16.583333","700","750","arbusto 2,5m de altura, capítulos esverdeados, flores creme, anteras castanho-claras e estigma alvo.; afloramento rochoso.","UEC137259","UEC137259",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:14:05-03","MBM","MBM","416202","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","Brotto, M.L.","2018","12","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5846","2018","11","14","Southern America","Brazil","Minas Gerais","Grão Mogol",NA,"-42.914167","-16.592222","-42.914167","-16.592222","690","690","Arbusto com 2,8 m de altura; fruto maduro liberando as sementes.; Campo rupestre com elementos de Caatinga.","MBM416202",NA,NA,"19",NA,NA,NA,NA,NA
"10","2020-12-21 16:14:05-03","MBM","MBM","416244","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","Cordeiro, J.","2019","02","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3049","2018","11","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra Periperi","-42.927778","-16.541944","-42.927778","-16.541944","1105","1105","Arbusto com 2 m de altura; fruto seco, quase dispersandoas sementes.; Campo rupestre com elementos de Caatinga.","MBM416244",NA,NA,"05",NA,NA,NA,NA,NA
"11","2020-12-21 16:14:05-03","MBM","MBM","227225","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","Robinson, H.",NA,NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67975","1998","07","18","Southern America","Brazil","Minas Gerais","Cristália","Estrada para Grão Mogol, ponte sobre o Rio Itacambiruçu","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,NA,"MBM227225","MBM227225",NA,NA,"30029","auto",NA,NA,NA
"12","2020-12-21 16:14:05-03","MBM","MBM","409940","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","Robinson, H.",NA,NA,"Hatschbach, G.; Hatschbach, M.; Hatschbach, M.","52026","1988","05","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Arbusto 2 m, flores alvas.; Campo rupestre, solo rochoso.","MBM409940",NA,NA,NA,"67219","auto","HOLOTYPE",NA,NA
"13","2020-12-21 16:14:05-03","MBM","MBM","121632","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","Robinson, H.","1992",NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","52026","1988","05","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Arbusto 2m, flores alvas. Campo rupestre, solo rochoso; Arbusto, 2m, flores alvas.; Campo rupestre, solo rochoso.","MBM121632","MBM121632",NA,NA,"67219","auto","HOLOTYPE",NA,NA
"14","2020-12-21 16:16:25-03","MBM","MBM","172724","PreservedSpecimen","Plantae",NA,"Asteraceae","Lessingianthus","hatschbachii","Lessingianthus hatschbachii","H. Robinson","Robinson, H.","1995","07","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61792","1995","03","12","Southern America","Brazil","Minas Gerais","Várzea da Palma","Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,NA,"1000","1000","Ascendente, capítulos lilás. Campo rupestre, solo rochoso; Ascendente, capítulos lilás.; Campo rupestre, solo rochoso.","MBM172724","MBM172724",NA,NA,"60948","auto","HOLOTYPE",NA,NA
"15","2020-12-21 16:17:47-03","MBM","MBM","42576","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","hatschbachii","Vernonia hatschbachii","H. Rob.",NA,NA,NA,"Pereira, E.; Hatschbach, G.; Hatschbach, G.","7937","1963","11","17","Southern America","Brazil","Paraná","Guarapuava","Águas Sta Clara","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"Planta erecta com fl. lilás, campo brejoso","MBM042576","MBM042576",NA,NA,"53832","auto",NA,NA,NA
"16","2020-12-11 11:32:16-03","UFMG","BHCB","161899","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.",NA,"2016","01","Fernandes, AC; Mendes, FH; Massensini Júnior, A","62","2010","07","16","Southern America","Brasil","Minas Gerais","Grão-Mogol","MG-307, Margem do Rio Itacambiruçu","-43.410833","-16.423028","-43.410833","-16.423028","1098","1098","Arvoreta com 2,5m alt.; Campo rupestre na beira da estrada, com solo arenoso.","BHCB032523",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:33:44-03","UFMG","BHCB","84444","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Vernonia","hatschbachii","Vernonia hatschbachii","(H.Rob.) D.J.N.Hind",NA,NA,NA,"Souza, VC de","25483","2001","07","09","Southern America","Brasil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA
"18","2020-12-11 11:33:44-03","UFMG","BHCB","60987","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Vernonia","hatschbachii","Vernonia hatschbachii","(H.Rob.) D.J.N.Hind",NA,"2012","03","Giulietti, AM; Zappi, DC; Mello-Silva, R de; Meguro, M; Gonçalves, JCC; Giulietti, AM","s.n.","1986","07","23","Southern America","Brasil","Minas Gerais","Grão Mogol","córrego escurinha","-42.8897018432617","-16.5594005584717",NA,NA,"740","740","arbusto 1,8m sobre rochas, brácteas do capítulo verde com ápice castanho, flores creme-esverdeados","BHCB007255",NA,NA,NA,"67219","auto",NA,NA,NA
"19","2021-01-14 14:32:00-03","MO","MOBOT","100212472","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.","ver. John Pruski, 2009",NA,NA,"Gert G. Hatschbach|Maria M. Hatschbach|O.S. Ribas","Hatschbach 52026","1988","5","15","South America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67219","auto","Holotype","1",NA
"20","2021-03-04 11:04:26-03","UFRB","HURB","19499","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","N.Roque","2015","09","Roque, N.; Alves, M.; Campos,L. & Barres, L.","4728","2015","10","02",NA,"Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu; Esm direção à Cristália","-42.901667","-16.593889","42º54'06W","16º35'38S","673","673","ALCB 120902.","HURB000019499",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3115835","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.",NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & O. S. Ribas","52026","1988","5","15","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol","Rio Itacambirucu.","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,"US00386315","US00386315_01","Asterales",NA,"67219","auto","Isotype","1","Dicotyledonae"
"22","2020-09-12 05:00:02-03","US","US","3406245","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H. Rob.",NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","67975","1998","7","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Estrada Grao Mogol - Cristalia, ponte sobre o rio Itacambircu (Mun. Cristalia)",NA,NA,NA,NA,NA,NA,NA,"US01636479","US01636479_01","Asterales",NA,NA,NA,NA,"1","Dicotyledonae"
"23","2020-09-12 05:00:02-03","US","US","3304958","PreservedSpecimen","Plantae",NA,"Asteraceae","Lessingianthus","hatschbachii","Lessingianthus hatschbachii","H. Rob.",NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & R. Silvam","61792","1995","3","12","South America - Neotropics","Brazil","Minas Gerais","Varzea da Palma","Serra do Cabral.","-44.7308006286621","-17.5981006622314",NA,NA,"1000","1000",NA,"US00478806","US00478806_01","Asterales",NA,"60948","auto","Isotype","1","Dicotyledonae"
"24","2019-11-13 11:15:58-03","USP","SPF","214813","PreservedSpecimen","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Loeuille, B","2010","08","Loeuille, B","533","2010","08","12",NA,"Brasil","Minas Gerais","Cristália",NA,"-42.921389","-16.593778","-42.921389","-16.593778","673","673",NA,"SPF00214813",NA,NA,"12",NA,NA,NA,NA,NA
"25","2019-05-06 11:52:27-03","UFU","HUFU","62936","S","Plantae",NA,"Asteraceae","Anteremanthus","hatschbachii","Anteremanthus hatschbachii","H.Rob.","Nakajima, J.N.",NA,NA,"Romero, R.; Almeda, F.; Robinson, O.; Martins, A.B.; Goldenberg, R.; Nakajima, J.N.; et al.","5439","1998","06","12",NA,"Brasil","Minas Gerais","Grão Mogol","Próximo à entrada da cidade.","-42.583333","-16.416667","-42.583333","-16.416667",NA,NA,"Árvore, ca. 2 m alt. Brácteras verdes, flores creme.","HUFU00042559","HUFU00042559",NA,NA,NA,NA,NA,NA,NA
"26","2019-05-06 11:53:33-03","UFU","HUFU","46423","S","Plantae",NA,"Asteraceae","Lessingianthus","hatschbachii","Lessingianthus hatschbachii","H.Rob.","Nakajima, J.N.","2016","03","Tannus, J.L.S.","1037","2005","12","21",NA,"Brasil","São Paulo","Itararé","Unidade de Pesquisa e Desenvolvimento de Itararé","-49.205278","-24.268333","-49.205278","-24.268333",NA,NA,"Subarbusto, capítulos lilás, papus alvo.; Campo altimontano. Campo úmido.","HUFU00047417","HUFU00047417",NA,NA,NA,NA,NA,NA,NA
