"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","imagecode","stateProvince","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","sex"
"1","2020-09-23 10:38:15-03","E","E","385897","PreservedSpecimen","Plantae","Compositae","Verbesina","floribunda","Verbesina floribunda","unspecified kind of","Gardner, G.","4927","E. Tropical South America","BR","Minas Geraes","herbarium specimen of unspecif","BGBASE:451491","<a href=http://data.rbge.org.uk/herb/E00385897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00385897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","274419","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii","type","L. Riedel","s.n.","South America","Brazil","In saxosis S. do Piedade","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274419","Magnoliophyta","Asterales","Sch.Bip. ex Baker","1825","01","NY00274419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","274427","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda","isotype","G. Gardner","X.4927","South America","Brazil","Prpe Villa de Principe","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274427","Magnoliophyta","Asterales","Gardner","1840","08","NY00274427_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","274426","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda","isotype","G. Gardner","4927","South America","Brazil","[From NY 274427: Prope Villa de Principe]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274426","Magnoliophyta","Asterales","Gardner",NA,NA,"NY00274426_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","856162","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"H. S. Irwin","30216","South America","Brazil","Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856162","Magnoliophyta","Asterales","Gardner","1971","01","NY00856162_01","Minas Gerais","30","-43.67613","-19.82237","1800","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039112","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"M. M. Saavedra","339","South America","Brazil","Parque Estadual do Ibitipoca.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481947' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039112","Magnoliophyta","Asterales","Gardner","2007","01","NY01039112_01","Minas Gerais","23","-43.887946","-21.704555",NA,NA,"R. A. X. Borges","Lima Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","856167","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"W. R. Anderson","35787","South America","Brazil","Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856167","Magnoliophyta","Asterales","Gardner","1972","02","NY00856167_01","Minas Gerais","11","-43.3919444","-18.43185","1700","1700","G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039116","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"M. M. Saavedra","354","South America","Brazil","Parque Estadual do Ibitipoca. Campo ao longo da trilha para o Monjolinho.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481958' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039116","Magnoliophyta","Asterales","Gardner","2007","01","NY01039116_01","Minas Gerais","25","-43.7931","-21.8425",NA,NA,"R. A. X. Borges","Lima Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","274428","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda","isotype","G. Gardner","4927","South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274428","Magnoliophyta","Asterales","Gardner","1836",NA,"NY00274428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:11-03","EAO","IAN","60496","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Gardner, A","4927","Southern America","Brasil",NA,NA,NA,NA,"IAN060496","Dicotiledônea",NA,"Gardner",NA,NA,"IAN060496 IAN060496_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:35:11-03","EAO","IAN","104215","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Magalhães, MG","485","Southern America","Brasil","Mata secundária em galeria (clareira), fazenda Tanque.",NA,NA,"Arbusto de 3-3,5m de altura; flor amarela.","IAN104215","Dicotiledônea",NA,"Gardner","1940","09",NA,"Minas Gerais","13","-43.793098449707","-21.8425006866455",NA,NA,"Barreto, M","Lima Duarte","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 21:31:51-03","UFBA","ALCB","115913","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"s.col.","PHs/n","Southern America","Brasil",NA,NA,NA,NA,"ALCB011438","Dicotyledon",NA,"Gardner","1971","11","ALCB011438","Bahia","08","-38.510799407959","-12.9710998535156",NA,NA,NA,"Salvador","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 21:31:51-03","UFBA","ALCB","115918","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"s.col.","PHs/n","Southern America","Brasil",NA,NA,NA,NA,"ALCB011439","Dicotyledon",NA,"Gardner","1971","11","ALCB011439","Bahia","08","-38.510799407959","-12.9710998535156",NA,NA,NA,"Salvador","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:02:27-03","ESALQ","ESA","11137","PreservedSpecimen","Plantae","Asteraceae","Verbesina","clausenii","Verbesina clausenii",NA,"Leitão Filho, H.F. et al.","21853.0",NA,"Brasil","Mata",NA,NA,"Fl","ESA011137","Magnoliophyta",NA,NA,"1989","07","ESA011137","Minas Gerais","04","-43.6002998352051","-18.2493991851807",NA,NA,"M. Magenta","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:02:27-03","ESALQ","ESA","53504","PreservedSpecimen","Plantae","Asteraceae","Verbesina","claussenii","Verbesina claussenii",NA,"Lucas, E.J. et al.","504.0",NA,"Brasil",NA,NA,NA,NA,"ESA053504","Magnoliophyta",NA,NA,"2006","11",NA,"Rio de Janeiro","19","-42.9655990600586","-22.4122009277344",NA,NA,"Nakajima, J.","Teresópolis","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:02:27-03","ESALQ","ESA","106547","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Forzza, R.C.","3066.0",NA,"Brasil",NA,NA,NA,NA,"ESA106547","Magnoliophyta",NA,NA,"2004","03","ESA106547 ESA106547_1","Minas Gerais","09","-43.793098449707","-21.8425006866455",NA,NA,"Borges, R.A.X.","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:02:27-03","ESALQ","ESA","106547","PreservedSpecimen","Plantae","Asteraceae","Verbesina","floribunda","Verbesina floribunda",NA,"Silva, B.R.","1278.0",NA,"Brasil",NA,NA,NA,NA,"ESA106547","Magnoliophyta",NA,NA,"2004","02","ESA106547 ESA106547_1","Minas Gerais","05","-43.793098449707","-21.8425006866455",NA,NA,"Borges, R.A.X.","Lima Duarte","30417","auto","2007","03","27",NA,NA,NA,NA,NA,NA
