"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2016-09-29 19:06:00-03","NY","NYBG","809805","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","A. C. Brade","8569","1928","11","South America","Brazil","Rio de Janeiro","Pico do Tapagaio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809805","NY00809805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02682957","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","R. Engelmann","RE1700","2011","04","South America","Brazil","Rio de Janeiro","Estação Ecológica do Paraíso. Trilha entre Paraíso e o Jacarandá (Teresópolis).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946699' target='other'> <mi>dwc_moreinfo</mi></a>","NY02682957","NY02682957_01","(C.Chr.) Maxon","12","Guapimirim","-42.9294","-22.4661","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03082295","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","M. Bicalho","9","2013","04","South America","Brazil","Rio de Janeiro","Parque Nacional da Tijuca; Estrada da Vista Chinesa. Parque Nacional da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313371' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082295","NY03082295_01","(C.Chr.) Maxon","25","Rio de Janeiro","-43.2491666","-22.9672223","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02681790","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","R. Engelmann","RE1654","2011","04","South America","Brazil","Rio de Janeiro","Trilha entre o Paraíso e o Jacarandá (Teresópolis). Parque Estadual dos Três Picos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944105' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681790","NY02681790_01","(C.Chr.) Maxon","08","Guapimirim","-42.928889","-22.456667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 19:06:00-03","NY","NYBG","809806","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","L. B. Smith","1412","1928","12","South America","Brazil","Rio de Janeiro","Brook trail between Paineiras and Jardim Botanico.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809806","NY00809806_01",NA,"04",NA,"-43.23","-22.93","100","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02681795","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","R. Engelmann","RE601","2010","03","South America","Brazil","Rio de Janeiro","Serra da Estrela. Trilha entre Piabetá e Petrópolis. Parque Nacional da Serra dos Órgãos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944117' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681795","NY02681795_01","(C.Chr.) Maxon","22","Magé","-43.164722","-22.548333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 19:06:00-03","NY","NYBG","809804","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","A. C. Brade","8570","1928","11","South America","Brazil","Rio de Janeiro","Rio Palmeiras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809804","NY00809804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 19:06:00-03","NY","NYBG","809807","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","M. Wacket","53","1905",NA,"South America","Brazil","São Paulo","Sa do Mar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809807","NY00809807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-05-17 10:21:00-03","NY","NYBG","02682958","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","R. Engelmann","RE1700","2011","04","South America","Brazil","Rio de Janeiro","Trilha entre o Paraíso e o Jacarandá (Teresópolis). Estação Ecológica Estadual do Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946700' target='other'> <mi>dwc_moreinfo</mi></a>","NY02682958","NY02682958_01",NA,"12","Guapimirim","-42.929444","-22.466111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 00:47:00-03","NY","NYBG","01093134","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","austrobrasiliense","Asplenium austrobrasiliense","C. M. Mynssen","627","2004","07","South America","Brazil","Rio de Janeiro","Gilcério, Fazenda Estrela, trilha água fria.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093134","NY01093134_01",NA,"07","Macaé","-41.7868995666504","-22.3708000183105","780","780","C. M. Mynssen","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
