"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","797921","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","G. M. Barroso","J. C. Lindeman","3063","1966","10","16","South America","Brazil","Paraná","Bank of Rio 5 Reis, 5 km S. of Jaguariaíva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797919","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.",NA,"E. Pereira","5462","1960","02","23","South America","Brazil","Paraná","Campo Largo, Margem do rio Papagaio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797926","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","D. D. Keck","J. B. E. Pohl","383",NA,NA,NA,"South America","Brazil",NA,"Registo Velho- Villa Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797913","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","P. K. H. Dusén","G. Jönsson","144a","1914","04","06","South America","Brazil","Paraná","Serrinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797913","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","781647","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.",NA,"I. Mimura","120","1961","11","24","South America","Brazil","São Paulo","Ca. 9km SE da praça principal da cidade.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781647","660","660","Sao José dos Campos","-45.88","-23.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797923","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","G. M. Barroso","I. Mimura","130","1961","11","28","South America","Brazil","São Paulo","Ca. 10,0 km SSE em linha reta da praça principal de Sao José dos Campos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797923","600","600","Sao José dos Campos","-45.88","-23.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00935885","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","J. N. Nakajima","J. R. Pirani","CFCR5761","1984","11","02","South America","Brazil","Minas Gerais","Sao Thomé das Letras. Morro do Gaviao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935885",NA,NA,NA,NA,NA,"NY00935885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","781650","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.",NA,"Pohl","152",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet","Certainly Pohl 152 (exact match) Andromachia bellidifolia Pohl 'Registro Velho-Villa ricca (383 d)' <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","797917","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.","Á. L. Cabrera","R. Reitz","10938","1961","03","24","South America","Brazil","Santa Catarina","Morro do Campo Alegre, Sao Francisco do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797917","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","797927","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Inulopsis","scaposa","Inulopsis scaposa","(DC.) O.Hoffm.",NA,"P. C. Porto","7081","1922","11","26","South America","Brazil","Minas Gerais","Campos do Alto. Ouro Branco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797927",NA,NA,"Ouro Branco","-43.6917","-20.5208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
