"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","individualCount","yearIdentified","county","verbatimLongitude","verbatimLatitude","class","monthIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","58634","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenopadus","aracaensis","Stenopadus aracaensis","Pruski","isotype","G. T. Prance","29184","1984","02","20","South America","Brazil","Amazonas","Plateau of northern massif of Serra Araca: north part of north slope","-63.3745909","0.9016571","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00058634","NY00058634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-04-08 05:36:00-03","MO","MOBOT","100339935","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenopadus","aracaensis","Stenopadus aracaensis","Pruski","Isotype","Ghillean T. Prance|Ieda L. do Amaral|John James Pipoly, III|Aldaléa S. Tavares|Milton G. da Silva|C.D.A. da Mota|Alan D. Cress","Prance 29184","1984","2","20","South America","Brazil","Amazonas","Plateau of northerm massif of Serra Araca.","-63.35","0.85","1400.00000000",NA,NA,NA,NA,NA,"H.-G. Kim","1",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-31 08:53:10-03","INPA","INPA","132827","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Stenopadus","aracaensis","Stenopadus aracaensis","Pruski","holotype","Prance, GT","29184","1984","02","20","Southern America","Brasil","Amazonas","Serra do Aracá, Plateau northern massif of Serra Aracá. North Part of North Slope.","-63.356111","0.865833","1400","1400",NA,NA,"INPA0132827",NA,"Pruski, JF",NA,"1989","Barcelos","-63.356111","0.865833",NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3173805","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stenopadus","aracaensis","Stenopadus aracaensis","Pruski","Isotype","G. T. Prance, I. L. Amaral, J. J. Pipoly, A. S. Tavares & M. G. Silva","29184","1984","2","20","South America - Neotropics","Brazil","Amazonas","N part of N slope, plateau of northern Massif of Serra Araca.",NA,NA,NA,NA,NA,NA,"US00288858","US00288858_01",NA,"1",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA
"5","2019-11-01 14:54:33-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Stenopadus","aracaensis","Stenopadus aracaensis","Pruski",NA,"Bahia, TR","194","1976","10","08","Southern America","Brasil","Amazonas","Próximo ao acampamento da sub base do Projeto Rondon","-60.6206016540527","-3.29972004890442",NA,NA,NA,"Árvore 5m. Flores róseas; Terreno de areia branca. Campinarana","UB0039462",NA,"Hattori, EKO",NA,"2018","Manacapuru",NA,NA,NA,"09","112319","auto"
