"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","order"
"1","2019-11-25 16:51:05-03","UFBA","ALCB","137907","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","Goldenberg, R","2018","10","Pardo, CS","1804","2005","03","11","Southern America","Brasil","Rio de Janeiro","Teresópolis","Matas do Rio Paquequer próx. ao Km 2,0 da Estrada para Barragem.","-42.9655990600586","-22.4122009277344","38539","1135","1135","ca. 6 metros e CAP 28.0 cm, frutos vermelhos e arroxeados, página inferior dourada a ferrugínea.","ALCB068375","ALCB068375","auto",NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:39:35-03","UFJF","CESJ","72152","PreservedSpecimen","Plantae","Angiosperma","Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","R. Goldenberg","2018","09","C.S. Pardo","1735","2005","02","22","América do Sul","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Matas do Rio Paquequer, próximo ao Km 2 da Estrada para Barragem.","-42.9655990600586","-22.4122009277344","38539","1135","1135","N.v.: Capicirica. Árvore ca. 7m alt. e CAP 26,3cm. Página inferior dourado-ferrugínea.","CESJ072152",NA,"auto","03","Paratypus",NA,NA,NA,NA
"3","2020-04-27 16:10:35-03","UFES","VIES","36105","S","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","R. Goldenberg","2018","09","Pardo, C.S.","612","2004","02","03",NA,"Brasil","Rio de Janeiro","Teresópolis","Matas do Rio Paquequer, próximo ao Km 2 da estrada para Bar.","-42.9655990600586","-22.4122009277344","38539","1135","1135",NA,"VIES036105","VIES036105","auto","03","Paratipo",NA,NA,NA,NA
"4","2020-04-27 16:10:35-03","UFES","VIES","34214","S","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","R. Goldenberg","2016","02","Araújo, E.A.","313","2015","07",NA,NA,"Brasil","Espírito Santo","Ibitirama","Santa Marta. Parcela 02, indivíduo 4. Parque Nacional do Caparaó","-41.746389","-20.491389",NA,NA,NA,NA,"VIES034214","VIES034214",NA,NA,NA,"41º44'47''W","20º29'29''S",NA,NA
"5","2020-06-29 09:31:07-03","UFRRJ","RBR","46189","S","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","J.F.A. Baumgratz, M.R. Moutinho","2019","03","M.R. Moutinho; J. Külkamp, M.E. Lopes, L.F. Gonçalves, M.P. Morim","45","2019","02","19",NA,"Brasil","Rio de Janeiro","Teresópolis","Em Floresta ombrófila densa montana. Em Floresta ombrófila densa montana. Trilha Suspensa. Parque Nacional da Serra dos Órgãos.","-42.998333","-22.456389",NA,"1169","1169",NA,"RBR00046189",NA,NA,NA,NA,"42º59'54''W","22º27'23''S",NA,NA
"6","2020-12-21 16:34:38-03","MBM","MBM","425708","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","Goldenberg, R.","2018","09","César, S.P.","583","2004","01","29","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, matas do rio paquequer","-42.9655990600586","-22.4122009277344","38539",NA,NA,"árvore ca. 7.8 metros e CAP 23,5 cm. Pagina inferior dourado-ferruginea.","MBM425708",NA,"auto","03",NA,NA,NA,NA,NA
"7","2020-12-21 16:34:38-03","MBM","MBM","24594","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah",NA,NA,NA,"Pabst, G.; Smith, L.B.; Smith, L.B.","8267","1964","10","04","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, No caminho para Barragens","-42.9655990600586","-22.4122009277344","38539",NA,NA,"Pequena árvore de flores brancas perfumadas.","MBM024594","MBM024594","auto",NA,"PARATYPE",NA,NA,NA,NA
"8","2020-12-21 16:34:38-03","MBM","MBM","425709","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","Goldenberg, R.","2018","09","Pardo, C.S.","1804","2005","03","11","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, próximo ao KM 2,0 da estrada para barragem. matas do rio paquequer","-42.9655990600586","-22.4122009277344","38539",NA,NA,"árvore cerca de 6 metros e CAP 290cm, frutos vermelhos e arroxeados, pagina inferior dourada e ferruginea.","MBM425709",NA,"auto","03",NA,NA,NA,NA,NA
"9","2020-12-21 16:34:38-03","MBM","MBM","407241","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah","Caddah, M.K.","2014","03","Lima, D.F.; Bolson, M.; Bolson, M.","442","2014","03","19","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha suspensa","-42.9655990600586","-22.4122009277344","38539",NA,NA,"Árvore 8 m. Botões jovens; frutos imaturos verdes.","MBM407241",NA,"auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:34:38-03","MBM","MBM","104093","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","goldenbergiana","Miconia goldenbergiana","Caddah",NA,NA,NA,"Hatschbach, G.; Zelma, F.J.; Zelma, F.J.","49931","1985","10","18","Southern America","Brazil","Espírito Santo","Conceição do Castelo","Alto Bananal","-41.2439002990723","-20.3682994842529","17824",NA,NA,"Árvore 10m, flores alvas.; Mata pluvial.","MBM104093","MBM104093","auto",NA,"PARATYPE",NA,NA,NA,NA
