"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","168363","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner","isotype","G. Gardner","5522","South America","Brazil","Rio de Janeiro","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168363","NY00168363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:41-03","EAO","IAN","57143","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Gardner, A","5522","Southern America","Brasil",NA,NA,NA,NA,"IAN057143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:18-03","UPM","MACK","88","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"A. C. V. Crestani","90",NA,"Brasil","SP","Juréia",NA,NA,NA,NA,"F. O. Souza","2010","02","02","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:07:10-03","CPAN-UFMS","COR","4456","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Damasceno Jr, G.A.","849",NA,"Brasil","Mato Grosso do Sul","Fazenda Rabicho. Entre duas faixas de mata ciliar - campo.",NA,"Habito: Aquática",NA,NA,NA,"1994","06","17","Corumbá","-57.450278","-19.021111",NA,NA,"57º27'1''W","19º1'16''S","80","80",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:07:10-03","CPAN-UFMS","COR","4476","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Damasceno Jr, G.A.","487",NA,"Brasil","Mato Grosso do Sul","Fazenda Rabicho.",NA,"Habito: Herbácea aquática",NA,NA,"Damasceno Jr. G.A.","1995","03","06","Corumbá","-57.450278","-19.021111",NA,NA,"57º27'1''W","19º1'16''S","80","80",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:07:10-03","CPAN-UFMS","COR","1761","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Almeida Lescano","28",NA,"Brasil","Mato Grosso do Sul","Baía do Tamengo-Próximo ao Porto Aurora.",NA,"Com Flor: amarela esverdeada Habito: Herbáceo",NA,NA,"Christopher D.K. Cook","1987","09","20","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:07:10-03","CPAN-UFMS","COR","839","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Almeida Rego","675",NA,"Brasil","Mato Grosso do Sul","Fazenda Porto Belo. Planície.",NA,"Com Flor: capítulos brancos",NA,NA,"Almeida Rego","1986","07","29","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:28:39-03","CPAN-UFMS","COR","6830","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Arruda, J.A.O.; Assis, E.L.M.; Silva, P.C.","19",NA,"Brasil","Mato Grosso do Sul","Passo do Lontra (Base de Pesquisa da UFMS.).",NA,"Com Flor: verde Habito: Erva aquática",NA,NA,"Nakajima, J.","1999","08","28","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-02 16:28:39-03","CPAN-UFMS","COR","715","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Almeida Rego","537",NA,"Brasil","Mato Grosso do Sul","Polder",NA,"Erva emergente Habito: Erva emergente",NA,NA,"Christopher D. K. Cook","1986","07","22","Ladário","-57.6016998291016","-19.0046997070312","23141","auto",NA,NA,NA,NA,"2001","04","05",NA,NA,NA,NA,NA
"10","2020-11-26 18:07:10-03","CPAN-UFMS","COR","10745","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Enydra","anagallis","Enydra anagallis","Gardner",NA,"Barbosa, D.","2",NA,"Brasil","Mato Grosso do Sul","Sítio Santo Antonio. brejo originado de chuvas ou rio; argiloso; Plano.",NA,"submersa fixa, anfíbia; Com Flor: verde",NA,NA,"D.R.M.Neves","2004","10","31","Ladário","-57.6016998291016","-19.0046997070312","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
