"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","year","month","day","class","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","continentOcean","preparationType","barcode","imagecode"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4198","S","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri","Carlos Alberto Ferreira Júnior","2017","10","30","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3987","S","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri",NA,"2017","03","02",NA,"254","Magnoliophyta","Asparagales","2017","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2445","S","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri","Carlos A. Ferreira Jr.","2012","09","12",NA,"254","Magnoliophyta","Asparagales","2012","09","13","Equisetopsida","(Blumensch. ex Pabst) Van den Berg","Carlos Alberto F. Jr.; Albina, Fernado e Aparecida","CAF","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, afloramento rochoso atras do Pico do Por do Sol, próximo ao poço da rainha","-43.7144012451172","-19.1688995361328","19º 01' 24S","43º 43' 06W","26557","1235","1235","auto",NA,NA,NA,NA
"4","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4261","S","Plantae","Orchidaceae","Cattleya","cf. briegeri","Cattleya cf. briegeri","Carlos Alberto Ferreira Júnior","2017","12","13","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2444","S","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri","Carlos A. Ferreira Jr.","2012","09","12","1","254","Magnoliophyta","Asparagales","2012","09","13","Equisetopsida","(Blumensch. ex Pabst) Van den Berg","Carlos Alberto F. Jr.; Albina, Fernado e Aparecida","CAF","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, afloramento rochoso atras do Pico do Por do Sol, próximo ao poço da rainha","-43.7144012451172","-19.1688995361328","19º 01' 24S","43º 43' 06W","26557","1235","1235","auto",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031950","PreservedSpecimen","Plantae","Orchidaceae","Laelia","briegeri","Laelia briegeri","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189704' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","1968","02","23",NA,"Blumensch. ex Pabst","H. S. Irwin","20714","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55",NA,NA,NA,"1200","1200",NA,"South America","sheet","NY01031950","NY01031950_01"
"7","2021-03-15 16:37:00-03","NY","NYBG","1031951","PreservedSpecimen","Plantae","Orchidaceae","Laelia","briegeri","Laelia briegeri","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189707' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","1969","01","24",NA,"Blumensch. ex Pabst","H. S. Irwin","22557","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535",NA,NA,NA,"1300","1300",NA,"South America","sheet","NY01031951","NY01031951_01"
"8","2019-10-09 11:28:36-03","UFBA","ALCB","106087","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri","Barberena, FFVA","2017","05","12",NA,"ca. 30 cm alt., folhas concolores. Hipanto verde, corola amarela, tornando-se vinácea.; afloramento rochoso.","Monocotyledon",NA,"2012","09","25",NA,"(Blumensch. ex Pabst) Van den Berg","Roque, N; Quaresma, AS","3737","Brasil","Minas Gerais","Serro","Estrada Milho Verde para Capivari. APA Águas Vertentes","-43.461944","-18.483056","-43.461944","-18.483056",NA,"1108","1108",NA,"Southern America",NA,"ALCB006111","ALCB006111"
"9","2020-11-04 12:17:29-03","ESALQ","ESA","57003","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","briegeri","Cattleya briegeri","van den Berg, C.","2011","10","24",NA,NA,"Magnoliophyta",NA,"1969","10","11",NA,NA,"Duarte, A.P.","11822.0","Brasil","Minas Gerais","Serro",NA,"-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,NA,"auto",NA,NA,"ESA057003","ESA057003"
"10","2020-11-04 12:17:31-03","ESALQ","ESA","60195","PreservedSpecimen","Plantae","Orchidaceae","Laelia","briegerii","Laelia briegerii","Forster, W.",NA,NA,NA,NA,"Erva; flores amarelas.","Magnoliophyta",NA,"1999","03","14",NA,NA,"Souza, V.C. ; Souza, J.P.","22196.0","Brasil","Minas Gerais","Diamantina","BLOQUEADO","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"auto",NA,NA,"ESA060195","ESA060195"
