"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032002","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","F. C. Hoehne","G. F. J. Pabst","346","1947","02","20","South America","Brazil","São Paulo","Campos do Jordão, nas proximidades da Fonte Renato","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190106' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032002","NY01032002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 08:08:17-03","FPS","FPS","2185","MachineObservation","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Schwirkowski, P.","Schwirkowski, P.","1659","2016","03","12",NA,"Brasil","Santa Catarina","Serra Dona Francisca. Trilha do Castelo dos Bugres.",NA,NA,NA,NA,"FPS02185,FURB49727","FPS02185_v01 FPS02185_v02 FPS02185_v03 FPS02185_v04 FPS02185_v05 FURB49727","2016","03","12","Joinville","-49.054899","-26.224838","-49.054899","-26.224838","voucher","FURB 49727",NA,NA,NA,NA,NA
"3","2019-11-21 14:40:53-03","UFJF","CESJ","61980","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.","J.A.N.Batista","S.G. Furtado; L. Menini Neto; M.A. Manhães","211","2013","01","26","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Floresta ombrófila mista, no caminho para o Centro de Apoio ao Pesquisador.",NA,NA,NA,"Erva terrícola, rna borda e interior de floresta ombrófila mista, rara. Flores verdes.","CESJ061980",NA,"2013","02",NA,"Baependi","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"29865","auto",NA,NA,NA
"4","2019-11-08 08:54:24-03","FURB","FURB","49727","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Schwirkowski, P","Schwirkowski, P.","1659","2016","03","12",NA,"Brasil","Santa Catarina","Serra Dona Francisca. Trilha do Castelo dos Bugres.","688","688",NA,NA,"FURB49727","FURB49727","2016","03","12","Joinville","-49.0536111","-26.2208334","-49.0536111","-26.2208334",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:33-03","MBM","MBM","253426","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.","Batista, J.A.N.","Dusén, P.","2",NA,NA,NA,"Southern America","Brazil","Paraná","Serra do Mar, Monte Alegre",NA,NA,NA,NA,"MBM253426","MBM253426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:33-03","MBM","MBM","8436","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.","Pabst, G.","Hatschbach, G.","20703","1969","01","09","Southern America","Brazil","Paraná","Estrada da Graciosa, Grota Funda",NA,NA,NA,NA,"MBM008436","MBM008436",NA,NA,NA,"Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"30514","auto",NA,NA,NA
"7","2020-12-21 16:38:33-03","MBM","MBM","5036","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb. Rodr.","Batista, J.A.N.","Hatschbach, G.","16110","1967","03","09","Southern America","Brazil","Paraná","Trigolândia",NA,NA,NA,"Terrícola.","MBM005036","MBM005036",NA,NA,NA,"Piên","-49.42919921875","-26.0981006622314",NA,NA,NA,NA,"19924","auto",NA,NA,NA
"8","2020-08-04 18:26:32-03","MNHN","RECOLNAT_MNHN_P","P00408644","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.","Batista","Glaziou, A.",NA,"1874","1","21",NA,"Brésil",NA,NA,NA,NA,"hb","1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408644' target='other'> <mi>dwc_moreinfo</mi></a>","P00408644","P00408644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6915",NA,NA
"9","2020-12-11 11:44:43-03","UFMG","BHCB","120110","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Batista, JAN; Martins, CAN; Carvalho, BM de; Barbosa, AR","2429","2008","01","18","Southern America","Brasil","Minas Gerais","Parque Estadual da Serra do Papagaio, Pico do Papagaio.","1744","1744",NA,"Erva terrestre; Em mata úmida.","BHCB001678","BHCB001678","2008","01","18","Aiuruoca","-44.658","-22.035667","-44.658","-22.035667",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:44:43-03","UFMG","BHCB","180765","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","umbraticola","Habenaria umbraticola","Barb.Rodr.",NA,"Klein, J","225","2014","02","04","Southern America","Brasil","Rio Grande do Sul","Estrada para Fortaleza, Mata no final da estrada","1050","1050",NA,"Erva terrestre. Flor verde claro.; No interior de mata nebular. Populações concentradas de 5 a 10 indivíduos, simpátrica com Aspidogyne aff. bidentifera, Sophronitis coccinea, Rodrigueziella gomezoide.",NA,NA,"2014","02","04","Cambará do Sul","-49.959569","-29.717222","-49.959569","-29.717222",NA,NA,NA,NA,NA,NA,NA
