"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","barcode","typeStatus","continentOcean","imagecode","class","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","662","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","658","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08","1","254","Elton M. C. Leme;","2003","12","21","Brasil","Rio de Janeiro","Parati","Estuário do rio Perequê,na transição entre a Mata Atlântica e o mangue","-44.7131004333496","-23.2178001403809","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1187","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.",NA,NA,NA,NA,"254","Fernando Moreira Fernandes;",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1184","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.",NA,"2008","07",NA,"254","Fernando Moreira Fernandes;",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","656","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.","Elton. C. M. Leme","2011","08","2","254","Elton M. C. Leme;","2003","12","21","Brasil","Rio de Janeiro","Parati","Estuário do rio Perequê,na transição entre a Mata Atlântica e o mangue","-44.7131004333496","-23.2178001403809","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1185","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.",NA,NA,NA,NA,"254","Fernando Moreira Fernandes;",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","639","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.","Elton. C. M. Leme","2009","05","2","254","Elton M. C. Leme; Moreira","2003","06","07","Brasil","Rio de Janeiro","Mangaratiba","Fazenda Porto Belo","-44.040599822998","-22.9596996307373","17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1186","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B.Sm.",NA,"2008","07",NA,"254","Fernando Moreira Fernandes;",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 17:00:40-03","MN","R","107284","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","05",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","08","II - 2598","20","20","R010005643",NA,NA,NA,NA,NA,NA
"10","2021-04-07 17:00:40-03","MN","R","105156","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","compacta","Neoregelia compacta","(Mez) L.B. Sm.","Moura, R.","2001","11",NA,NA,"Vidal, J.","1952","07",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531","auto","08","II - 3686","20","20","R010005641",NA,NA,NA,NA,NA,NA
