"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","8607","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde C. Zanette","2001","04","20","Clair M. Martinello","2001","04","20","Brasil","Santa Catarina","Criciúma","Mata da SATC e da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI002485","CRI002485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","4384","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette","1997","06","27","V. P. Boff","1995","12","08","Brasil","Santa Catarina","Imbituba","Lagoa do Peri.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","CRI002488","CRI002488","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","14151","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Amanda Matiola","2018","11","08","Valdemar Boff & Vanilde Citadini","1998","01","28","Brasil","Santa Catarina","Araranguá","Morro dos Conventos","-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,NA,"CRI012802",NA,"Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:50-03","UNESC","CRI","1533","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","R. Negrelle",NA,NA,NA,"R. Negrelle","1993","06","13","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI002484","CRI002484","Habito: árvore","879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:50-03","UNESC","CRI","1742","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Marcos Sobral",NA,NA,NA,"R. dos Santos; A. J. de Aguiar","1993","03","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI002472","CRI002472","Habitat: mata atlântica de encosta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:50-03","UNESC","CRI","11950","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Aline Votri Guislon","2013",NA,NA,"Aline Votri Guislon; Peterson Teodoro Padilha; Altamir Antunes & Robson dos Santos","2013","05","23","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010096","CRI010096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:50-03","UNESC","CRI","4095","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette",NA,NA,NA,"Valdemar Boff","1995","09","08","Brasil","Santa Catarina","Fraiburgo","Tquarussu.","-50.921667","-27.026667","50º55'18''W","27º1'36''S","10","10","CRI002487","CRI002487",NA,"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:50-03","UNESC","CRI","3279","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello & Zenaide Pais Topanotti","1993","04","29","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002478","CRI002478",NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:50-03","UNESC","CRI","1536","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","R. Negrelle",NA,NA,NA,"R. Negrelle; P. Londero","1993","02","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha, entrada da trilha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI002483","CRI002483","Habito: árvore","721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:50-03","UNESC","CRI","3318","PreservedSpecimen","Plantae","Peraceae","Pera","glabrata","Pera glabrata","(Schott) Baill.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1993","11","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002476","CRI002476",NA,"1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
