"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","854925","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","J. Badini","A. Macedo","2801","1950","12","28","South America","Brazil","Minas Gerais","Ouro Preto","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854925","NY00854925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01080700","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","B. Loeuille","S. Panizza","s.n.","1975","09","05","South America","Brazil","São Paulo","Campos do Jordão","-45.59","-22.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1208346' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080700","NY01080700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","854924","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","J. Lundgren","A. F. M. Glaziou","14960a","1884","06","07","South America","Brazil","Minas Gerais","Ouro Preto","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854924","NY00854924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","854922","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","J. F. Pruski","P. Clausen","184",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854922","NY00854922_01","Carassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","854923","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","J. Lundgren","A. F. M. Glaziou","14960","1907",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854923","NY00854923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:35-03","EAO","IAN","93912","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Glaziou, AFM","14160",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"IAN093912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:35-03","EAO","IAN","94372","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Glaziou, AFM","14960",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"IAN094372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:35-03","EAO","IAN","13644","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Barreto, M","Badini, J","s.n.","1942","07","06","Southern America","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,"Subarbusto, flores alvas.","IAN013644","IAN013644 IAN013644_e","Campo, Pico do Itacolomi.","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:35-03","EAO","IAN","102499","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Barreto, M","Magalhães, MG","1696","1942","05","05","Southern America","Brasil","Minas Gerais","Serro","-43.3793983459473","-18.604700088501",NA,"Subarbusto cespitoso de 0,40m de altura, flor alva.","IAN102499",NA,"Depressão do terreno (valo) no alto do Pico Itambé.","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:24:07-03","MN","R","11555","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch. Bip.",NA,"Glaziou, A.F.M.","14960","1884","02","09",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Plantas do Brasil Central","R000011555","R000011555_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
