"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:39:33-03","E","E","324066","PreservedSpecimen","Plantae","Gramineae","Axonopus","pressus","Axonopus pressus","Stannard, B.; Queiroz, R.F.","1992","03","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:326647","<a href=http://data.rbge.org.uk/herb/E00324066 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","346101","PreservedSpecimen","Plantae","Poaceae","Axonopus","derbyanus","Axonopus derbyanus","M. A. Chase","1930","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346101","Magnoliophyta","Poales","G.A.Black","type","10836","Mato Grosso do Sul","Campo Grande","Campo Grande","-54.6464","-20.4431","540","550","NY00346101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1099945","PreservedSpecimen","Plantae","Poaceae","Axonopus","derbyanus","Axonopus derbyanus","T. C. Plowman","1980","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099945","Magnoliophyta","Poales","G.A.Black",NA,"8988","Pará","Conceição do Araguaia","Redenção. Área of cerrado vegetation about 4 Km west of town center along highway PA-150","-50.066667","-8.033333","200","200","NY01099945_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 20:54:00-03","NY","NYBG","00861710","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","G. Davidse","1976","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861710","Magnoliophyta","Poales",NA,NA,"10804","Minas Gerais",NA,"Ca. 50 km N of Congonhas along Highway 135 to Belo Horizonte",NA,NA,"1270","1270","NY00861710_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:37:00-02","NY","NYBG","629916","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","G. Davidse","1976","04","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629916","Magnoliophyta","Poales",NA,NA,"11776","Bahia",NA,"14 km NE of Itapicuru along HIghway BA-402 to Tobias Barreto",NA,NA,"250","250","NY00629916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 11:18:00-02","NY","NYBG","00861738","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","G. Davidse","1976","02","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861738","Magnoliophyta","Poales",NA,NA,"10885","Minas Gerais","Ibiá","Ca. 8 km E of Araxá junction on Highway 262 to Belo Horizonte","-46.5389","-19.4783","890","890","NY00861738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:18:00-02","NY","NYBG","00861709","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","J. M. Pires","1964","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861709","Magnoliophyta","Poales",NA,NA,"57983","Minas Gerais",NA,"A 500 km de Brasília para Belo Horizonte",NA,NA,NA,NA,"NY00861709_01","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 11:18:00-02","NY","NYBG","00861734","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","G. M. Magalhaes","1963","03","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861734","Magnoliophyta","Poales",NA,NA,"18904","Minas Gerais","Belo Horizonte","Serra do Curral","-43.9378","-19.9208",NA,NA,"NY00861734_01","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 11:18:00-02","NY","NYBG","00861712","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","G. Davidse","1976","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861712","Magnoliophyta","Poales",NA,NA,"10789","Minas Gerais",NA,"Ca. 8 km NW of Congonhas along Highway 135 to Belo Horizonte",NA,NA,"970","970","NY00861712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:37:00-02","NY","NYBG","629918","PreservedSpecimen","Plantae","Poaceae","Axonopus","pressus","Axonopus pressus","W. R. Anderson","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629918","Magnoliophyta","Poales",NA,NA,"36658","Bahia",NA,"Espigao Mestre, ca. 100 km WSW of Barreiras",NA,NA,"760","760","NY00629918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
