"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00847036","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso","G. Heiden","W. R. Anderson","36247","1972","02","18","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847036","NY00847036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00847056","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso","G. M. Barroso","E. Pereira","2924","1957","04","07","South America","Brazil","Minas Gerais","Serra do Cipó.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847056","NY00847056_01","-43.565347","-19.391335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:00:58-03","ESALQ","ESA","100955","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Baccharis","concinna","Baccharis concinna",NA,"Heiden, G.","Zappi, D.C.","776.0","2007","02","16",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA100955","ESA100955",NA,NA,"2010","Santana do Pirapama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:41-03","UFV","VIC","17191","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M. Barroso",NA,"Silva, A.F. da","1691","1990","06","16",NA,"Brasil","Minas Gerais","Área da Itaminas, Campo rupestre.",NA,NA,NA,"Arbusto, c.a. de 1,0 metro de altura.","VIC017191","VIC017191","-43.8577995300293","-20.4997005462646",NA,"Congonhas","16368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:15:41-03","UFV","VIC","17192","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M. Barroso",NA,"Silva, A.F. da; et al.","1698","1990","06","16",NA,"Brasil","Minas Gerais","Área da Itaminas, Campo rupestre.",NA,NA,NA,"Subarbusto, c.a. de 50 cm de altura; folhas brilhantes.","VIC017192","VIC017192","-43.8577995300293","-20.4997005462646",NA,"Congonhas","16368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:15:41-03","UFV","VIC","9121","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M. Barroso",NA,"Júnior, M.C.S.; Silva, A.F. da","s.n.","1983",NA,NA,NA,"Brasil","Minas Gerais","EFLEX",NA,NA,NA,NA,"VIC009121","VIC009121","-44.4042015075684","-19.2744007110596",NA,"Paraopeba","26090","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:23:11-03","UNICAMP","UEC","172264","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso","Heiden, G","Souza, VC; Zappi, DC; Hind, DJN; Paula-Souza, J; Jennings, L; Romão, GO; et al.","32576","2007","02","17",NA,"Brazil","Minas Gerais","Serra do Cipó (Serra da Lapa). distrito de São José da Cachoeira. Trilha da captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsar.","680","680",NA,"Arbusto, 0,6 - 1,2 m alt.; invólucro verde-amarelado; corola creme. Entre rochas. Indivíduo feminino.","UEC016396","UEC016396","-43.755556","-19.006111","2017","Santana de Pirapama",NA,NA,"10","17","-43.755556","-19.006111",NA,NA,NA,NA
"8","2021-03-01 16:23:11-03","UNICAMP","UEC","56317","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso","Heiden, G","Stehmann, JR; et al.","19208","1991","05","05",NA,"Brazil","Minas Gerais","Usina próxima ao distrito de Cardeal Mota.",NA,NA,NA,"Planta masculina, habito arbustivo.","UEC101924","UEC101924",NA,NA,"2010","Sanatana do Riacho",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:23:11-03","UNICAMP","UEC","66763","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso","Abbud, V","Abbud, V; Salimena-Pires, FR; Godoy, SAP","CFSC10727","1987","10","09",NA,"Brazil","Minas Gerais","Serra do Cipó. Estrada entre a pensão Chapéu do Sol e Córrego 2 Pontinhas.",NA,NA,NA,"Subarbusto ca. 1,0m, capítulos inconspícuos, frequente à sombra do barranco.","UEC101918","UEC101918",NA,NA,"1988","Sanatana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:23:11-03","UNICAMP","UEC","1695","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","concinna","Baccharis concinna","G.M.Barroso",NA,"Semir, J; Joly, AM; Martins, F","2327","1972","05","28",NA,"Brazil","Minas Gerais","KM 112 ao longo da Rodovia Lagoa Santa -- Conceição do Mato -- Diamantina.",NA,NA,NA,"Altura 1,2m. Arbusto.","UEC101927","UEC101927","-43.7449989318848","-19.513599395752",NA,"Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
