"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","7187","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott","Weverson Cavalcante Cardoso","2020","05","27","S. Pugues; F. Silva Filho e K. Frutstsugi","93","2001","10","05","Brasil","Santa Catarina","São Domingos","-52.5325","-26.560556","52º31'57''W","26º33'38''S","645","645","CRI006368","CRI006368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645385","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott","N. P. Taylor; D. C. Zappi",NA,NA,NA,"E. Hassler","4148","1900","08",NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY00645385","NY00645385_01","Magnoliophyta","Caryophyllales","South America","In regione vicine San Estanislao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120006' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3860284","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"M. H. Nee","51217","2000","11","06","Bolivia","Santa Cruz","Cordillera","-63.4586","-20.2214",NA,NA,"850",NA,"NY03860284","NY03860284_01","Magnoliophyta","Caryophyllales","South America","0.3 km. E of Comunidad Salinas from turnoff of the Camiri-Cuevo highway","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164849' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3860286","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"M. H. Nee","50731","1999","11","28","Bolivia","Santa Cruz","Manuel María Caballero","-64.45","-18",NA,NA,"1600",NA,"NY03860286","NY03860286_01","Magnoliophyta","Caryophyllales","South America","4 km (by air) NW of San Isidro, 2.2 km. N of turnoff at Estancia El Tambo from San Isidro-Comarapa highway, vic. Estancia Vado Hondo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 14:48:00-03","NY","NYBG","645390","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"L. B. Smith","12960","1964","10","26","Brazil","Santa Catarina","Videira","-51.15","-27",NA,NA,"700","800","NY00645390","NY00645390_01","Magnoliophyta","Caryophyllales","South America","Parque da Uva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120002' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3860311","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"M. H. Nee","44716","1994","01","28","Bolivia","Santa Cruz","Florida","-64.1208","-18.08",NA,NA,"1300",NA,"NY03860311","NY03860311_01","Magnoliophyta","Caryophyllales","South America","1 km. NW of Pampa Grande on dirt road to the main highway from Samaipata to Comarapa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 14:48:00-03","NY","NYBG","645391","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"L. B. Smith","12455","1964","10","13","Brazil","Santa Catarina","Irani","-51.83","-26.95",NA,NA,"700","900","NY00645391","NY00645391_01","Magnoliophyta","Caryophyllales","South America","Campo de Irani","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120003' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645388","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott","S. F. Smith",NA,NA,NA,"A. Butzke","HERBARA-7143","1993","09","06","Brazil","Rio Grande do Sul","Erechim","-52.2739","-27.6344",NA,NA,"780","780","NY00645388","NY00645388_01","Magnoliophyta","Caryophyllales","South America","Erechim - URI","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120004' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645384","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"R. Kiesling","8133","1992","11","11","Argentina","Jujuy",NA,NA,NA,NA,NA,NA,NA,"NY00645384","NY00645384_01","Magnoliophyta","Caryophyllales","South America","Dpto. Capital, de Jujuy a Cuesta de las Lajitas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120008' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3860289","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"J. N. Rose","20910","1915","08","26","Argentina","Buenos Aires",NA,"-57.955402","-34.920242",NA,NA,NA,NA,"NY03860289","NY03860289_01","Magnoliophyta","Caryophyllales","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164854' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","645386","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott","N. P. Taylor; D. C. Zappi",NA,NA,NA,"I. G. Vargas Caballero","2917","1993","10","16","Bolivia","Santa Cruz","Manuel María Caballero","-64.5","-17.92",NA,NA,"1940","1940","NY00645386","NY00645386_01","Magnoliophyta","Caryophyllales","South America","Comparapa, 3 km al NE en los alrededores del pueblo y terreno baldíos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120005' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03860250","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"P. C. Hutchison","1931",NA,NA,NA,"Bolivia","Santa Cruz","Florida","-64.089731","-18.127953",NA,NA,"1600",NA,"NY03860250","NY03860250_01","Magnoliophyta","Caryophyllales","South America","Just E. of Mataral","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4160114' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","03860249","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"P. C. Hutchison","1934",NA,NA,NA,"Bolivia","Santa Cruz","Vallegrande",NA,NA,NA,NA,"1600",NA,"NY03860249","NY03860249_01","Magnoliophyta","Caryophyllales","South America","Between Cochabamba and Santa Cruz. E. of Siberia, just before Mataral","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4160112' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03860283","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"M. H. Nee","51229","2000","11","06","Bolivia","Santa Cruz","Cordillera","-63.48","-20.2",NA,NA,"900",NA,"NY03860283","NY03860283_01","Magnoliophyta","Caryophyllales","South America","bottom of broad valley, 3 km N of Comunidad Salinas, off Camiri-Cuevo highway","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164829' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","645389","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott","N. P. Taylor; D. C. Zappi",NA,NA,NA,"W. G. F. Herter","1130","1928","09",NA,"Uruguay","Tacuarembó",NA,NA,NA,NA,NA,"150","150","NY00645389","NY00645389_01","Magnoliophyta","Caryophyllales","South America","Gruta Helechos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120007' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3860299","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"T. J. Killeen","1302","1985","10","19","Bolivia","Santa Cruz","Cordillera","-63.17","-20",NA,NA,"480",NA,"NY03860299",NA,"Magnoliophyta","Caryophyllales","South America","Sant Antonio, Rio Parapiti. River valley and adjacent hills of andean piedmont, Gran Chaco thron forest","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164864' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3860287","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","(Lem.) Barthlott",NA,NA,NA,NA,"M. H. Nee","51305","2000","11","08","Bolivia","Santa Cruz","Cordillera","-63.5264","-19.9064",NA,NA,"950",NA,"NY03860287","NY03860287_01","Magnoliophyta","Caryophyllales","South America","1.2 km. E of Camiri-Ipatí road, on dirt road toward Eytí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4164852' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-28 14:48:00-03","NY","NYBG","645387","PreservedSpecimen","Plantae","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"L. B. Smith","8289","1956","12","05","Brazil","Santa Catarina","Curitibanos","-50.5842","-27.2831",NA,NA,"850","950","NY00645387","NY00645387_01","Magnoliophyta","Caryophyllales","South America","West of Curitibanos toward Campos Novos. 8 km from Curitibanos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120010' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
