"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","county","locality","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:26-03","E","E","313191","PreservedSpecimen","Plantae","Leguminosae","Aeschynomene","brevipes","Aeschynomene brevipes","Harley, R.M.; Giulietti, A.M.; Freire Fierro, A.; Ganev, W.; Queiroz, R.F.","50671","1992","01","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:316476","<a href=http://data.rbge.org.uk/herb/E00313191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:26-03","E","E","313190","PreservedSpecimen","Plantae","Leguminosae","Aeschynomene","brevipes","Aeschynomene brevipes","Harley, R.M.; Souza, V.C.","50112","1991","12","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:316475","<a href=http://data.rbge.org.uk/herb/E00313190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","451786","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","G. Gardner","2097","1839","05",NA,"South America","Brazil","photo",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451786","Magnoliophyta","Fabales","Benth.","photo of type","Piauí","Oeiras","Near Oeiras","-42.1308","-7.0256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777318","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","R. M. Harley","50112","1991","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777318","Magnoliophyta","Fabales","Benth.",NA,"Bahia","Abaíra","Estrada nova Abaíra-Catolés","-41.67","-13.23","G. P. Lewis","750","800","NY00777318_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","451784","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","W. R. Anderson","36668","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451784","Magnoliophyta","Fabales","Benth.",NA,"Bahia","Barreiras","Espigao Mestre, ca. 100 km. WSW of Barreiras","-44.99","-12.15",NA,"760","760","NY00451784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","451779","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","R. M. Harley","H50112","1991","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451779","Magnoliophyta","Fabales","Benth.",NA,"Bahia","Abaíra","Estrada nova Abaíra-Catolés","-41.67","-13.23","L. P. de Queiroz","750","800","NY00451779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","451780","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","R. M. Harley","H50671","1992","01","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451780","Magnoliophyta","Fabales","Benth.",NA,"Bahia","Piata","Estada Piata-Abaíra, 4 km. após Piata","-41.78","-13.15","L. P. de Queiroz","1200","1300","NY00451780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","777319","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","R. M. Harley","50671","1992","01","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777319","Magnoliophyta","Fabales","Benth.",NA,"Bahia","Piata","Estrada Piata-Abaíra, 4 km após Piata","-41.78","-13.15","G. P. Lewis","1200","1300","NY00777319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","451791","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","C. F. P. von Martius","6269",NA,NA,NA,"South America","Brazil","photo",NA,"No Collection Day or Year on this label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=682115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451791","Magnoliophyta","Fabales","Benth.","photo of type","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00982971","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","brevipes","Aeschynomene brevipes","S. Tsugaru","B-2005","1987","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982971","Magnoliophyta","Fabales","Benth.",NA,"Mato Grosso do Sul","Sidrolândia","Near Capão seco, 65 km SSE from Campo Grande, along the Rt. BR-163.","-54.9614","-20.9319","L. L. C. Antunes","500","500","NY00982971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
