"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184782","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","R. C. Forzza","R. A. X. Borges","993","2009","11","18","South America","Brazil","Rio de Janeiro","Petrópolis","APA Petrópolis - Serra da Maria Comprida, percurso Palmares - Boi Coroado.","-43.2328","-22.4097","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184782","NY01184782_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:26:00-03","MN","R","237997","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","Couto, D.R.","Couto, D.R. 3244; Guerra-Junior, F.C.",NA,"2015","10","12",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões",NA,"-20.944722",NA,NA,"R010067403,R010067404",NA,"2015","12","12","41°32#?#W","20°56'41S","1300","1300",NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:26:00-03","MN","R","215840","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker",NA,"Coser, T.S. 343; Zanella, C.M. & Goetze, M.",NA,"2010","09","30",NA,"Brasil","Espirito Santo","Santa Maria de Jetibá",NA,"-40.923333","-20.176944",NA,NA,"R010007141","R010007141",NA,NA,NA,"40º55'24''W","20º10'37''S",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:09:06-03","UFES","VIES","26372","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","Coser, T.S.","Coser, T.S.; Zanella, C.M. & Goetze, M.","342","2010","09","30",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão.","-40.7461013793945","-20.040599822998",NA,NA,"VIES026372","VIES026372","2010","09","30",NA,NA,NA,NA,"31867","auto",NA,NA,NA,NA
"5","2015-09-05 08:01:30-03","MNHN","RECOLNAT_MNHN_P","P00557822","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","Smith","Glaziou, A.|grargrey, leg.A.",NA,"1885","10","28",NA,"Brésil",NA,NA,"Vient du haut des Orgues, coté de Troposis, Quinta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00557822' target='other'> <mi>dwc_moreinfo</mi></a>","P00557822","P00557822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-10-29 13:40:20-03","MNHN","RECOLNAT_MNHN_P","P00713060","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker",NA,"Glaziou, A.",NA,"1888","3","15",NA,"Brésil",NA,NA,"Haut des Orgaos, par Petropolis",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00713060' target='other'> <mi>dwc_moreinfo</mi></a>","P00713060","P00713060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17282",NA,NA
"7","2013-05-03 11:34:04-03","MNHN","RECOLNAT_MNHN_P","P00713061","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","Mez","Glaziou, A.",NA,"1888","3","15",NA,"Brésil",NA,NA,"Haut des Orgaos, par Petropolis",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00713061' target='other'> <mi>dwc_moreinfo</mi></a>","P00713061","P00713061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17282",NA,NA
"8","2013-12-20 10:16:59-02","MNHN","RECOLNAT_MNHN_P","P00713062","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker",NA,"Glaziou, A.",NA,"1888","3","15",NA,"Brésil",NA,NA,"Haut des Orgaos, par Petropolis",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00713062' target='other'> <mi>dwc_moreinfo</mi></a>","P00713062","P00713062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17282",NA,NA
"9","2013-05-01 10:20:00-03","MO","MOBOT","100589404","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker",NA,"Auguste F.M. Glaziou","Glaziou 17282",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"10","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","42442",NA,"Plantae",NA,NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii","Baker","T.S. Coser/30-09-2010","T.S. Coser; C.M. Zanella & M. Goetze","342","2010","09","30",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Afloramento Rochosos de formação gnaisse-granito","-40.923333","-20.176944",NA,"Saxícola. Folhas basais com bainhas castanhas persistentes, formando uma roseta longa e espinosa. Folhas do centro verdes, as vezes com margens vermelhas com lâminas verdes. Escapo e inflorescência vermelho, alvo-flocoso. Brácteas esca","MBML042442","MBML042442",NA,NA,NA,"40W55'24","20S10'37",NA,NA,NA,NA,NA,NA,NA,NA
