"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","374938","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","H. de F. Leitão Filho","10787","1979","12","11","South America","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374938","NY00374938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273438","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","G. G. Hatschbach","23329","1970","01","15","South America","Brazil","Paraná","Paranaguá","Sertaozinho","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273438","NY00273438_01","isotype","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374941","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","G. G. Hatschbach","26269","1971","02","04","South America","Brazil","Paraná","Guaraqueçaba","Rio do Costa, base morro","-48.161779","-25.280134","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374941","NY00374941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","374936","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","H. de F. Leitão Filho","10751","1979","12","11","South America","Brazil","São Paulo","Cananéia","Em beira de mata. Ilha do Cardoso","-47.992538","-25.197304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374936","NY00374936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","374942","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","G. G. Hatschbach","A. C. Cervi","6459","1997","12","03","South America","Brazil","Paraná","Guaraqueçaba","Salto Morato","-48.32","-25.27","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374942","NY00374942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374935","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","H. de F. Leitão Filho","10770","1979","12","11","South America","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374935","NY00374935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374939","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","G. G. Hatschbach","46287","1983","05","10","South America","Brazil","São Paulo","Registro","Registro, rod. p/ Sete Barras","-47.84","-24.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374939","NY00374939_01",NA,"70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374940","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","G. G. Hatschbach","13630","1966","01","31","South America","Brazil","Paraná","Paranaguá","Sertao do Guaraní","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374940","NY00374940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374937","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.","T. D. Pennington","H. de F. Leitão Filho","10794","1979","12","11","South America","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374937","NY00374937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:04:04-03","NBC","NL-BOTANY","WAG.1384694","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","paranaense","Chrysophyllum paranaense","T.D.Penn.",NA,"Hatschbach GG",NA,"1983","05","10","Southern America","Brazil",NA,NA,"Registro, rod. p/ sete Barras, São Paulo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1384694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1384694","NL-WAG1384694",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
