"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:27-03","UNESC","CRI","3120","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Marcos Sobral","1994","01","01","Robson dos Santos; Raquel Rejane Bonatto Negrelle","54","1993","12","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.616389","-26.1175","48º36'59''W","26º7'3''S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI003954","CRI003954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:27-03","UNESC","CRI","4186","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Marcos Sobral",NA,NA,NA,"Valdemar Boff","358","1995","11","29","Brasil","Santa Catarina","Jacinto Machado","Tenente.","-49.763889","-28.998056","49º45'50''W","28º59'53''S",NA,NA,"Habito: árvore","CRI003956","CRI003956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:27-03","UNESC","CRI","3092","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","19","1994","04","13","Brasil","Santa Catarina","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5",NA,"CRI003885","CRI003885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","1466","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Randor Menezes Silva",NA,NA,NA,"R. R. B. Negrelle; et al.","81","1992","01","14","Brasil","Santa Catarina","Itapoá","Área das parcelas.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003951","CRI003951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","1467","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Sandro Menezes Silva",NA,NA,NA,"R. R. B. Negrelle; C. Fava","599","1993","01","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha, beira da trilha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003949","CRI003949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:27-03","UNESC","CRI","627","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","977","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003953","CRI003953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:37-03","UNESC","CRI","1764","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & R. dos Santos","1741","1993","03","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: árvore","CRI003952","CRI003952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:27-03","UNESC","CRI","14129","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Aline Votri Guislon & Renato Colares","2018","10","09","Aline Votri Guislon; Amanda Matiola, Josué Nicolau & Renato Colares",NA,"2018","10","09","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Bairro Dagostim.","-49.36","-28.766111","49º21'36''W","28º45'58''S","40","40","Fruto vermelho. Habito: Arbóreo","CRI012779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:37-03","UNESC","CRI","4754","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Daniel B. Falkenberg",NA,NA,NA,"Robson dos Santos","198","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI003876","CRI003876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:37-03","UNESC","CRI","4764","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A.Juss.","Daniel de Barcellos Falkenberg",NA,NA,NA,"R. dos Santos",NA,"1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Praia das Palmas. Lot. Palmar.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI003892","CRI003892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
