"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00862103","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha","(Hack.) Henrard","T. de S. Filgueiras","H. S. Irwin","23509","1969","02","18","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862103","NY00862103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","763548","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha","(Hack.) Henrard",NA,"R. M. Harley","15840","1974","02","02","South America","Brazil","Bahia",NA,"Ca. 14km. N. of Barra da Estiva, near the Ibicoara road","-41.3","-13.58","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763548","NY00763548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:28:00-03","NY","NYBG","763551","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha",NA,"G. Davidse","G. Davidse","10980","1976","03","09","South America","Brazil","Paraná",NA,"13 km NE of Atuba (which is just outside of Curitiba) along Highway 116",NA,NA,"890","890","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763551","NY00763551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 20:57:00-03","NY","NYBG","00862128","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha",NA,NA,"M. A. Chase","8765","1925","03","07","South America","Brazil","Minas Gerais",NA,"Lavras",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862128","NY00862128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:28:00-03","NY","NYBG","763756","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha",NA,NA,"G. Davidse","11154","1976","03","11","South America","Brazil","Rio Grande do Sul",NA,"27 km NW of Vacaria along Highway BR-285 to Passo Fundo",NA,NA,"950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763756","NY00763756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","763549","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha","(Hack.) Henrard","T. de S. Filgueiras","W. R. Anderson","36656","1972","03","06","South America","Brazil","Bahia",NA,"Espigao Mestre, ca. 100km WSW of Barreiras",NA,NA,"760","760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763549","NY00763549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","763550","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha","(Hack.) Henrard","G. Davidse","H. S. Irwin","30937","1971","02","24","South America","Brazil","Bahia",NA,"Serra da Agua de Rega. Ca. 23km N. of Seabra, road to Agua de Rega",NA,NA,"1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763550","NY00763550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 20:57:00-03","NY","NYBG","00862104","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","corynotricha","Digitaria corynotricha",NA,NA,"M. A. Chase","9271","1925","03","28","South America","Brazil","Minas Gerais",NA,"West of Vaccaria, Serra do Cipó (110 km. northeast of Bello Horizonte)",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862104","NY00862104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:57:00-03","NY","NYBG","00862115","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","gerdesii","Digitaria gerdesii",NA,"G. Davidse","G. Davidse","10868","1976","02","29","South America","Brazil","Minas Gerais","Ibiá","Ca. 8 km E of Araxá junction on Highway 262 to Belo Horizonte","-46.5389","-19.4783","890","890","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862115","NY00862115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 20:57:00-03","NY","NYBG","00862114","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","gerdesii","Digitaria gerdesii",NA,NA,"M. A. Chase","9086","1925","03","26","South America","Brazil","Minas Gerais",NA,"Serra do Curral, southeast of Bello Horizonte",NA,NA,"1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862114","NY00862114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 20:57:00-03","NY","NYBG","00862140","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","gerdesii","Digitaria gerdesii",NA,NA,"M. A. Chase","8740","1925","03","06","South America","Brazil","Minas Gerais",NA,"Lavras",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862140","NY00862140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
