"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","533618","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","G. F. J. Pabst","414","1950","10","05","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Serra da Carioca pr. Trapicheiro","-43.2075","-22.9031","300","300","sheet","esteril sep. 1949, fertil 05 oct. 1950 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533618","NY00533618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533506","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","A. Gehrt","14597","1924","09","03","South America","Brazil","São Paulo",NA,"Alto da Serra, Matta da Estacao Biologica",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533506","NY00533506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:39-03","ESALQ","ESA","75781","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pleurothallis","quadridentata","Pleurothallis quadridentata","(Barb. Rodr.) Cogn.","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","214.0","2001","04","17",NA,"Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","30","30",NA,"Epífita, flores amarelas.","ESA075781","ESA075781","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:39-03","ESALQ","ESA","77322","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Pleurothallis","strupifolia","Pleurothallis strupifolia","Lindl.","Folli, D.A.","2943.0","1997","03","04",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA077322","ESA077322","48094","auto","Forster, W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:14-03","MN","R","222190","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Andrade, A.G.","187","1959","02","10",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:14-03","MN","R","222223","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Pabst, G.F.J. ; Pereira, E. 6844","6670","1961","11","09",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:14-03","MN","R","35735","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Brade, A.C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Barreiras","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:14-03","MN","R","35744","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Brade, A.C.; Lima, S.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Santo Antônio do Imbé","-42.0080986022949","-21.9552993774414","1500","1500",NA,NA,NA,NA,"30526","auto","Pabst, G.F.J.","1959","11","19",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:14-03","MN","R","223395","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei var.parvifolia","Cong.","Brade, A.C.","8561","1928","10","21",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"57442","auto","Hoehne, F.C.",NA,NA,NA,"var.parvifolia",NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:03:52-03","FURB","FURB","19912","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1283","2010","02","01",NA,"Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","180","180",NA,"Epífita IFFSC e226a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor pétala branca com listras roxas, labelo branco com pontos roxos","FURB04335","FURB04335",NA,NA,"Siqueira, CE","2013","06","12",NA,"-48.7619444","-27.8788889",NA,NA,NA,NA,NA
"11","2020-10-14 10:03:52-03","FURB","FURB","31103","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2643","2010","06","05",NA,"Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889","180","180",NA,"Epífita IFFSC e226b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de arbórea; Fruto verde;","FURB34335","FURB34335",NA,NA,"Schmitt, JL","2010","10","18",NA,"-48.7619444","-27.8788889",NA,NA,NA,NA,NA
"12","2020-10-14 10:03:52-03","FURB","FURB","58178","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","strupifolia","Acianthera strupifolia","(Lindl.) Pridgeon & M.W.Chase","Funez, L.A.","7182","2018","01","29",NA,"Brasil","Santa Catarina","Ascurra","Salto Andorinhas.","-49.3755989074707","-26.9552993774414",NA,NA,NA,"Flores roxas com sépala superior branca Habitat: Floresta Habito: Epífita","FURB58178","FURB58178","11742","auto","Funez, L.A.","2018","01","29",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-08 08:54:28-03","FURB","FURB","38759","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","quadridentata","Pabstiella quadridentata","(Barb.Rodr.) Luer","Caetano, J.O.",NA,"2012","08","05",NA,"Brasil","Santa Catarina","Benedito Novo","Ao lado da Ceesan Alto Benedito.","-49.4283334","-26.7855555","387","387",NA,NA,"FURB02835","FURB02835",NA,NA,"Caetano, JO","2012","08","05",NA,"-49.4283334","-26.7855555",NA,NA,NA,NA,NA
"14","2020-12-21 16:38:46-03","MBM","MBM","24435","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Pabst, G.","s.n.","1966","08","12","Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM024435","MBM024435","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:46-03","MBM","MBM","29875","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","mouraei","Pleurothallis mouraei","Cogn.","Hatschbach, G.","1785","1950","01","22","Southern America","Brazil","Paraná","São José dos Pinhais","Rincão","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM029875","MBM029875","45291","auto","Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
