"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:34:03-03","UNESC","CRI","5289","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","J. A. Jarenkow","J. A. Jarenkow","1993","01","09","Brasil","Rio Grande do Sul","Morrinhos do Sul","Perdida.","-49.935","-29.365556","49º56'6''W","29º21'56''S","21","21","Habito: arbórea","CRI009038","CRI009038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:00-03","UNESC","CRI","14178","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","Renato Colares","Renato Colares","2018","12","19","Brasil","Santa Catarina","Criciúma","Santa Augusta.","-49.409444","-28.697778","49º24'34''W","28º41'52''S",NA,NA,"Flor alvo-violácea. Habito: Arbóreo","CRI012831","CRI012831","2018","12","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","4068","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","J. A. Jarenkow","J. A. Jarenkow; Piero Delprete","1989","12","27","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.907778","-27.464722","51º54'28''W","27º27'53''S",NA,NA,NA,"CRI008998","CRI008998",NA,NA,NA,"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","15348","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","Isadora Zapelini & José T. Pires","Alexandre Medeiros","2017","06","26","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-49.631667","-26.993611","49º37'54''W","26º59'37''S",NA,NA,"Habito: Arbóreo","CRI014765",NA,"2020","08","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:03-03","E","E","271012","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra",NA,NA,"C.A. Pendry","1999","03","12","BO","La Paz","Sud Yungas","Valley of Rio Boopi, c. 5 km W of village below Las Mercedes on road to Villa Barientos","-67.349722","-16.289167","-67.349722","-16.289167","1000","1000","<a href=http://data.rbge.org.uk/herb/E00271012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00271012",NA,NA,NA,NA,"541","W. Tropical South America","herbarium specimen of unspecif","BGBASE:107710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396985","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","P. G. Delprete","V. C. Souza","1994","03","07","Brazil","Bahia","Caetité","Localidade de Café Baiano, 9 km E de Caetité em direçao a Brumado","-42.4347","-14.1144",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396985","NY00396985_01",NA,NA,NA,"5344","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","887172","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","J. H. Kirkbride Jr.","R. M. Harley","1980","05","15","Brazil","Bahia",NA,"Just S of Maraú. G8.","-39","-14.17",NA,NA,NA,"50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887172","NY00887172_01",NA,NA,NA,"22121","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396993","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","H. Ochoterena-Booth","J. C. Lindeman","1967","02","03","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Forest near sede do parque","-44.5631","-22.4961",NA,NA,"830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396993","NY00396993_01",NA,NA,NA,"4187","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","501903","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","P. G. Delprete","A. M. Amorim","1999","04","08","Brazil","Bahia","Jequié","Ramal que leva a torre de transmissao, ca. 3,4 km a partir do acesso que liga a cidade a BR 116","-40.0833","-13.8578",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501903","NY00501903_01",NA,NA,NA,"2718","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396988","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","B. M. Boom","J. Spada","1978","12","27","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. ROXINHO, ant. 163, km 0,850, lado direito, B-1-25AII. S-13","-40.0719","-19.3911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396988","NY00396988_01",NA,NA,NA,"6-78","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
