"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude"
"1","2020-06-29 11:29:42-03","UFRJ","RFA","28662","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E.Pereira & I.A.Penna","T. Coser; T. Wendt","2008","10","21","T. Wendt; L. O. F. Sousa; L. M. Versieux","530","2004","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Ilha Z","-40.6002998352051","-19.9356002807617","23813","Folhas verdes brilhantes, bainha verde claro, brácteas escapais paleáceas, florais vermelhas, com ápice paleáceo, cálice vermelho, corola amarela","RFA51308","auto",NA,NA,NA
"2","2020-06-29 11:29:42-03","UFRJ","RFA","28654","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E.Pereira & I.A.Penna","T. S. Coser; T. Wendt","2008","10","21","T. Wendt; L. O. F. Sousa; L. M. Versieux","528","2004","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Ilha Z.","-40.6002998352051","-19.9356002807617","23813",NA,"RFA51306","auto",NA,NA,NA
"3","2021-02-07 08:35:21-03","MN","R","193062","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E. Pereira & I.A. Penna",NA,NA,NA,NA,"Costa, A.F.","533","1995","10","19","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010017201","auto",NA,NA,NA
"4","2021-02-07 08:35:21-03","MN","R","198318","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E. Pereira & I.A. Penna",NA,NA,NA,NA,"Chamas, C.C.","156","1994","04","27","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010017200","auto",NA,NA,NA
"5","2021-02-07 08:35:21-03","MN","R","214529","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E. Pereira & I.A. Penna",NA,NA,NA,NA,"Costa, A.F.","825","2005","04","23","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010017202","auto","R010017202 R010017202_1",NA,NA
"6","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","10596",NA,"Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E.Pereira & Penna","L. Kollmann/06-04-2006",NA,NA,NA,"Cintia C. Chamas; et al","156","1994","04","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre e epífita (até 50cm ), folha verde com brilho, bráctea vermelha, flor amarela. Trilha palmito, sombra, altitude aprox. 830m.","MBML010596",NA,"MBML010596","40W31'49","19S58'17"
"7","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","24976",NA,"Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E.Pereira & Penna","L. Kollmann/06-04-2006",NA,NA,NA,"L. Kollmann; et al","8301","2005","09","02","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre na sombra, bráctea floral vermelha, fruto verde. Bainha folha marrom clara.","MBML024976",NA,"MBML024976","40W31'49","19S58'17"
"8","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","25309",NA,"Plantae","Bromeliaceae","Vriesea","kautskyana","Vriesea kautskyana","E.Pereira & Penna","L. Kollmann/26-01-2006",NA,NA,NA,"L. Kollmann","8620","2006","01","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita na sombra, frutos verdes.","MBML025309",NA,"MBML025309","40W31'49","19S58'17"
