"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus"
"1","2020-06-29 11:29:40-03","UFRJ","RFA","30328","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser; T. Wendt","2008","10","21","T. Wendt; G.K. Brown; L. Kollmann","401","2000","12","07","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Flores brancas com bordo azul","RFA52199","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:53-03","MN","R","233019","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme",NA,NA,NA,NA,"Kessous, I.M.","126","2014","08","20","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"R010045367","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:43:32-03","UFMG","BHCB","149687","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme",NA,NA,NA,NA,"Machado, TM; Giacomin, LL; Giudicelli, GC; Souza, FS","334","2011","02","05","Brasil","Espírito Santo","Santa Teresa",NA,"-40.531389","-19.974167",NA,"Epífita em mata ombrófila, folhas externas verdes com máculas vináceas, folhas internas com a face abaxial vinosa e a adaxial verde com máculas vinosas, escapo alvo, brácteas do escapo alvas, brácteas primárias alvas, sépalas com a ba","BHCB040218",NA,"Monocotyledon","Southern America","-40.531389","-19.974167","802","802",NA,NA
"4","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","4736",NA,"Plantae","Bromeliaceae","Neoregelia","aff. guttata","Neoregelia aff. guttata","Leme","T.S. Coser/14-06-2012",NA,NA,NA,"W. Boone","1184","1988","05","31","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Bromeliário","-40.6","-19.936111",NA,"Bromélia com flores de pétalas brancas de ápice azul, cálice verde; folha roxa internamente. Culta/Herb.","MBML004736",NA,NA,NA,"40W36'0","19S56'10",NA,NA,"MBML004736",NA
"5","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","5027",NA,"Plantae","Bromeliaceae","Neoregelia","aff. guttata","Neoregelia aff. guttata","Leme","T.S. Coser/14-06-2012",NA,NA,NA,"W. Boone","1244","1988","08","10","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Bromeliário","-40.6","-19.936111",NA,"Folha vinho internamente próximo á base. Flor de cálice verde. Corola branca com o ápice azul. Cullta/Herb.","MBML005027",NA,NA,NA,"40W36'0","19S56'10",NA,NA,"MBML005027",NA
"6","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","5386",NA,"Plantae","Bromeliaceae","Neoregelia","aff. guttata","Neoregelia aff. guttata","Leme","T.S. Coser/14-06-2012",NA,NA,NA,"W. Boone","1270","1988","11","28","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Casa das Epífitas","-40.6","-19.936111",NA,"Flor com pétalas azuis no ápice e branca na base. Folha vinho internamente na base. Culta/Herb.","MBML005386",NA,NA,NA,"40W36'0","19S56'10",NA,NA,"MBML005386",NA
"7","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","10299",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"I. G. Varassin","69","1999","01","20","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita. Heliófila. Flores brancas.","MBML010299",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML010299",NA
"8","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","11082",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"Cintia C. Chamas; et al","352","1994","12","21","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Edífica, folha verde com manchas roxas, pétala branca com ápice roxa. Trilha da divisa.","MBML011082",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML011082",NA
"9","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","11083",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"Cintia C. Chamas; et al","444","1996","04","24","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Pífita, folha verde com manchas roxas, pétala branca com ápice roxo. Trilha da divisa.","MBML011083",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML011083",NA
"10","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","11087",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"Cintia C. Chamas; et al","439","1996","02","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífica folha verde com pintas roxas, espinhos, verso com indumento branco, infrutescência nidular. Trilha da divisa.","MBML011087",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML011087",NA
"11","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","12622",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","Elton M.C. Leme/IX-2002",NA,NA,NA,"L. Kollmann; et al","2937","2000","05","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita a 2m na sombra. Folhas verdes com pintas vermelhas. Folhas internas com bases vermelhas. Ovário branco. Botões brancos.","MBML012622",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML012622_1 MBML012622_2",NA
"12","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","14252",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","3678","2001","05","22","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita na sombra. Botões esbranquiçados. Folhas verdes com pintas vináceas.","MBML014252",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML014252",NA
"13","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","15382",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","4724","2001","09","25","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita na sombra. Frutos verdes.","MBML015382",NA,NA,NA,"40W33'11","19S54'27",NA,NA,"MBML015382",NA
"14","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","15999",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","5202","2002","01","08","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita. Folhas com pontuação vinácea pétalas lilás.","MBML015999",NA,NA,NA,"40W33'11","19S54'27",NA,NA,"MBML015999",NA
"15","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","17561",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"R.R. Vervloet; et al","409","2002","06","27","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita, em arbusto com 5m, folhas roxas com pintas vinho, parte ventral com listas brancas, borda das folhas de cor verde, frutos esverdeados de cor branca, meia encosta, solo arenoso, dossel aproximado 5m, vegetação esparsa.","MBML017561",NA,NA,NA,"40W33'11","19S54'27",NA,NA,"MBML017561",NA
"16","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","17684",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"R.R. Vervloet; et al","437","2002","07","10","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita, topo de morro, dossel aproximado 15m, folha parte externa de cor verde co listas brancas e pintas vináceas, parte interna verde com pintas vináceas, base branca.","MBML017684",NA,NA,NA,"40W33'11","19S54'27",NA,NA,"MBML017684",NA
"17","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","23367",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","7537","2005","03","22","Brasil","Espírito Santo","Santa Teresa","Penha","-40.552778","-19.953333",NA,"Epífita na sombra, botões verdes.","MBML023367",NA,NA,NA,"40W33'10","19S57'12",NA,NA,"MBML023367",NA
"18","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","25693",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","L. Kollmann/17-11-2005",NA,NA,NA,"L. Kollmann","8451","2005","11","17","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Erva terrestre na meia sombra, folhas com pintas vináceas, sépalas brancas.","MBML025693",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML025693",NA
"19","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","26614",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"L. Kollmann; et al","9113","2006","05","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita na sombra. Pétalas azuis.","MBML026614",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML026614",NA
"20","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","32279",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","T.S. Coser/21-06-2011",NA,NA,NA,"L. Kollmann; P. Labiak, F. B. Matos & R. Goldenberg","10085","2007","07","13","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do J. Furlani","-40.537222","-19.804167",NA,"Epífita na meia sombra. Folhas verdes, centrais vermelhas. Flores lilás. Ovário branco. Floração em cultivo 20/X/2007.","MBML032279",NA,NA,NA,"40W32'14","19S48'15","890","890","MBML032279",NA
"21","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","36856",NA,"Plantae","Bromeliaceae","Neoregelia","guttata","Neoregelia guttata","Leme","C. Fraga",NA,NA,NA,"E. Leme; et al","4893","2000","04","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"MBML036856",NA,NA,NA,"40W31'49","19S58'17",NA,NA,"MBML036856","ISOTIPO"
