"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","319046","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.","holotype","L. Riedel","2216","1834","05","South America","Brazil","São Paulo","Araracoara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=124991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319046","NY00319046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","319047","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.","isotype","L. Riedel","2216","1834","05","South America","Brazil","Amazonas","Amazonia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=124992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319047","NY00319047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:34:14-03","NBC","NL-BOTANY","U.1221903","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Riedel L",NA,NA,NA,"Southern America","Brazil",NA,"Brazilië.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1221903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1221903","NL-U1221903","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:05:14-03","ESALQ","ESA","9006","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meissn.",NA,"Scaramuzza, C.A.M. ; Godon, M.","313.0","1993","01",NA,"Brasil","São Paulo",NA,NA,NA,"ESA009006","ESA009006",NA,"Simão-Bianchini, R.","01","Itararé","-49.3400001525879","-24.1100006103516","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:28:37-03","UNICAMP","UEC","3809","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Salgado, PR","7281","1978","02",NA,"Brazil","São Paulo","Entre São Carlos e Rio Claro.",NA,"Subarbusto com flores azuis; Em Cerrado.","UEC090729","UEC090729",NA,"Silva, CV","23","Itirapina","-47.8199996948242","-22.25","22843","auto","2013","07","05","900","900",NA,NA,NA,NA,NA
"6","2019-08-16 08:39:00-03","UTFPR","HCF","21596","S","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"P.M. Santos","391","2013","05",NA,"Brasil","PI",NA,NA,"herbácea rasteira, com botões florais e flores, estames brancos. Cerrado.",NA,NA,NA,"J. Cordeiro","15","Santa Filomena","-45.817778","-8.638611",NA,NA,"2013","08","26","265","265","45°49'04 W","08°38'19 S",NA,NA,NA
"7","2020-12-21 16:21:22-03","MBM","MBM","384780","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Santos, P.M.; Ariati, V.; Sampaio, A.C.F.; Bianchin, J.E.; Ariati, V.; Sampaio, A.C.F.; Bianchin, J.E.","391","2013","05","Southern America","Brazil","Piauí",NA,NA,"Herbácea rasteira; com botões florais e flores, estames brancos.; Cerrado.","MBM384780",NA,NA,"Cordeiro, J.","15","Santa Filomena","-45.817733","-8.63855",NA,NA,"2013","08","26","265","265","-45.817733","-8.63855",NA,NA,NA
"8","2020-12-21 16:21:22-03","MBM","MBM","384780","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Santos, P.M.; Ariati, V.; Sampaio, A.C.F.; Bianchin, J.E.; Ariati, V.; Sampaio, A.C.F.; Bianchin, J.E.","391","2013","05","Southern America","Brazil","Piauí",NA,NA,"Herbácea rasteira; com botões florais e flores, estames brancos.; Cerrado.","MBM384780",NA,NA,"Cordeiro, J.","15","Santa Filomena","-45.817733","-8.63855",NA,NA,"2013","08","26","265","265","-45.817733","-8.63855",NA,NA,NA
"9","2020-12-21 16:21:22-03","MBM","MBM","415848","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelii","Evolvulus riedelii","Meisn.",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","2878","2018","11","Southern America","Brazil","Minas Gerais","Serra de Viamão",NA,"Erva; flor lilás.; Campo rupestre com elementos de Caatinga.","MBM415848",NA,NA,"Cordeiro, J.","07","Mato Verde","-42.796667","-15.4375",NA,NA,"2019","02","05","837","837","-42.796667","-15.4375",NA,NA,NA
"10","2020-12-21 16:21:22-03","MBM","MBM","133055","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","riedelli","Evolvulus riedelli","Meisn.",NA,"Cervi, A.C.; et al.; et al.","2945","1989","11","Southern America","Brazil","Paraná","Rio Diamante",NA,"Erva ereta, flores azuladas. Campo limpo, seco","MBM133055","MBM133055",NA,"Hatschbach, G.","01","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA
