"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:39:32-03","E","E","514074","PreservedSpecimen","Plantae","Gramineae","Axonopus","argentinus","Axonopus argentinus","Pedersen, Troels Myndel","1011","1951","02","14","Temperate South America","AR","Provincia de Corrientes","Dep. Mburucuyá; Estancia Santa Teresa","herbarium specimen of unspecif","BGBASE:521150","<a href=http://data.rbge.org.uk/herb/E00514074 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:32-03","E","E","514081","PreservedSpecimen","Plantae","Gramineae","Axonopus","argentinus","Axonopus argentinus","Pedersen, Troels Myndel","4482","1957","02","26","Temperate South America","AR","Provincia de Corrientes","Dep. Concepción; Rincón de Luna; Estancia La Alicia Ana (Santillán)","herbarium specimen of unspecif","BGBASE:521157","<a href=http://data.rbge.org.uk/herb/E00514081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","629815","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus","G. G. Hatschbach","28170","1971","12","04","South America","Brazil","Paraná","10 km a Noroeste de Palmas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629815","Magnoliophyta","Poales","Parodi","S. A. Renvoize","Palmas","-51.9906","-26.4844","NY00629815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 10:34:00-03","NY","NYBG","629853","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus","F. O. Zuloaga","5511","1996","04","14","South America","Argentina","Misiones","Ruta Prov. 21, 30 km S de Paraíso, camino lateral a 2 km de la ruta","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629853","Magnoliophyta","Poales",NA,"O. Morrone","Guaraní","-54.12","-26.75",NA,"360","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","629852","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus","M. H. Nee","36379","1988","02","26","South America","Bolivia","Santa Cruz","W of Santa Cruz to Montero highway, just S of turnoff to Viru-Viru Airport","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629852","Magnoliophyta","Poales","Parodi","T. J. Killeen","Andrés Ibáñez","-63.17","-17.6583",NA,"375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:01-03","EAO","IAN","67934","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus","Burkart, A","824","1927","01","16","Southern America","Argentina",NA,"Concordia, Entre Rios.",NA,NA,"Hab. boedes de caminos.","IAN067934","Monocotiledônea",NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:45:20-03","EAO","IAN","83035","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus","Parodi, LR","4649","1922","01",NA,"Southern America","Argentina","Entre Ríos","Concordia provincia entre rios.&nf;Hab. campo cerca de la Estacion Agronomica.",NA,NA,"ZULOAGA & MORRONE (2003:117) citaram: T-Protol.: Argentina: especie caracteristica de los campos graminosos, Concordia, Entre Ríos, Jan 1922, L.R. Parodi 4649 [HT: Hb. Parodi]. T-Specim.: 1 of 1. Argentina: Entre Ríos: Concordia, hab.","IAN083035","Monocotiledônea",NA,"Parodi","Parodi, LR","Concordia",NA,NA,NA,NA,NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:45:20-03","EAO","IAN","83036","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus glabripes","Friedmann, J","60","1933","05",NA,"Southern America","Argentina","Entre Ríos","Pedemar.",NA,NA,"ZULOAGA & MORRONE (2003:117) citaram: T-Protol.: Argentina: Entre Rios: Hab. in suelos arenosos, Pedermar, May 1933, J. Friedermann 60 [HT: Herb. Parodi; IT: IAN].","IAN083036","Monocotiledônea",NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,"isotipo","glabripes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:01-03","EAO","IAN","83030","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus hirsutus","Castellanos, A","909","1931","02",NA,"Southern America","Argentina",NA,"Concordia, Prov. Entre Rios.",NA,NA,NA,"IAN083030","Monocotiledônea",NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,"isoparatipo","hirsutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:45:20-03","EAO","IAN","83042","PreservedSpecimen","Plantae","Poaceae","Axonopus","argentinus","Axonopus argentinus jenuinus","Job, MM","760","1936","02",NA,"Southern America","Argentina","Santa Fé",NA,NA,NA,"ZULOAGA & MORRONE (2003:117) citaram: T-Protol.: Argentina: especie caracteristica de los campos graminosos, Concordia, Entre Ríos, Jan 1922, L.R. Parodi 4649 [HT: Hb. Parodi]. T-Specim.: 1 of 1. Argentina: Entre Ríos: Concordia, hab.","IAN083042","Monocotiledônea",NA,"Parodi",NA,"Reconquista",NA,NA,NA,NA,NA,"isoparatipo","jenuinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
