"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","fieldNumber","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1921301","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","W. Marcondes-Ferreira","G. Schaller","198","1978","07","05","South America","Brazil","Mato Grosso","Pantanal. Rio Paraguai, Fazenda Acurizal. Quadrant A.","-57.53","-17.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194555' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921301","NY01921301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921302","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","W. Marcondes-Ferreira","H. S. Irwin","18303","1966","07","20","South America","Brazil","Distrito Federal","Planaltina.","-47.6667","-15.6167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921302","NY01921302_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:10:00-03","NY","NYBG","297988","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy campestre","Hassl.",NA,"E. Hassler","7199a","1902","08",NA,"South America","Paraguay",NA,"Prope Concepcion",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297988","NY00297988_01",NA,"campestre","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:10:00-03","NY","NYBG","297989","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy campestre","Hassl.",NA,"E. Hassler","7199","1901",NA,NA,"South America","Paraguay",NA,"Prope Concepcion",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297989","NY00297989_01",NA,"campestre","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","297990","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy silvaticum","Hassl.",NA,"E. Hassler","10601",NA,NA,NA,"South America","Paraguay",NA,"Sierra de Amambay, Paraguaria septentrionali",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297990","NY00297990_01",NA,"silvaticum","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:10:38-03","CPAN-UFMS","COR","18015","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","D.J. Machate","D.J. Machate; J. Fabri","124","2015","04","14",NA,"Brasil","Mato Grosso do Sul","Morro do Bairro Guarani.","-57.651944","-19.036111",NA,"Fruto verde, imaturo. Látex branco. Habitat: Em área de vegetação de floresta Semidicidual Submontana antropizado. Solo arenoso-litólico. Relevo inclino. Local seco. Habito: Árvore",NA,NA,"Corumbá",NA,NA,"57º39'7''W","19º2'10''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-02 16:28:33-03","CPAN-UFMS","COR","7198","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","Machate, D. J.","Machate, D. J.; Urquiza, M.; Pessoa, P. & Chaparro, C.","44","2014","11","18",NA,"Brasil","Mato Grosso do Sul","Parque Piraputanga","-57.637222","-19.243889",NA,"Arvoreta, 4 m de altura; fruto castanho; látex branco Habito: Arvoreta",NA,NA,"Ladário",NA,NA,"57º38'14''W","19º14'38''S","2014","11","18","201","201",NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:28:33-03","CPAN-UFMS","COR","8669","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","Machate, D. J.","Damasceno-Júnior, G. A.; Pott, V. J.; Ishii, I. H. & Assis, E. M.","2382","2001","05","07",NA,"Brasil","Mato Grosso do Sul","Ilha Insua; reserva dos índios Guatós","-57.758333","-17.563889",NA,"Árvore, 8 m de altura Habito: Árvore",NA,NA,"Corumbá",NA,NA,"57º45'30''W","17º33'50''S","2016","03","02","120","120",NA,NA,NA,NA,NA,NA
"9","2021-03-02 16:28:33-03","CPAN-UFMS","COR","9197","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","D. J .Machate","Damasceno Jr., G. A. & Ferreira, V. L.","1338","2002","11","05",NA,"Brasil","Mato Grosso do Sul","Estrada da Manga próxima a fazenda Bandalta; Bancada Laterítica (lagedo);","-57.558611","-19.167222",NA,"Árvore com 8m de altura Habito: Árvore",NA,NA,"Ladário",NA,NA,"57º33'31''W","19º10'2''S","2014","11","01","150","150",NA,NA,NA,NA,NA,NA
"10","2021-03-02 16:28:33-03","CPAN-UFMS","COR","7197","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy","Hassl.","Machate, D. J.","Machate, D. J.","77","2014","11","28",NA,"Brasil","Mato Grosso do Sul",NA,"-55.771944","-20.652222",NA,"Árvore, 7 m de altura; fruto imaturo verde; látex branco Habito: Árvore",NA,NA,"Anastácio",NA,NA,"55º46'19''W","20º39'8''S","2014","11","28",NA,NA,NA,NA,NA,NA,NA,NA
