"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","year","month","continentOcean","country","preparationType","barcode","imagecode","recordNumber","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","236","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum","L.B.Sm.","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02448572","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum","L.B.Sm.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2634758' target='other'> <mi>dwc_moreinfo</mi></a>","M. B. Foster","1955","09","South America","Brazil","sheet","NY02448572","NY02448572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:38-03","UFRJ","RFA","28182","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum","L.B.Sm.",NA,NA,NA,NA,"Erva epífita, folhas coriáceas verdes, inflorescência vermelha, flores com pétalas rosas","L.O.F. Souza; T. Wendt; A.P.G. Faria; G.K. Brown; J.L. Paixão","2003","04",NA,"Brasil",NA,"RFA52111",NA,"460","01","Bahia","Uruçuca","Rod. Uruçuca - Serra Grande. Parque Estadual do Conduru","-39.105556","-14.480278","39º6'20''W","14º28'49''S",NA,NA,NA,NA,NA
"4","2019-06-10 10:10:27-03","FZB-BH","BHZB","11676","S","Plantae",NA,NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum",NA,"E.C. M., Leme",NA,NA,NA,"Planta com folhas verdes com maculas pretas e espinhos; inflorescência congesta vermelha.Planta Criticamente ameaçada.","Swerts, M.","2016","08",NA,"Brasil",NA,NA,NA,"34","24","MG","Belo Horizonte","FZBBH-Coleção de Plantas Exóticas e Sem Procedência CVJBFZB 0236","-43.937801361084","-19.9207992553711",NA,NA,"17082","auto",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","1998724","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum","L.B. Sm.",NA,NA,NA,"1",NA,"M. B. Foster","1948","10","South America - Neotropics","Brazil",NA,"US00091428","US00091428_01","2479","22","Bahia",NA,"Near bay, opposite side of Sao Salvador.",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Holotype",NA
"6","2020-09-12 05:00:02-03","US","US","2121536","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum","L.B. Sm.",NA,NA,NA,"1",NA,"M. B. Foster",NA,NA,"South America","Brazil",NA,NA,NA,"s.n.",NA,NA,NA,"Baia: Salvador",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
"7","2019-07-09 12:55:32-03","F","FMNH-SEEDPLANTS","V0402767F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum",NA,NA,NA,NA,NA,NA,"M. B. Foster","1955","9","South America","Brazil",NA,"V0402767F","V0402767F_01","3",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Monocotyledoneae",NA,NA
"8","2020-07-23 12:00:48-03","CEPLAC","CEPEC","100909","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum",NA,"Uwe Scharff",NA,NA,NA,NA,"P. Fiaschi","2004","03",NA,"Brasil",NA,NA,NA,"2056","18","Bahia","URUÇUCA","Estrada de Serra Grande/Uruçuca. Área do inventário do plano de manejo. Mata da torre do celular.","-39.115","-14.499722","39W6'54","14S29'59",NA,NA,NA,NA,"30/05/2009"
"9","2020-07-23 12:00:51-03","CEPLAC","CEPEC","103761","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum",NA,"Uwe Scharf",NA,NA,NA,NA,"P. Fiaschi","1999","02",NA,"Brasil",NA,NA,NA,"2389","04","Bahia","URUÇUCA","Estrada Serra Grande/Uruçuca. Área do inventário d plano de manejo do Parque Estadual da Serra do Condurú. Mata da torre do celular.","-39.115","-14.499722","39W6'54","14S29'59",NA,NA,NA,NA,"30/05/2009"
"10","2020-07-23 12:00:51-03","CEPLAC","CEPEC","123415","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","fosterianum","Canistrum fosterianum",NA,"P. Leitman",NA,NA,NA,NA,"J. G. Jardim","2008","06",NA,"Brasil",NA,NA,NA,"5259","14","Bahia","URUÇUCA","Rod. Serra Grande/Uruçuca, ca. 14Km de Serra Grande. Emtorno do Parque Estadual Serra do Condurú. Trilha até o topo da serra.","-39.105556","-14.479444","39W6'20","14S28'46",NA,NA,NA,NA,"30/03/2012"
