"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","barcode","imagecode","scientificNameAuthorship","monthIdentified","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","dayIdentified","continentOcean","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","previousCatalogNumber","fieldNumber","sex","preparationType"
"1","2020-11-04 11:02:45-03","ESALQ","ESA","98531","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Viguiera","vernonioides","Viguiera vernonioides","Magenta, M.","2006","Souza, V.C.","16999.0","ESA098531","ESA098531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:22:58-03","UNICAMP","UEC","111984","S","Plantae","Magnoliopsida","Asteraceae","Aldama","vernonioides","Aldama vernonioides","Nakajima, JN","2015","Souza, VC; Souza, JP; et al.","16999","UEC101380","UEC101380","(Baker) E.E.Schill. & Panero","10","1997","05","23","Brazil","Mato Grosso","Diamantino","20 km SE ( em linha reta) de Diamantino.","-56.3","-14.533333","-56.3","-14.533333","Subarbusto, ca. 1 m alt. ; capítulos amarelos.; Savana arborizada (cerrado)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:14:03-03","MBM","MBM","173976","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","vernonioides","Aldama vernonioides","Magenta, M.","2002","Hatschbach, G.; Pott, A.; Pott, V.; Silva, J.M.; Pott, A.; Pott, V.; Silva, J.M.","62800","MBM173976","MBM173976","(Baker) E.E.Schill. & Panero","03","1995","05","15","Brazil","Mato Grosso","Jaciara",NA,"-54.9682998657227","-15.9652996063232",NA,NA,"Ereta, 1 m, capítulos amarelos.; Campo cerrado.","25","Southern America","41566","auto",NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","3383518","PreservedSpecimen","Plantae",NA,"Asteraceae","Viguiera","hypoleuca","Viguiera hypoleuca","S. F. Blake",NA,"Anders F. Regnell","Regnell 1650",NA,NA,"S.F. Blake",NA,NA,NA,NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:15:58-03","USP","SPF","219742","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","vernonioides","Aldama vernonioides","Magenta, MAG","2016","Magenta, MAG","460","SPF00219742",NA,"(Baker) E.E.Schill. & Panero","10","2002","05","27","Brasil","Mato Grosso",NA,"São José da Serra.","-55.328056","-15.843056","-55.328056","-15.843056",NA,NA,NA,NA,NA,"848","848",NA,NA,NA,NA,NA
"6","2019-11-13 16:04:27-03","UNISANTA","HUSC","11881","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Aldama","vernonioides","Aldama vernonioides","M.Magenta","2016","M.Magenta; J.E. Magenta Neto","460",NA,NA,"(Baker) E.E.Schill. & Panero","10","2002","05","27","Brasil","Mato Grosso","São José da Serra","Rod BR-364, km 319, entre Jaciara e São Vicente.","-55.328056","-15.843056","-55.328056","-15.843056","Arbusto 0,5 - 2m. Flores amarelas. Pétalas do receptáculo geralmente vináceas na maturidade.; Campo sujo, beira da rodovia.",NA,NA,NA,NA,"848","848",NA,NA,NA,NA,NA
"7","2016-08-23 10:58:55-03","NHMLondon","NHM-LONDON-BOT","BM000799748","S","Plantae",NA,"Asteraceae","Viguiera","hypoleuca","Viguiera hypoleuca","Sidney Fay Blake; b.1892; d.1959; S.F.Blake","1915","Gustaf Oskar Andersson Malme; b.1864; d.1937; Malme","1658",NA,NA,"S.F.Blake",NA,"1894","06","03","Brasil","Mato Grosso",NA,NA,"-55.929878","-13.163117","-55.929878","-13.163117","<a href=http://www.nhm.ac.uk/services/media-store/asset/873fd0bad9aaa582239593d48c58020d6d0bb716/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"Type","NHMUK:ecatalogue:4992095",NA,NA,NA
"8","2019-05-06 11:54:22-03","UFU","HUFU","24378","S","Plantae",NA,"Asteraceae","Viguiera","hypoleuca","Viguiera hypoleuca","Nakajima, J.N.","2016","Costa, F.B. da","81","HUFU00042435","HUFU00042435","Baker","03","1998","04","24","Brasil","Goiás",NA,"Estrada de terra entre Santo Antônio do Descoberto - Cidade Eclética / GO. Aproximadamente 13 km após o Sítio Ant. Descoberto. Margem direita.","-48.316667","-15.883333","-48.316667","-15.883333","Arbusto, 1-1,5 m. Flores do raio amarelas.; Cerrado (campo rupestre).",NA,NA,NA,NA,"3388","3388",NA,NA,NA,NA,NA
"9","2021-02-23 13:21:57-03","MN","R-TIPOS","156031","PreservedSpecimen","Plantae",NA,"Asteraceae","Viguiera","vernonioides","Viguiera vernonioides","Magenta,M.","2006","Malme, G.O.A.","1658","R000156031","R000156031_001","Baker",NA,"1894","06","03","Brasil","Mato Grosso","Santa Anna do Chapadão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus de Viguiera hypoleuca S.F. Blake",NA,NA,NA,NA
"10","2018-08-09 21:10:42-03","UFMT","UFMT","15445","S","Plantae",NA,"Asteraceae","Aldama","vernonioides","Aldama vernonioides","Silva, G.H.","2014","Malme, G.O.A.","33215a",NA,NA,"(Baker) E.E.Schill. & Panero","09","1903","04","08","Brasil","Mato Grosso","Chapada dos Guimarães","Santa Anna da Chapada","-55.749698638916","-15.460599899292",NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA,NA,NA
