"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","infraspecificEpithet","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00836194","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","P. J. M. Maas","H. S. Irwin","18928","1968","01","21","South America","Brazil","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836194","NY00836194_01 NY00836194_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836169","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","P. J. M. Maas","H. S. Irwin","18928","1968","01","21","South America","Brazil","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836169","NY00836169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","680043","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.",NA,"H. S. Irwin","18922","1968","01","21","South America","Brazil","Goiás","Cocalzinho de Goiás","70 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680043","NY00680043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","680044","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.",NA,"H. S. Irwin","34548","1972","01","18","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 21 km E. of Pirenópolis","-48.8086013793945","-15.9236001968384","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680044","NY00680044_01","41388","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","680040","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","J. van Rooden","G. T. Prance","18911","1973","10","13","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Cerradão behind Colegio de Buriti.","-55.80725","-15.415111","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680040","NY00680040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:33:30-03","EAO","IAN","153740","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","Aristeguieta, L","Irwin, HS; Souza, R","9882","1965","11","03","Southern America","Brasil","Goiás",NA,"Serra dos Cristais. Creek bank, ca. 6km. S. of Cristalina.",NA,NA,"1175","1175",NA,"Shrub ca. 1m. tall. Perianth cream.","IAN153740",NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:38:22-03","NBC","NL-BOTANY","U.1071876","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","Rainer HGR","Azevedo MLM; et al.",NA,"1997","11","22","Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071876 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071876","NL-U1071876",NA,NA,"1998","Magnoliopsidae","06","01","U 0145012",NA,NA,NA,NA,NA
"8","2020-02-08 09:38:22-03","NBC","NL-BOTANY","U.1071877","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","Rainer HGR","Oliveira FCA; et al.",NA,"1997","11","20","Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071877","NL-U1071877",NA,NA,"1998","Magnoliopsidae","06","01","U 0145013",NA,NA,NA,NA,NA
"9","2020-02-08 09:38:22-03","NBC","NL-BOTANY","U.1071875","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","Rainer HGR","Oldenburger FHF; Mecenas VV",NA,"1975","11","28","Southern America","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071875","NL-U1071875",NA,NA,"1998","Magnoliopsidae","06","01","U 0145011",NA,NA,NA,NA,NA
"10","2020-02-08 09:38:22-03","NBC","NL-BOTANY","U.1071881","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","malmeana","Annona malmeana","R.E.Fr.","Rainer HGR","Fonseca ML; Oliveira FCA; Nunes G",NA,"1995","12","12","Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071881 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071881","NL-U1071881",NA,NA,"1998","Magnoliopsidae","06","01","U 0145009",NA,NA,NA,NA,NA
