"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085719","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","isotype","Pessoal do Horto Florestal","s.n.","1928","05","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro. Matta do Teixeira Borges, perto da sede do Horto Florestal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085719","NY01085719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance",NA,"Victorio",NA,"1930","08","28","South America","Brazil","Rio de Janeiro","Horto Forestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=180379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378188","NY00378188_01","G. T. Prance","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","428175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","holotype","Pessoal do Horto Florestal","136922","1928","05","25","South America","Brazil","Rio de Janeiro","GB- Mata do Teixeira Borges, pr. do Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=180380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428175","NY00428175_01",NA,"Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:54-02","BGBM","B","B 10 0464818","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","isotype",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro.",NA,"<a href=http://herbarium.bgbm.org/object/B100464818 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100464818","B100464818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:20:43-03","MBM","MBM","347331","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","ISOTYPE","Pessoal do Horto Florestal","s.n.","1928","05","26","Southern America","Brazil","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,"Pétalas alvadiças, estames roxos acima do meio.; Árvore de 5-7m de altura; pétalas alvadiças, estames roxos acima do meio.","MBM347331","MBM347331",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA
"6","2015-03-10 10:50:03-03","MNHN","RECOLNAT_MNHN_P","P00753692","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","isotype","Pessoal do Horto Florestal",NA,"1928","5","26",NA,"Brésil",NA,"Rio de Janeiro : Matta do Teixeira Borges, perto da sede do Horto Florestal","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753692' target='other'> <mi>dwc_moreinfo</mi></a>","P00753692","P00753692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2011-03-02 15:42:00-03","MO","MOBOT","100242144","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","Isotype","Pessoal do Jardim Botânico","Pessoal do Jardim Botânico s.n.","1928","5","26","South America","Brazil","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,NA,NA,NA,"Rio de Janeiro (cidade)",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2020-08-31 09:00:52-03","INPA","INPA","230484","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance",NA,"Pessoal do Horto Florestal","RBs.n.","1928","05","26","Southern America","Brasil","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,"INPA0230484",NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:17:49-03","USP","SPF","187423","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi","Prance","isotype","Pessoal do Horto Florestal","s.n.","1928","05","26",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"SPF00187423",NA,"Anônimo","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA
"10","2019-01-23 10:18:37-02","F","FMNH-SEEDPLANTS","V0077557F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Hirtella","barrosoi","Hirtella barrosoi",NA,"Isotype",NA,"s.n.","1928","5","26","South America","Brazil","Rio de Janiero","Rio de Janeiro",NA,NA,"V0077557F","V0077557F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
