"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","imagecode","class","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-04-05 14:33:22-03","UNESC","CRI","15373","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","Alexandre Medeiros","2017","10","27","Alexandre Medeiros","604","2017","10","27","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.640278","-26.999167","48º38'25''W","26º59'57''S","Habitat: Terrestre Habito: Herbácea","CRI014790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","13668","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","Alexandre Medeiros","2017","08","22","Alexandre Medeiros",NA,"2017","08","22","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.6347007751465","-26.9906005859375",NA,NA,"Habitat: Terrestre Habito: Herbácea","CRI012275","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:01-03","E","E","264240","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis",NA,NA,NA,NA,NA,"Pedersen, Troels Myndel","1836","1952","09","22","AR","Provincia de Corrientes","Dep. Mburucuya","Near Manatiales, Estancia San Juan.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00264240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00264240",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:277424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:01-03","E","E","247983","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis",NA,NA,NA,NA,NA,"Smith, Herbert H.","1496","1905","03","12","CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00247983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247983",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:278029","305","305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01142044","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","M. H. Nee",NA,NA,NA,"E. H. G. Ule","9880","1911","07",NA,"Brazil","Acre",NA,"Seringal S. Francisco. Rio Acre.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509842' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142044",NA,NA,"South America","sheet",NA,NA,NA,"Magnoliophyta","Asterales","NY01142044_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565272","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","B. A. Stein",NA,NA,NA,"J. C. Solomon",NA,"1983","10","09","Bolivia","Tarija","Aniceto Arce","Hillsides, vicinity of Sidras, (5.5 km N of Emborozú)","-64.53","-22.2",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565272",NA,NA,"South America","sheet",NA,"950","950","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565269","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","A. O. S. Vieira",NA,NA,NA,"B. J. Pickel","s.n.","1931","08","10","Brazil","Pernambuco",NA,"Tapera","-35.18","-8.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565269",NA,NA,"South America","sheet",NA,NA,NA,"Magnoliophyta","Asterales","NY00565269_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","754576","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","D. C. Daly",NA,NA,NA,"D. C. Daly","9147","1996","11","24","Brazil","Acre","Manoel Urbano","Rio Purus, leftbank, Colocaçao Nova Olinda [Sr. Raimundo Gomes (Raimundo Cícero')]","-69.6858","-9.0428",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754576",NA,NA,"South America","sheet",NA,NA,NA,"Magnoliophyta","Asterales","NY00754576_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565273","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","M. H. Nee",NA,NA,NA,"J. E. Ramos Pérez","2037","1989","11","12","Colombia","Valle del Cauca","Yumbo","El Embarcadero, hacienda Salento, ca. 500 m de la vía Yumbo-Mulaló",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565273",NA,NA,"South America","sheet",NA,"950","950","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565274","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","xalapensis","Lobelia xalapensis","Kunth","M. H. Nee",NA,NA,NA,"J. E. Montes","14757","1955","02","10","Argentina","Misiones","Cainguás","Puerto Rico",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565274",NA,NA,"South America","sheet",NA,"205","205","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA
