"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01081384","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","littoralis","Maytenus littoralis","R.M.Carvalho-Okano","R. M. de Carvalho-Okano","R. Reitz","5731","1957","12","19","South America","Brazil","Santa Catarina","Sao Francisco do Sul","Tres Barras, Garuva","-48.6381","-26.2433","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081384","NY01081384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470227","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","littoralis","Maytenus littoralis","R.M.Carvalho-Okano","R. M. de Carvalho-Okano","P. K. H. Dusén","11417","1911","03","25","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=669182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470227","NY00470227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1738360","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","littoralis","Maytenus littoralis","R.M.Carvalho-Okano",NA,"P. da C. Gadelha Neto","3278","2012","04","19","South America","Brazil","Paraíba",NA,"Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2004195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738360","NY01738360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:22-03","UPM","MACK","810","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","littoralis","Maytenus littoralis","Carv.-Okano","M. Sanchez","F. Pedroni; M. Sanchez","200","1996","11","26",NA,"Brasil","SP","Ubatuba","Parqu Estadual da Serra do Mar. Núcleo Picinguaba, mata de planície. Restinga.","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"1996","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:04:43-03","ESALQ","ESA","96572","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","littoralis","Maytenus littoralis","Carv.-Okano","Biral, L.","Martins, S.E. Sampaio,P.S.P","636.0","2000","02","03",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,NA,"ESA096572","ESA096572",NA,"37616","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:04:43-03","ESALQ","ESA","76524","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","litoralis","Maytenus litoralis","Car-Okano","alunos da disciplina de taxonomia de Campo","Gorenstein, M.R. et al.","9.0","1991","09","05",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA076524","ESA076524",NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:43-03","ESALQ","ESA","76532","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","litoralis","Maytenus litoralis","Car-Okano","alunos da disciplina de taxonomia de Campo","Sztutman, M. et al.","139.0","1999","01","07",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA076532","ESA076532",NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:43-03","ESALQ","ESA","123095","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","littoralis","Maytenus littoralis",NA,"Biral, L.","Zipparro, V.B. ; Luize, B.G.","2331.0","2007","12","16",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA123095",NA,"2013","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:04:43-03","ESALQ","ESA","123092","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","littoralis","Maytenus littoralis",NA,"Biral, L.","Zipparro, V.B. ; Luize, B.G.","2322.0","2007","12","15",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA123092",NA,"2013","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:04:43-03","ESALQ","ESA","21442","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","littoralis","Maytenus littoralis","Carv.-Okano","Biral, L.","Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","1615.0","1993","11","24",NA,"Brasil","São Paulo","Ubatuba","Puruba. Restinga.","-445.554","-232.105",NA,NA,NA,"Árvore, 4 m alt.; flores creme. Borda.","ESA021442","ESA021442",NA,NA,NA,"-445,554","-232,105",NA,NA,NA,NA,NA,NA
