"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag"
"1","2020-12-21 16:38:49-03","MBM","MBM","395231","PreservedSpecimen","Plantae","Orchidaceae","Sarcoglottis","alexandri","Sarcoglottis alexandri","Schltr. ex Mansf.","Engels, M.E.","2019","04","11","Engels, M.E.; Ferneda Rocha, L.C.; Bolson, M.; Ferneda Rocha, L.C.; Bolson, M.","1054","2013","06","29","Southern America","Brazil","Paraná","Guaratuba","Morro dos Perdidos, Trilha da cachoeira","-48.5746994018555","-25.8827991485596","41937","Humícola. Folhas verdes pálidas com 3 nervuras brancas finas. Escapo castanho. Frutos imaturos com flores não deliquecentes. Fruto castanho.","MBM395231","MBM395231","auto"
"2","2020-12-21 16:38:49-03","MBM","MBM","50073","PreservedSpecimen","Plantae","Orchidaceae","Sarcoglottis","alexandri","Sarcoglottis alexandri","Schltr. ex Mansf.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","15685","1967","01","12","Southern America","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375","17116","Terrícola.","MBM050073","MBM050073","auto"
"3","2019-11-21 10:13:48-03","IBt","SP","7521","S","Plantae","Orchidaceae","Sarcoglottis","alexandri","Sarcoglottis alexandri","Schltr. ex Mansf.","Hoehne, FC",NA,NA,NA,"Gehrt, A","s.n.","1922","01","25",NA,"Brasil","São Paulo","Santo André","Alto da Serra","-46.5299987792969","-23.6599998474121","27258",NA,NA,NA,"auto"
