"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount","relatedCatalogItem","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1747926","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Odontocarya","vitis","Odontocarya vitis","Miers","R. R. Guedes-Bruni","2509","1995","03","13","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Lote 22, casa.","-44.65833","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747926","NY01747926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:08:53-03","CPAN-UFMS","COR","16430","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Martinelli, G.; Moraes, M.A.; Fernandez, E.","16784","2010","12","01",NA,"Brasil","Mato Grosso do Sul","Corumbá","Serra do Amolar, Rio Paraguai, Baia Formosa, RPPN Penha. Floresta estacional em transição para Cerrado campestre.","-57.503056","-17.894167",NA,"Trepadeiras c/ gavinhas; heliófila; folhas verdes discolores; Com Fruto: Frutos maduros de cor vermelho- alvo; quando imaturos de cor verde Habito: Trepadeira",NA,NA,"Guimarães, E.F.; Mendes, T.S.","57º30'11''W","17º53'39''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:20:51-03","UFBA","ALCB","114711","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Crestani, A","159","2011","04","07","Southern America","Brasil","Bahia","Itamaraju",NA,"-39.5311012268066","-17.0391998291016",NA,"Planta repleta de tricomas nas folhas e ramos. Frutos imaturos acinzentados e negros quando maduros","ALCB021185","ALCB021185 ALCB021185_1","Carvalho, G",NA,NA,"2013","02","55932","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:06-03","ESALQ","ESA","131259","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36462.0","2013","04","16",NA,"Brasil","Rio de Janeiro","Seropédica","Fragmento 61 (TAV). Floresta Ombrófila Densa..","-22.6908","-43.7211",NA,"Liana.","ESA131259","ESA131259","Souza, V.C.","-22.6908","-43.7211","2013",NA,NA,NA,"141","141",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:06-03","ESALQ","ESA","105327","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis",NA,"Paciencia, M.B.","2309.0","2006","04","05",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA105327","ESA105327","Paula-Souza, J. & Paciencia, M.",NA,NA,"2006","04","48094","auto",NA,NA,"12",NA,NA,NA,NA,NA
"6","2020-11-04 10:56:11-03","ESALQ","ESA","137356","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A. Braga","D. Fernandes","130.0","1998","11","11",NA,"Brasil","Rio de Janeiro","Armação de Búzios","Mariane","-41.8816986083984","-22.7469005584717",NA,NA,"ESA137356",NA,NA,NA,NA,NA,NA,"12927","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:56:11-03","ESALQ","ESA","137455","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M. Braga","J.M.A. Braga","3303.0","1996","04","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Mariane","-43.2075004577637","-22.9027996063232",NA,NA,"ESA137455",NA,"J.M.A. Braga",NA,NA,"2004","05","57442","auto",NA,NA,"06",NA,NA,NA,NA,NA
"8","2021-03-24 17:09:28-03","UFES","SAMES","9043","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Pereira, O.J.; Penha, J.S.; Lemes, B.X.","8308","2018","10","03",NA,"Brasil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra. Restinga holocênica.","-39.7322006225586","-18.5932998657227",NA,"Planta trepadeira, fruto amarelo. Habitat: Formação arbustiva aberta não inundável","SAMES09043",NA,NA,"-397450000.0","-186802778.0",NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:09:28-03","UFES","SAMES","1793","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Ribeiro,M.; Giaretta,A.O.","766","2012","01","26",NA,"Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas. Floresta de restinga ssobre duna, protegida pela duna frontal.","-39.7322006225586","-18.5932998657227",NA,"Liana, fruto verde, salpicado de pintas verde claro, raque e pedunculo verde claro.","SAMES01793",NA,"Ribeiro,M.",NA,NA,"2016","04","41644","auto",NA,NA,"12",NA,NA,NA,NA,NA
"10","2021-03-24 17:09:28-03","UFES","SAMES","3523","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Odontocarya","vitis","Odontocarya vitis","(Vell.) J.M.A.Braga","Ribeiro,M.; Almeida,T.R.R.","614","2011","09","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Bioma Mata Atlântica, domínio Floresta Ombrófila de Terras Baixas com trechos arenosos constituindo mussununga. Próximo ao alojamento.","-39.7322006225586","-18.5932998657227",NA,"Liana com raqui e pedúnculo verdes claro. Frutos amarelo claro.","SAMES03523",NA,"Ribeiro,M.","-398050000.0","-182625000.0","2012","02","41644","auto",NA,NA,"16",NA,NA,NA,NA,NA
