"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","fieldNumber","identifiedBy","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01393404","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","H. H. Rusby","2793","1885","South America","Bolivia","Yungas","1829","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005634' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393404","NY01393404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01393408","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","A. Weberbauer","7903","1929","South America","Peru","Lares Valley near Huallhuayoj","24002500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393408","NY01393408_01","03","08","Cusco","Cusco","-72.03772","-13.10055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01393406","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","H. H. Rusby","2793","1885","South America","Bolivia","near Yungas","1829","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005637' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393406","NY01393406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-02-01 14:58:00-02","NY","NYBG","01393402","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"F. C. Lehmann","B.T.90",NA,"South America","Colombia","Peidro Aucha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005632' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01393407","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","N. L. Britton","s.n.",NA,"South America","Bolivia","A Miguel Bang Lectae",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393407","NY01393407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-02-14 16:54:00-02","NY","NYBG","01393405","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans",NA,"F. C. Lehmann","6792","1880","South America","Colombia","Waldaru um Popayan","1600","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393405","NY01393405_01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 15:29:11-03","MNHN","RECOLNAT_MNHN_P","P00456046","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","Herb. L. Claude et A. Richard",NA,NA,NA,"Venezuela","Prov. de Merida","5000",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00456046' target='other'> <mi>dwc_moreinfo</mi></a>","P00456046","P00456046_01",NA,NA,NA,NA,NA,NA,"1189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 06:13:44-03","MNHN","RECOLNAT_MNHN_P","P00612059","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb.f.","Linden, J.",NA,NA,NA,"Venezuela","Prov. de Merida",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00612059' target='other'> <mi>dwc_moreinfo</mi></a>","P00612059","P00612059_01",NA,NA,NA,NA,NA,NA,"649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","679584","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","albida","Trichopilia albida","H. Wendl.","William B. Drew","Drew E-689","1944","South America","Ecuador",NA,"1200.00000000",NA,NA,NA,NA,NA,"9","20","Imbabura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-07-28 05:58:00-03","MO","MOBOT","641116","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichopilia","fragrans","Trichopilia fragrans","(Lindl.) Rchb. f.","Gunnar Wilhelm Harling|Lennart Andersson","Harling 12290","1974","South America","Ecuador","Tulcan-Maldonado.","2300.00000000",NA,NA,NA,NA,NA,"2","28","Carchi",NA,"-78.21666","1.03333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
